16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-02-16 18:28:33"
Cond. Area:,,,39372
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat19-win\cz10\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,13.5865,0,1.85033,0,0.0223809,0,0.906753,1.7398,6.45223,0.256709,0,0,24.8147,0,0,0,0,0.23647,0,0,0.006564,0,0,0.243034,0,0,0,0,0,0,0,0,0,0,0,27.5424,353.349,0,0.000249403,0.004509,
1,1,2,15.6551,0,1.85033,0,0.0223809,0,0.783447,1.66738,5.94853,0.256709,0,0,26.1838,0,0,0,0,0.127858,0,0,0.0052512,0,0,0.133109,0,0,0,0,0,0,0,0,0,0,0,27.5217,353.349,0,0.000249051,0.004509,
1,1,3,15.5695,0,1.85033,0,0.0223809,0,0.660138,1.63712,5.64672,0.251128,0,0,25.6374,0,0,0,0,0.103248,0,0,0.0039384,0,0,0.107186,0,0,0,0,0,0,0,0,0,0,0,27.4381,353.349,0,0.000248744,0.004509,
1,1,4,16.4217,0,1.85033,0,0.0223809,0,0.721791,1.5994,5.63198,0.251128,0,0,26.4987,0,0,0,0,0.100181,0,0,0.0039384,0,0,0.104119,0,0,0,0,0,0,0,0,0,0,0,27.3708,353.349,0,0.000244034,0.004509,
1,1,5,18.7459,0,1.85033,0,0.0223809,0,0.8451,1.53625,5.35381,0.256709,0,0,28.6105,0,0,0,0,0.10633,0,0,0.0039384,0,0,0.110268,0,0,0,0,0,0,0,0,0,0,0,27.4151,353.349,0,0.000247897,0.004509,
1,1,6,18.8174,0,1.85033,0,0.0223809,0,1.15337,1.53212,5.79361,0.251128,0,0,29.4204,0,0,0,0,0.802426,0,0,0.006564,0,0,0.80899,0,0,0,0,0,0,0,0,0,0,0,27.5338,353.349,0,0.000250017,0.004509,
1,1,7,16.2692,0,1.85033,0,0.0223809,0,1.49247,1.98713,6.4932,0.245547,0,0,28.3603,0,0,0,0,0.436839,0,0,0.013128,0,0,0.449967,0,0,0,0,0,0,0,0,0,0,0,27.5603,353.349,0,0.000250652,0.004509,
1,1,8,26.6555,0,1.85033,0,0.0223809,0,1.64524,3.4812,7.11301,0.228805,-0.0468854,0,40.9496,0,0,0,0,0.833245,0,0,0.160029,0,0,0.993274,0,0,0,0,0,0,0,0,0,0,0,27.544,353.349,0,0.000250171,0.004509,
1,1,9,19.6229,0,1.85033,0,0.0223809,0,1.43755,3.72741,6.70668,0.200902,-0.155548,0,33.4126,0,0,0,0,1.21446,0,0,0.525414,0,0,1.73987,0,0,0,0,0,0,0,0,0,0,0,27.3458,353.349,0,0.000245568,0.004509,
1,1,10,8.98476,0,1.85033,0,0.0223809,0,1.28342,6.79894,6.45569,0.167419,-0.187287,0,25.3756,0,0,0,0,1.15883,0,0,0.361256,0,0,1.52009,0,0,0,0,0,0,0,0,0,0,0,25.6863,353.349,0,0.000205897,0.004509,
1,1,11,1.84252,0,1.85033,0,0.0223809,0,1.27036,6.77494,6.61084,0.133935,-0.407904,0,18.0974,0,0,0,0,0.79749,0,0,1.09974,0,0,1.89723,0,0,0,0,0,0,0,0,0,0,0,25.0896,353.349,0,0.000187311,0.004509,
1,1,12,1.12557,0,1.85033,0,0.0223809,0,1.20871,4.71093,6.51272,0.0892899,-0.337922,0,15.182,0,0,0,0,0.916115,0,0,0.681648,0,0,1.59776,0,0,0,0,0,0,0,0,0,0,0,24.6797,353.349,0,0.000172385,0.004509,
1,1,13,0.675687,0,1.85033,0,0.0223809,0,1.2933,4.20096,6.69613,0.0669675,-0.488957,0,14.3168,0,0,0,0,0.631991,0,0,0.0894516,0,0,0.721443,0,0,0,0,0,0,0,0,0,0,0,24.6881,353.349,0,0.000162633,0.004509,
1,1,14,0.220034,0,1.85033,0,0.0223809,0,1.2933,2.43096,6.88324,0.0613869,-0.45551,0,12.3061,0,0,0,0,0.379541,0,0,0.167222,0,0,0.546763,0,0,0,0,0,0,0,0,0,0,0,24.6795,353.349,0,0.000167705,0.004509,
