"",002
"Tue 16-Feb-21   5:57:24 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",38.3525,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,5.9428,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",35.9366,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.2964,0.87589,5.67327,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",34.3403,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.2666,0.856849,5.55361,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",34.3578,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2163,0.856849,5.41106,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",33.6157,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.2672,0.87589,5.1783,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",36.121,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.9353,19.7678,0.856849,5.13607,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",41.1842,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,5.09231,22.1548,0.837808,5.21223,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",52.3507,0,0,0,0,0,0.0763637,0,3.48413,6.31333,0,0,0,5.61357,24.2696,0.780684,5.72403,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",49.6763,0,0,0,0,0,0.0763637,0,2.09774,6.31333,0,0,0,4.90493,22.8832,0.685479,6.72403,0,2.23681,3.41576,0.338707,0,0,0,0
"MtrElec",1,1,10,"",57.8775,0,0,0,0,0,0.0763637,0,1.34171,6.31333,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.0289277
"MtrElec",1,1,11,"",57.8218,0,0,0,0,0,0.0763637,0,1.063,6.31333,0,0,0,4.33448,22.5562,0.456986,6.38662,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.0952295
"MtrElec",1,1,12,"",50.4279,0,0,0,0,0,0.0763637,0,1.38136,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49779,6.16207,2.94812,0.0772521,0.388102,0,0,0,-0.0665876
"MtrElec",1,1,13,"",49.611,0,0,0,0,0,0.0763637,0,1.54725,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60295,6.21322,0.032629,1.02809,0.444553,0,0,0,-0.135809
"MtrElec",1,1,14,"",43.7854,0,0,0,0,0,0.0763637,0,1.2072,6.31333,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-0.187528
"MtrElec",1,1,15,"",44.6374,0,0,0,0,0,0.0763637,0,0.760486,6.31333,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-0.327915
"MtrElec",1,1,16,"",46.8115,0,0,0,0,0,0.0763637,0,0.571003,6.31333,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-0.189108
"MtrElec",1,1,17,"",55.3482,0,0,0,0,0,0.0763637,0,0.516648,6.31333,0,0,0,5.46456,28.6239,0.361781,6.5367,0,0.550504,6.29167,0.642132,0,0,0,-0.0293263
"MtrElec",1,1,18,"",61.5177,0,0,0,0,0,0.0763637,0,0.515549,6.31333,0,0,0,6.74902,31.933,0.723561,6.98918,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",64.346,0,0,0,0,0,0.0763637,0,0.547551,6.31333,0,0,0,10.8458,34.0729,0.913972,7.6836,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",73.6997,0,0,0,0,0,0.0763637,0,0.360516,6.31333,0,0,0,14.2339,35.2642,1.14247,7.5064,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",67.2333,0,0,0,0,0,0.0763637,0,0.407814,6.31333,0,0,0,13.8131,36.4881,1.58041,7.2666,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",66.9716,0,0,0,0,0,0.0763637,0,0.450316,6.31333,0,0,0,12.025,36.1513,1.86603,6.97175,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",56.6047,0,0,0,0,0,0.0763637,0,0.799596,6.31333,0,0,0,7.30113,31.2653,1.61849,6.28535,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",47.1808,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,4.77676,26.7221,1.12342,6.50627,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",39.2637,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,21.9549,0.87589,5.65944,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",39.3484,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.0694,0.87589,5.54419,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",35.7498,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.3206,0.87589,5.32724,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",34.1977,0,0,0,0,0,0.0763637,0,0.0003215,6.31333,0,0,0,2.46275,19.2101,0.87589,5.2307,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",33.5205,0,0,0,0,0,0.0763637,0,0.00872459,6.31333,0,0,0,2.88348,18.3211,0.87589,5.01335,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",44.9527,0,0,0,0,0,0.0763637,0,8.28002,6.31333,0,0,0,4.44966,19.9323,0.70452,5.09776,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",47.7037,0,0,0,0,0,0.0763637,0,4.92503,6.31333,0,0,0,6.3584,23.3625,0.666438,5.86753,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",59.2642,0,0,0,0,0,0.0763637,0,11.1569,6.31333,0,0,0,8.42304,25.9428,0.647397,6.59492,0,0,0,0.17641,0,0,0,-0.0669688
"MtrElec",1,2,9,"",58.8471,0,0,0,0.125407,0,0.0763637,0,5.20696,6.31333,0,0,0,11.5157,26.0117,0.628356,6.47146,1.3606,0,1.75036,0.183466,0,0,0,-0.796716
"MtrElec",1,2,10,"",56.767,0,0,0,0.125407,0,0.0763637,0,3.35691,6.31333,0,0,0,11.9498,25.8051,0.53315,5.9349,1.11435,0.739299,1.8495,0.155241,0,0,0,-1.18629
"MtrElec",1,2,11,"",53.774,0,0,0,0.125407,0,0.0763637,0,1.86332,6.31333,0,0,0,11.7394,26.0582,0.418904,5.77293,0,0.781173,1.67248,0.148184,0,0,0,-1.19576
"MtrElec",1,2,12,"",54.3074,0,0,0,0.125407,0,0.0763637,0,1.66771,6.31333,0,0,0,11.529,26.0582,0.285616,5.85175,0,0.706407,1.78428,0.204636,0,0,0,-0.295348
"MtrElec",1,2,13,"",53.9529,0,0,0,0.125407,0,0.0763637,0,1.8909,6.31333,0,0,0,11.1083,26.085,0.228493,6.08312,1.41802,0.753625,0,0.246974,0,0,0,-0.376703
"MtrElec",1,2,14,"",60.4052,0,0,0,0.125407,0,0.0763637,0,1.31347,6.31333,0,0,0,11.1083,26.5565,0.209452,5.9226,1.0564,0,7.93763,0.225805,0,0,0,-0.440124
"MtrElec",1,2,15,"",55.5213,0,0,0,0.125407,0,0.0763637,0,1.03423,6.31333,0,0,0,11.1083,27.3386,0.209452,6.07156,0,3.35262,0,0.239918,0,0,0,-0.348509
"MtrElec",1,2,16,"",54.2234,0,0,0,0.125407,0,0.0763637,0,1.63147,6.31333,0,0,0,11.6342,28.0067,0.228493,6.10699,0,0,0,0.366933,0,0,0,-0.266565
"MtrElec",1,2,17,"",58.8025,0,0,0,0,0,0.0763637,0,1.94674,6.31333,0,0,0,12.1601,30.9818,0.361781,6.20171,0,0,0,0.811486,0,0,0,-0.0507822
"MtrElec",1,2,18,"",60.9978,0,0,0,0,0,0.0763637,0,1.9873,6.31333,0,0,0,10.3962,33.352,0.70452,6.80619,0,0,0,1.36188,0,0,0,0
"MtrElec",1,2,19,"",82.1301,0,0,0,0,0,0.0763637,0,1.72894,6.31333,0,0,0,13.8616,35.1059,0.933013,7.43959,15.4012,0,0,1.27015,0,0,0,0
"MtrElec",1,2,20,"",78.6454,0,0,0,0,0,0.0763637,0,1.83894,6.31333,0,0,0,17.3326,36.7715,1.23767,7.5186,6.86486,0,0,0.691527,0,0,0,0
"MtrElec",1,2,21,"",71.3386,0,0,0,0,0,0.0763637,0,2.01947,6.31333,0,0,0,15.8555,37.9399,1.73274,7.10494,0,0,0,0.296369,0,0,0,0
"MtrElec",1,2,22,"",69.7443,0,0,0,0,0,0.0763637,0,2.20855,6.31333,0,0,0,13.9016,37.4974,1.99931,6.72463,0,0,0.882062,0.141128,0,0,0,0
"MtrElec",1,2,23,"",58.2981,0,0,0,0,0,0.0763637,0,2.95951,6.31333,0,0,0,8.31665,32.1726,1.73274,6.26968,0,0.372557,0,0.0846768,0,0,0,0
"MtrElec",1,2,24,"",46.3655,0,0,0,0,0,0.0763637,0,1.04467,6.31333,0,0,0,4.77676,27.193,1.19959,5.69122,0,0,0,0.070564,0,0,0,0
"MtrElec",1,3,1,"",40.7425,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,5.85711,2.4757,0,0,0.035282,0,0,0,0
"MtrElec",1,3,2,"",35.8369,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.2964,0.87589,5.57358,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,3,3,"",34.2292,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.2666,0.856849,5.44244,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,4,"",34.2279,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2163,0.856849,5.28116,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,5,"",33.4778,0,0,0,0,0,0.0763637,0,0.0329132,6.31333,0,0,0,2.88348,18.2672,0.87589,5.00747,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,6,"",40.8447,0,0,0,0,0,0.0763637,0,4.92707,6.31333,0,0,0,3.9353,19.7678,0.856849,4.93273,0,0,0,0.035282,0,0,0,0
"MtrElec",1,3,7,"",50.5026,0,0,0,0,0,0.0763637,0,7.4897,6.31333,0,0,0,5.60667,22.2653,0.837808,4.94564,0,0,2.89718,0.070564,0,0,0,0
"MtrElec",1,3,8,"",62.3087,0,0,0,0,0,0.0763637,0,14.0258,6.31333,0,0,0,6.15556,24.4078,0.780684,5.56187,0,1.22368,3.76025,0.190523,0,0,0,-0.187231
"MtrElec",1,3,9,"",56.8571,0,0,0,0.125407,0,0.0763637,0,7.01723,6.31333,0,0,0,7.5917,23.5797,0.685479,6.69405,0,1.58822,3.92862,0.338707,0,0,0,-1.08167
"MtrElec",1,3,10,"",49.6039,0,0,0,0.125407,0,0.0763637,0,4.38856,6.31333,0,0,0,7.47813,23.4713,0.571233,6.48804,0,1.65933,0.364414,0.338707,0,0,0,-1.67093
"MtrElec",1,3,11,"",50.2085,0,0,0,0.125407,0,0.0763637,0,2.68549,6.31333,0,0,0,7.43359,24.0007,0.456986,6.38609,1.87284,0.153917,2.45388,0.324594,0,0,0,-2.07468
"MtrElec",1,3,12,"",53.9918,0,0,0,0.125407,0,0.0763637,0,1.7614,6.31333,0,0,0,7.22323,23.6659,0.304657,6.49455,5.54949,1.03645,3.34254,0.388102,0,0,0,-2.28953
"MtrElec",1,3,13,"",43.7425,0,0,0,0.125407,0,0.0763637,0,1.42656,6.31333,0,0,0,5.23141,22.9301,0.228493,6.60229,0,1.41179,1.19283,0.444553,0,0,0,-2.24066
"MtrElec",1,3,14,"",44.6526,0,0,0,0.125407,0,0.0763637,0,1.16759,6.31333,0,0,0,5.23141,23.5685,0.209452,6.68012,0,0.503817,2.35037,0.416328,0,0,0,-1.99005
"MtrElec",1,3,15,"",46.4825,0,0,0,0.125407,0,0.0763637,0,1.12738,6.31333,0,0,0,5.23141,24.6219,0.209452,6.56309,0,0.992727,2.33895,0.437497,0,0,0,-1.55493
"MtrElec",1,3,16,"",50.0913,0,0,0,0.125407,0,0.0763637,0,1.07687,6.31333,0,0,0,5.75733,25.7918,0.228493,6.82135,0,0.987901,3.36318,0.479835,0,0,0,-0.930595
"MtrElec",1,3,17,"",51.8425,0,0,0,0.125407,0,0.0763637,0,1.16623,6.31333,0,0,0,6.28324,28.7068,0.361781,6.56076,0,1.42051,0.472187,0.642132,0,0,0,-0.286197
"MtrElec",1,3,18,"",56.2479,0,0,0,0,0,0.0763637,0,1.53409,6.31333,0,0,0,6.62189,31.9054,0.723561,7.01085,0,0.199438,0.882206,0.980839,0,0,0,0
"MtrElec",1,3,19,"",62.9721,0,0,0,0,0,0.0763637,0,1.71954,6.31333,0,0,0,10.6357,33.9347,0.913972,7.68665,0,0.372617,0.408911,0.910275,0,0,0,0
"MtrElec",1,3,20,"",71.6225,0,0,0,0,0,0.0763637,0,1.03042,6.31333,0,0,0,13.9962,35.0984,1.14247,7.50042,4.94912,0.172712,0.835025,0.508061,0,0,0,0
"MtrElec",1,3,21,"",74.1927,0,0,0,0,0,0.0763637,0,1.22115,6.31333,0,0,0,13.5754,36.3223,1.58041,7.25511,6.4822,0.352689,0.787964,0.225805,0,0,0,0
"MtrElec",1,3,22,"",70.5119,0,0,0,0,0,0.0763637,0,1.52379,6.31333,0,0,0,11.6768,35.8749,1.86603,6.95473,3.41592,0.332812,2.37838,0.0987896,0,0,0,0
"MtrElec",1,3,23,"",57.9355,0,0,0,0,0,0.0763637,0,2.2532,6.31333,0,0,0,8.17815,32.1773,1.61849,6.25057,0,1.00456,0,0.0635076,0,0,0,0
"MtrElec",1,3,24,"",45.5324,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,4.77676,26.7221,1.12342,6.48515,0,0,0,0.035282,0,0,0,0
"MtrElec",1,4,1,"",40.7357,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,5.85028,2.4757,0,0,0.035282,0,0,0,0
"MtrElec",1,4,2,"",35.8234,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.2964,0.87589,5.56009,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,4,3,"",37.1434,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.2666,0.856849,5.42441,2.93223,0,0,0.0211692,0,0,0,0
"MtrElec",1,4,4,"",36.2262,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2163,0.856849,5.26069,2.01875,0,0,0.0211692,0,0,0,0
"MtrElec",1,4,5,"",33.8746,0,0,0,0,0,0.0763637,0,0.455373,6.31333,0,0,0,2.88348,18.2672,0.87589,4.98179,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,4,6,"",36.6982,0,0,0,0,0,0.0763637,0,0.803505,6.31333,0,0,0,3.9353,19.7678,0.856849,4.90982,0,0,0,0.035282,0,0,0,0
"MtrElec",1,4,7,"",46.424,0,0,0,0,0,0.0763637,0,5.85195,6.31333,0,0,0,5.09231,22.1548,0.837808,4.92258,0,0,1.10431,0.070564,0,0,0,0
"MtrElec",1,4,8,"",60.5796,0,0,0,0,0,0.0763637,0,13.0422,6.31333,0,0,0,5.61357,24.2696,0.780684,5.55812,2.31831,0.466428,1.95186,0.190523,0,0,0,-0.00135835
"MtrElec",1,4,9,"",54.671,0,0,0,0,0,0.0763637,0,8.27184,6.31333,0,0,0,4.90493,22.8832,0.685479,6.68777,2.63279,0.824407,1.35481,0.338707,0,0,0,-0.302576
"MtrElec",1,4,10,"",47.8587,0,0,0,0.125407,0,0.0763637,0,4.9123,6.31333,0,0,0,4.37902,22.0268,0.571233,6.48804,0,0.57223,3.33459,0.338707,0,0,0,-1.27938
"MtrElec",1,4,11,"",46.1257,0,0,0,0.125407,0,0.0763637,0,2.50783,6.31333,0,0,0,4.33448,22.5562,0.456986,6.38609,0,1.40843,3.63303,0.324594,0,0,0,-1.99703
"MtrElec",1,4,12,"",45.4077,0,0,0,0.125407,0,0.0763637,0,1.42014,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49455,2.31838,1.53448,2.24647,0.388102,0,0,0,-2.1596
"MtrElec",1,4,13,"",45.6257,0,0,0,0.125407,0,0.0763637,0,0.906273,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60228,2.63314,0.948843,2.25336,0.444553,0,0,0,-2.16629
"MtrElec",1,4,14,"",41.3273,0,0,0,0.125407,0,0.0763637,0,0.611599,6.31333,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.951753,0,0.416328,0,0,0,-1.95488
"MtrElec",1,4,15,"",44.0176,0,0,0,0.125407,0,0.0763637,0,0.449828,6.31333,0,0,0,4.41274,24.5389,0.209452,6.56001,0,0,2.33895,0.437497,0,0,0,-1.44489
"MtrElec",1,4,16,"",47.1199,0,0,0,0.125407,0,0.0763637,0,0.496726,6.31333,0,0,0,4.93865,25.7089,0.228493,6.81795,0,0.987901,1.59922,0.479835,0,0,0,-0.652868
"MtrElec",1,4,17,"",49.5651,0,0,0,0.125407,0,0.0763637,0,0.534278,6.31333,0,0,0,5.46456,28.6239,0.361781,6.54714,0,0.675462,0.472187,0.642132,0,0,0,-0.271422
"MtrElec",1,4,18,"",54.722,0,0,0,0,0,0.0763637,0,0.751387,6.31333,0,0,0,6.74902,31.933,0.723561,6.99506,0,0.199438,0,0.980839,0,0,0,0
"MtrElec",1,4,19,"",61.5947,0,0,0,0,0,0.0763637,0,0.784724,6.31333,0,0,0,10.8458,34.0729,0.913972,7.67746,0,0,0,0.910275,0,0,0,0
"MtrElec",1,4,20,"",66.4698,0,0,0,0,0,0.0763637,0,0.666422,6.31333,0,0,0,14.2339,35.2642,1.14247,7.49174,0,0,0.773323,0.508061,0,0,0,0
"MtrElec",1,4,21,"",73.5033,0,0,0,0,0,0.0763637,0,0.690129,6.31333,0,0,0,13.8131,36.4881,1.58041,7.24768,5.22368,0.326628,1.51806,0.225805,0,0,0,0
"MtrElec",1,4,22,"",71.7293,0,0,0,0,0,0.0763637,0,0.811624,6.31333,0,0,0,12.025,36.1513,1.86603,6.95331,4.67366,0.641185,2.11873,0.0987896,0,0,0,0
"MtrElec",1,4,23,"",57.0708,0,0,0,0,0,0.0763637,0,1.51625,6.31333,0,0,0,7.30113,31.2653,1.61849,6.25743,0,0.894889,1.76411,0.0635076,0,0,0,0
"MtrElec",1,4,24,"",46.3313,0,0,0,0,0,0.0763637,0,0.0532929,6.31333,0,0,0,4.77676,26.7221,1.12342,6.48564,0,0.745105,0,0.035282,0,0,0,0
"MtrElec",1,5,1,"",38.0343,0,0,0,0,0,0.0763637,0,0.0689026,6.31333,0,0,0,3.09384,21.9549,0.87589,5.61576,0,0,0,0.035282,0,0,0,0
"MtrElec",1,5,2,"",39.006,0,0,0,0,0,0.0763637,0,0.0825068,6.31333,0,0,0,2.67312,20.0694,0.87589,5.49192,3.39527,0,0,0.0282256,0,0,0,0
"MtrElec",1,5,3,"",35.7856,0,0,0,0,0,0.0763637,0,0.0973822,6.31333,0,0,0,2.25239,19.3206,0.87589,5.26559,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,5,4,"",34.2798,0,0,0,0,0,0.0763637,0,0.1492,6.31333,0,0,0,2.46275,19.2101,0.87589,5.16395,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,5,5,"",33.6632,0,0,0,0,0,0.0763637,0,0.23269,6.31333,0,0,0,2.88348,18.3211,0.87589,4.93205,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,5,6,"",48.0605,0,0,0,0,0,0.0763637,0,11.4932,6.31333,0,0,0,4.44966,19.9323,0.70452,4.99235,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,5,7,"",50.9553,0,0,0,0,0,0.0763637,0,8.26848,6.31333,0,0,0,6.3584,23.3625,0.666438,5.77572,0,0,0,0.134072,0,0,0,0
"MtrElec",1,5,8,"",64.0735,0,0,0,0,0,0.0763637,0,14.3392,6.31333,0,0,0,8.42304,25.9428,0.647397,6.56406,0,0,1.76389,0.17641,0,0,0,-0.172965
"MtrElec",1,5,9,"",59.874,0,0,0,0.125407,0,0.0763637,0,6.90481,6.31333,0,0,0,11.5157,26.0117,0.628356,6.45449,0,0.745014,1.88469,0.183466,0,0,0,-0.969422
"MtrElec",1,5,10,"",57.0837,0,0,0,0.125407,0,0.0763637,0,4.01837,6.31333,0,0,0,11.9498,25.8051,0.53315,5.9349,1.42448,0.796035,1.64418,0.155241,0,0,0,-1.69257
"MtrElec",1,5,11,"",56.6465,0,0,0,0.125407,0,0.0763637,0,2.37355,6.31333,0,0,0,11.7394,26.0582,0.418904,5.77293,3.22947,0.694451,1.76397,0.148184,0,0,0,-2.06775
"MtrElec",1,5,12,"",52.4475,0,0,0,0.125407,0,0.0763637,0,1.4242,6.31333,0,0,0,11.529,26.0582,0.285616,5.85175,0.296245,0.745048,1.75204,0.204636,0,0,0,-2.21445
"MtrElec",1,5,13,"",50.3735,0,0,0,0.125407,0,0.0763637,0,0.984298,6.31333,0,0,0,11.1083,26.085,0.228493,6.08314,0,0.740009,0.537193,0.246974,0,0,0,-2.1551
"MtrElec",1,5,14,"",53.2712,0,0,0,0.125407,0,0.0763637,0,0.624052,6.31333,0,0,0,11.1083,26.5565,0.209452,5.92509,0,0.226894,3.45272,0.225805,0,0,0,-1.57277
"MtrElec",1,5,15,"",53.449,0,0,0,0.125407,0,0.0763637,0,0.324167,6.31333,0,0,0,11.1083,27.3386,0.209452,6.07991,0,1.45833,1.54177,0.239918,0,0,0,-1.3666
"MtrElec",1,5,16,"",55.3243,0,0,0,0.125407,0,0.0763637,0,0.260649,6.31333,0,0,0,11.6342,28.0067,0.228493,6.13013,0,0.651197,2.41885,0.366933,0,0,0,-0.888049
"MtrElec",1,5,17,"",59.5513,0,0,0,0.125407,0,0.0763637,0,0.296592,6.31333,0,0,0,12.1601,30.9818,0.361781,6.25573,0.530617,1.02165,0.881924,0.811486,0,0,0,-0.265435
"MtrElec",1,5,18,"",62.8435,0,0,0,0,0,0.0763637,0,0.562753,6.31333,0,0,0,10.3962,33.352,0.70452,6.87802,1.9438,0.372498,0.882049,1.36188,0,0,0,0
"MtrElec",1,5,19,"",69.8464,0,0,0,0,0,0.0763637,0,0.990455,6.31333,0,0,0,13.8616,35.1059,0.933013,7.50055,3.4225,0.372551,0,1.27015,0,0,0,0
"MtrElec",1,5,20,"",73.9201,0,0,0,0,0,0.0763637,0,1.42745,6.31333,0,0,0,17.3326,36.7715,1.23767,7.56465,2.50495,0,0,0.691527,0,0,0,0
"MtrElec",1,5,21,"",72.6742,0,0,0,0,0,0.0763637,0,1.80897,6.31333,0,0,0,15.8555,37.9399,1.73274,7.15497,1.49601,0,0,0.296369,0,0,0,0
"MtrElec",1,5,22,"",79.521,0,0,0,0,0,0.0763637,0,1.76479,6.31333,0,0,0,13.9016,37.4974,1.99931,6.77397,7.43991,0,3.6132,0.141128,0,0,0,0
"MtrElec",1,5,23,"",65.187,0,0,0,0,0,0.0763637,0,2.10898,6.31333,0,0,0,8.31665,32.1726,1.73274,6.31157,4.93446,1.52611,1.60957,0.0846768,0,0,0,0
"MtrElec",1,5,24,"",47.9862,0,0,0,0,0,0.0763637,0,0.999988,6.31333,0,0,0,4.77676,27.193,1.19959,5.72505,0,0.679835,0.951768,0.070564,0,0,0,0
"MtrElec",1,6,1,"",40.1599,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,21.9549,0.87589,5.64414,0,0.401998,1.76412,0.035282,0,0,0,0
"MtrElec",1,6,2,"",38.0045,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.0694,0.87589,5.52539,1.69764,0.745113,0,0.0282256,0,0,0,0
"MtrElec",1,6,3,"",34.952,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.3206,0.87589,5.3073,0.777912,0,0,0.0282256,0,0,0,0
"MtrElec",1,6,4,"",34.179,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2101,0.87589,5.21236,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,6,5,"",33.4955,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.3211,0.87589,4.99703,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,6,6,"",40.2718,0,0,0,0,0,0.0763637,0,3.61075,6.31333,0,0,0,4.44966,19.9323,0.70452,5.08614,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,6,7,"",46.4108,0,0,0,0,0,0.0763637,0,3.63289,6.31333,0,0,0,6.3584,23.3625,0.666438,5.86675,0,0,0,0.134072,0,0,0,0
"MtrElec",1,6,8,"",59.8136,0,0,0,0,0,0.0763637,0,9.86904,6.31333,0,0,0,8.42304,25.9428,0.647397,6.60142,0,0,1.76389,0.17641,0,0,0,0
"MtrElec",1,6,9,"",57.1638,0,0,0,0,0,0.0763637,0,4.90973,6.31333,0,0,0,11.5157,26.0117,0.628356,6.47448,0,0.745014,0.574556,0.183466,0,0,0,-0.269002
"MtrElec",1,6,10,"",59.9592,0,0,0,0.125407,0,0.0763637,0,3.57069,6.31333,0,0,0,11.9498,25.8051,0.53315,5.9349,1.45487,0.242675,4.38377,0.155241,0,0,0,-0.586057
"MtrElec",1,6,11,"",61.5856,0,0,0,0.125407,0,0.0763637,0,2.23094,6.31333,0,0,0,11.7394,26.0582,0.418904,5.77293,5.08071,1.85157,2.98006,0.148184,0,0,0,-1.21046
"MtrElec",1,6,12,"",53.3654,0,0,0,0.125407,0,0.0763637,0,1.65453,6.31333,0,0,0,11.529,26.0582,0.285616,5.85175,0.888735,1.25869,0,0.204636,0,0,0,-0.880947
"MtrElec",1,6,13,"",53.4261,0,0,0,0.125407,0,0.0763637,0,1.36737,6.31333,0,0,0,11.1083,26.085,0.228493,6.08312,0,0,2.46891,0.246974,0,0,0,-0.677212
"MtrElec",1,6,14,"",56.0118,0,0,0,0.125407,0,0.0763637,0,1.01417,6.31333,0,0,0,11.1083,26.5565,0.209452,5.9226,0,1.04279,4.02617,0.225805,0,0,0,-0.609094
"MtrElec",1,6,15,"",55.3046,0,0,0,0.125407,0,0.0763637,0,0.903739,6.31333,0,0,0,11.1083,27.3386,0.209452,6.07157,0,1.70053,1.44375,0.239918,0,0,0,-0.226364
"MtrElec",1,6,16,"",56.6613,0,0,0,0.125407,0,0.0763637,0,0.747835,6.31333,0,0,0,11.6342,28.0067,0.228493,6.10721,0,0.609795,2.64649,0.366933,0,0,0,-0.201468
"MtrElec",1,6,17,"",61.8062,0,0,0,0,0,0.0763637,0,0.694202,6.31333,0,0,0,12.1601,30.9818,0.361781,6.20353,0.530617,1.1178,2.64577,0.811486,0,0,0,-0.0905549
"MtrElec",1,6,18,"",65.53,0,0,0,0,0,0.0763637,0,0.801712,6.31333,0,0,0,10.3962,33.352,0.70452,6.8165,1.9438,1.11749,2.64615,1.36188,0,0,0,0
