16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.0 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2020-03-10 20:16:03"
Cond. Area:,,,7320
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpwh\runs\lrgs-proposed\cz14\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.221825,0,0.0100004,0,0.157419,0.37818,1.36223,0.0680012,0,0,2.19765,0,0,0,0,0.0132535,0,0,0.00143269,0,0,0.0146862,0,0,0,0,0,0,0,0,0,0,0,27.3864,353.349,0,0.000249403,0.004509,
1,1,2,0,0,0.221825,0,0.0100004,0,0.130041,0.358947,1.25338,0.0680012,0,0,2.0422,0,0,0,0,0.0131836,0,0,0.00114615,0,0,0.0143297,0,0,0,0,0,0,0,0,0,0,0,27.3657,353.349,0,0.000249051,0.004509,
1,1,3,0,0,0.221825,0,0.0100004,0,0.102664,0.351104,1.18819,0.0665229,0,0,1.94031,0,0,0,0,0.0132599,0,0,0.000859615,0,0,0.0141195,0,0,0,0,0,0,0,0,0,0,0,27.2822,353.349,0,0.000248744,0.004509,
1,1,4,0,0,0.221825,0,0.0100004,0,0.116353,0.341863,1.18481,0.0665229,0,0,1.94138,0,0,0,0,0.0132492,0,0,0.000859615,0,0,0.0141088,0,0,0,0,0,0,0,0,0,0,0,27.2148,353.349,0,0.000244034,0.004509,
1,1,5,0,0,0.221825,0,0.0100004,0,0.14373,0.32521,1.12527,0.0680012,0,0,1.89404,0,0,0,0,0.0133342,0,0,0.000859615,0,0,0.0141938,0,0,0,0,0,0,0,0,0,0,0,27.2591,353.349,0,0.000247897,0.004509,
1,1,6,0,0,0.221825,0,0.0100004,0,0.212173,0.32211,1.21935,0.0665229,0,0,2.05198,0,0,0,0,0.0193882,0,0,0.00143269,0,0,0.0208209,0,0,0,0,0,0,0,0,0,0,0,27.3779,353.349,0,0.000250017,0.004509,
1,1,7,0.1242,0,0.221825,0,0.0100004,0,0.28746,0.517791,1.36938,0.0650445,0,0,2.59571,0.183497,0,0,0,0.0163149,0,0,0.00286538,0,0,0.202677,0,0,0,0,0,0,0,0,0,0,0,27.4044,353.349,0,0.000250652,0.004509,
1,1,8,0.507312,0,0.221825,0,0.0100004,0,0.280616,1.15223,1.47115,0.0606096,-0.171759,0,3.53198,0.749516,0,0,0,0.0183137,0,0,0.0649113,0,0,0.832741,0,0,0,0,0,0,0,0,0,0,0,27.3881,353.349,0,0.000250171,0.004509,
1,1,9,0.207875,0,0.221825,0,0.0100004,0,0.232706,1.03697,1.38334,0.0532183,-0.428614,0,2.71731,0.30712,0,0,0,0.016943,0,0,0.222457,0,0,0.54652,0,0,0,0,0,0,0,0,0,0,0,27.1899,353.349,0,0.000245568,0.004509,
1,1,10,0.123365,0,0.221825,0,0.132585,0,0.198484,2.2231,1.33015,0.0443485,-2.00504,0,2.26882,0.182263,0,0,0,0.0198646,0,0,0.0993683,0,0,0.301496,0,0,0,0,0,0,0,0,0,0,0,25.5303,353.349,0,0.000205897,0.004509,
1,1,11,0.053791,0,0.221825,0,0.132585,0,0.184796,2.15679,1.35269,0.0354789,-1.99172,0,2.14623,0.0794725,0,0,0,0.0236385,0,0,0.508466,0,0,0.611577,0,0,0,0,0,0,0,0,0,0,0,24.9337,353.349,0,0.000187311,0.004509,
1,1,12,0.0758039,0,0.221825,0,0.132585,0,0.171107,1.78913,1.33126,0.0236526,-2.31623,0,1.42913,0.111995,0,0,0,0.037253,0,0,0.320482,0,0,0.46973,0,0,0,0,0,0,0,0,0,0,0,24.5238,353.349,0,0.000172385,0.004509,
1,1,13,0.097976,0,0.221825,0,0.132585,0,0.14373,1.15655,1.31917,0.0177394,-3.79484,0,-0.705272,0.144752,0,0,0,0.0431708,0,0,0.0214245,0,0,0.209347,0,0,0,0,0,0,0,0,0,0,0,24.5322,353.349,0,0.000162633,0.004509,
1,1,14,0.0954434,0,0.221825,0,0.132585,0,0.14373,0.628297,1.35944,0.0162611,-3.35328,0,-0.755698,0.141011,0,0,0,0.0351754,0,0,0.061789,0,0,0.237975,0,0,0,0,0,0,0,0,0,0,0,24.5236,353.349,0,0.000167705,0.004509,
