16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-06-07 18:28:55"
Cond. Area:,,,7320
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\furnace-analysis\runs\lrgs-baseline\cz15\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0.8714,0,0.221825,0,0.0320012,0,0.157419,0.384086,1.36223,0.0680012,0,0,3.09696,0,0,0,0,0,0,0,0.00143269,0,0,0.00143269,0,0,0,0,0,0,0,0,0,0,0,27.4453,353.349,0,0.000249403,0.004509,
1,1,2,1.15194,0,0.221825,0,0.0320012,0,0.130041,0.36711,1.25338,0.0680012,0,0,3.2243,0,0,0,0,0,0,0,0.00114615,0,0,0.00114615,0,0,0,0,0,0,0,0,0,0,0,27.4246,353.349,0,0.000249051,0.004509,
1,1,3,1.28325,0,0.221825,0,0.0331852,0,0.102664,0.359507,1.18819,0.0665229,0,0,3.25515,0,0,0,0,0.00474783,0,0,0.000859615,0,0,0.00560745,0,0,0,0,0,0,0,0,0,0,0,27.3411,353.349,0,0.000248744,0.004509,
1,1,4,2.13085,0,0.221825,0,0.0320012,0,0.116353,0.351165,1.18481,0.0665229,0,0,4.10353,0,0,0,0,0,0,0,0.000859615,0,0,0.000859615,0,0,0,0,0,0,0,0,0,0,0,27.2737,353.349,0,0.000244034,0.004509,
1,1,5,2.73555,0,0.221825,0,0.0331852,0,0.14373,0.3373,1.12527,0.0680012,0,0,4.66486,0,0,0,0,0.00452662,0,0,0.000859615,0,0,0.00538624,0,0,0,0,0,0,0,0,0,0,0,27.318,353.349,0,0.000247897,0.004509,
1,1,6,2.74752,0,0.221825,0,0.0829059,0,0.212173,0.336389,1.21935,0.0665229,0,0,4.88668,0,0,0,0,0.276871,0,0,0.00143269,0,0,0.278304,0,0,0,0,0,0,0,0,0,0,0,27.4368,353.349,0,0.000250017,0.004509,
1,1,7,2.18504,0,0.221825,0,0.0852737,0,0.28746,0.536381,1.36938,0.0650445,0,0,4.75041,0,0,0,0,0.126729,0,0,0.00286538,0,0,0.129594,0,0,0,0,0,0,0,0,0,0,0,27.4633,353.349,0,0.000250652,0.004509,
1,1,8,1.65736,0,0.221825,0,0.152752,0,0.280616,1.16633,1.47115,0.0606096,-0.458411,0,4.55223,0,0,0,0,0.193883,0,0,0.0649113,0,0,0.258794,0,0,0,0,0,0,0,0,0,0,0,27.447,353.349,0,0.000250171,0.004509,
1,1,9,0.900708,0,0.221825,0,0.148016,0,0.232706,1.03783,1.38334,0.0532183,-4.64411,0,-0.666468,0,0,0,0,0.128078,0,0,0.222457,0,0,0.350535,0,0,0,0,0,0,0,0,0,0,0,27.2488,353.349,0,0.000245568,0.004509,
1,1,10,0.365181,0,0.221825,0,0.133811,0,0.198484,2.2231,1.33015,0.0443485,-8.25191,0,-3.73501,0,0,0,0,0.295105,0,0,0.0993683,0,0,0.394473,0,0,0,0,0,0,0,0,0,0,0,25.5892,353.349,0,0.000205897,0.004509,
1,1,11,0,0,0.221825,0,0.130259,0,0.184796,2.1576,1.35269,0.0354789,-11.0798,0,-6.99719,0,0,0,0,0.170581,0,0,0.508466,0,0,0.679047,0,0,0,0,0,0,0,0,0,0,0,24.9926,353.349,0,0.000187311,0.004509,
1,1,12,0,0,0.221825,0,0.0722515,0,0.171107,1.79289,1.33126,0.0236526,-9.65179,0,-6.0388,0,0,0,0,0.12558,0,0,0.320482,0,0,0.446062,0,0,0,0,0,0,0,0,0,0,0,24.5827,353.349,0,0.000172385,0.004509,
1,1,13,0,0,0.221825,0,0.0686999,0,0.14373,1.16205,1.31917,0.0177394,-9.2629,0,-6.32968,0,0,0,0,0.0846273,0,0,0.0214245,0,0,0.106052,0,0,0,0,0,0,0,0,0,0,0,24.5911,353.349,0,0.000162633,0.004509,
1,1,14,0,0,0.221825,0,0.075803,0,0.14373,0.633353,1.35944,0.0162611,-10.6597,0,-8.20926,0,0,0,0,0.0302124,0,0,0.061789,0,0,0.0920014,0,0,0,0,0,0,0,0,0,0,0,24.5825,353.349,0,0.000167705,0.004509,
