16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-02-16 16:59:44"
Cond. Area:,,,39372
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\OneDrive - TRC\Documents\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat19-base45\cz16\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,23.6828,0,1.85033,0,0.0223809,0,0.906753,1.7398,6.45223,0.256709,0,0,34.911,0,0,0,0,0.272705,0,0,0.006564,0,0,0.279269,0,0,0,0,0,0,0,0,0,0,0,28.5022,353.349,0,0.000249403,0.004509,
1,1,2,24.8532,0,1.85033,0,0.0223809,0,0.783447,1.66738,5.94853,0.256709,0,0,35.382,0,0,0,0,0.133453,0,0,0.0052512,0,0,0.138704,0,0,0,0,0,0,0,0,0,0,0,28.4815,353.349,0,0.000249051,0.004509,
1,1,3,23.969,0,1.85033,0,0.0223809,0,0.660138,1.63712,5.64672,0.251128,0,0,34.0368,0,0,0,0,0.103847,0,0,0.0039384,0,0,0.107785,0,0,0,0,0,0,0,0,0,0,0,28.398,353.349,0,0.000248744,0.004509,
1,1,4,25.444,0,1.85033,0,0.0223809,0,0.721791,1.5994,5.63198,0.251128,0,0,35.521,0,0,0,0,0.100181,0,0,0.0039384,0,0,0.104119,0,0,0,0,0,0,0,0,0,0,0,28.3306,353.349,0,0.000244034,0.004509,
1,1,5,25.7325,0,1.85033,0,0.0223809,0,0.8451,1.53625,5.35381,0.256709,0,0,35.5971,0,0,0,0,0.107531,0,0,0.0039384,0,0,0.111469,0,0,0,0,0,0,0,0,0,0,0,28.3749,353.349,0,0.000247897,0.004509,
1,1,6,24.3627,0,1.85033,0,0.0223809,0,1.15337,1.53212,5.79361,0.251128,0,0,34.9656,0,0,0,0,1.00541,0,0,0.006564,0,0,1.01197,0,0,0,0,0,0,0,0,0,0,0,28.4937,353.349,0,0.000250017,0.004509,
1,1,7,24.319,0,1.85033,0,0.0223809,0,1.49247,1.98713,6.4932,0.245547,0,0,36.41,0,0,0,0,0.512981,0,0,0.013128,0,0,0.526109,0,0,0,0,0,0,0,0,0,0,0,28.5202,353.349,0,0.000250652,0.004509,
1,1,8,38.0927,0,1.85033,0,0.0223809,0,1.64524,3.4812,7.11301,0.228805,0,0,52.4337,0,0,0,0,0.99089,0,0,0.160029,0,0,1.15092,0,0,0,0,0,0,0,0,0,0,0,28.5039,353.349,0,0.000250171,0.004509,
1,1,9,32.8476,0,1.85033,0,0.0223809,0,1.43755,3.72741,6.70668,0.200902,-1.18763,0,45.6053,0,0,0,0,1.48046,0,0,0.525414,0,0,2.00587,0,0,0,0,0,0,0,0,0,0,0,28.3057,353.349,0,0.000245568,0.004509,
1,1,10,27.4608,0,1.85033,0,0.0223809,0,1.28342,6.79894,6.45569,0.167419,-4.31958,0,39.7194,0,0,0,0,1.38477,0,0,0.361256,0,0,1.74603,0,0,0,0,0,0,0,0,0,0,0,26.6461,353.349,0,0.000205897,0.004509,
1,1,11,25.8201,0,1.85033,0,0.0223809,0,1.27036,6.77494,6.61084,0.133935,-4.51597,0,37.967,0,0,0,0,0.94349,0,0,1.09974,0,0,2.04323,0,0,0,0,0,0,0,0,0,0,0,26.0495,353.349,0,0.000187311,0.004509,
1,1,12,27.2674,0,1.85033,0,0.0223809,0,1.20871,4.70988,6.51272,0.0892899,-6.23288,0,35.4278,0,0,0,0,1.12431,0,0,0.681648,0,0,1.80596,0,0,0,0,0,0,0,0,0,0,0,25.6395,353.349,0,0.000172385,0.004509,
1,1,13,27.9598,0,1.85033,0,0.0223809,0,1.2933,4.19718,6.69613,0.0669675,-7.32207,0,34.764,0,0,0,0,0.757388,0,0,0.0894516,0,0,0.84684,0,0,0,0,0,0,0,0,0,0,0,25.6479,353.349,0,0.000162633,0.004509,
1,1,14,27.4753,0,1.85033,0,0.0223809,0,1.2933,2.42329,6.88324,0.0613869,-9.32222,0,30.687,0,0,0,0,0.446943,0,0,0.167222,0,0,0.614165,0,0,0,0,0,0,0,0,0,0,0,25.6394,353.349,0,0.000167705,0.004509,
