16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 16:31:38"
Cond. Area:,,,39372
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-propU\cz09\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,17.3487,0,0.427597,0,0.0220009,0,1.93299,3.34286,5.08716,0,0,0,28.1613,0,0,0,0,0.265578,0,0,0.135015,0,0,0.400593,0,0,0,0,0,0,0,0,0,0,0,27.5499,353.349,0,0.000249403,0.004509,
1,1,2,20.259,0,0.427597,0,0.0220009,0,1.63121,3.31038,4.81685,0,0,0,30.467,0,0,0,0,0.140652,0,0,0.127717,0,0,0.268369,0,0,0,0,0,0,0,0,0,0,0,27.5291,353.349,0,0.000249051,0.004509,
1,1,3,21.1579,0,0.427597,0,0.0220009,0,1.32942,3.29414,4.68171,0,0,0,30.9128,0,0,0,0,0.112274,0,0,0.124068,0,0,0.236342,0,0,0,0,0,0,0,0,0,0,0,27.4456,353.349,0,0.000248744,0.004509,
1,1,4,23.4902,0,0.427597,0,0.0220009,0,1.48032,3.29414,4.68171,0,0,0,33.3959,0,0,0,0,0.108901,0,0,0.124068,0,0,0.232969,0,0,0,0,0,0,0,0,0,0,0,27.3782,353.349,0,0.000244034,0.004509,
1,1,5,26.126,0,0.427597,0,0.0220009,0,1.7821,3.26165,4.4114,0,0,0,36.0307,0,0,0,0,0.116106,0,0,0.11677,0,0,0.232876,0,0,0,0,0,0,0,0,0,0,0,27.4225,353.349,0,0.000247897,0.004509,
1,1,6,26.7426,0,0.427597,0,0.0220009,0,2.53656,3.32662,4.95202,0,0,0,38.0074,0,0,0,0,0.915654,0,0,0.131366,0,0,1.04702,0,0,0,0,0,0,0,0,0,0,0,27.5413,353.349,0,0.000250017,0.004509,
1,1,7,26.136,0,0.427597,0,0.0220009,0,3.36647,3.42408,5.76295,0,0,0,39.1391,0,0,0,0,0.497313,0,0,0.15326,0,0,0.650573,0,0,0,0,0,0,0,0,0,0,0,27.5678,353.349,0,0.000250652,0.004509,
1,1,8,24.6977,0,0.427597,0,0.0220009,0,3.47462,3.45656,6.18177,0,0,0,38.2602,0,0,0,0,0.954972,0,0,0.160558,0,0,1.11553,0,0,0,0,0,0,0,0,0,0,0,27.5515,353.349,0,0.000250171,0.004509,
1,1,9,22.268,0,0.427597,0,0.0220009,0,2.9546,3.34286,5.24379,0,0,0,34.2589,0,0,0,0,1.39247,0,0,0.135015,0,0,1.52748,0,0,0,0,0,0,0,0,0,0,0,27.3533,353.349,0,0.000245568,0.004509,
1,1,10,16.2945,0,0.427597,0,0.0220009,0,2.57737,3.26165,4.568,0,0,0,27.1512,0,0,0,0,1.33025,0,0,0.11677,0,0,1.44702,0,0,0,0,0,0,0,0,0,0,0,25.6938,353.349,0,0.000205897,0.004509,
1,1,11,9.7952,0,0.427597,0,0.0220009,0,2.47508,3.2779,4.75176,0,0,0,20.7495,0,0,0,0,0.913071,0,0,0.120419,0,0,1.03349,0,0,0,0,0,0,0,0,0,0,0,25.0971,353.349,0,0.000187311,0.004509,
1,1,12,2.57234,0,0.427597,0,0.0220009,0,2.32419,3.2779,4.75176,0,0,0,13.3758,0,0,0,0,1.04672,0,0,0.120419,0,0,1.16714,0,0,0,0,0,0,0,0,0,0,0,24.6872,353.349,0,0.000172385,0.004509,
1,1,13,0.246778,0,0.427597,0,0.0220009,0,2.2303,3.26165,4.85689,0,0,0,11.0452,0,0,0,0,0.720185,0,0,0.11677,0,0,0.836954,0,0,0,0,0,0,0,0,0,0,0,24.6956,353.349,0,0.000162633,0.004509,
1,1,14,0.0657801,0,0.427597,0,0.0220009,0,2.2303,3.2779,4.99206,0,0,0,11.0156,0,0,0,0,0.428962,0,0,0.120419,0,0,0.549381,0,0,0,0,0,0,0,0,0,0,0,24.687,353.349,0,0.000167705,0.004509,
1,1,15,0.0481784,0.00198568,0.427597,0,0.0220009,0,2.2303,3.31038,5.26237,0,0,0,11.3028,0,0,0,0,0.575728,0,0,0.127717,0,0,0.703445,0,0,0,0,0,0,0,0,0,0,0,24.8261,353.349,0,0.000168169,0.004509,
