16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-01-28 15:20:41"
Cond. Area:,,,39372
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\OneDrive - TRC\Documents\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat-base\cz08\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,3.78816,0,1.85033,0,0.0223809,0,0.906753,1.79676,6.45223,0.256709,0,0,15.0733,0,0,0,0,0.223909,0,0,0.006564,0,0,0.230473,0,0,0,0,0,0,0,0,0,0,0,27.5798,353.349,0,0.000249403,0.004509,
1,1,2,4.47506,0,1.85033,0,0.0223809,0,0.783447,1.71242,5.94853,0.256709,0,0,15.0489,0,0,0,0,0.109918,0,0,0.0052512,0,0,0.115169,0,0,0,0,0,0,0,0,0,0,0,27.559,353.349,0,0.000249051,0.004509,
1,1,3,4.71938,0,1.85033,0,0.0223809,0,0.660138,1.67547,5.64672,0.251128,0,0,14.8255,0,0,0,0,0.0838803,0,0,0.0039384,0,0,0.0878187,0,0,0,0,0,0,0,0,0,0,0,27.4755,353.349,0,0.000248744,0.004509,
1,1,4,5.00107,0,1.85033,0,0.0223809,0,0.721791,1.63266,5.63198,0.251128,0,0,15.1113,0,0,0,0,0.0806544,0,0,0.0039384,0,0,0.0845928,0,0,0,0,0,0,0,0,0,0,0,27.4081,353.349,0,0.000244034,0.004509,
1,1,5,5.51923,0,1.85033,0,0.0223809,0,0.8451,1.56858,5.35381,0.256709,0,0,15.4161,0,0,0,0,0.0872952,0,0,0.0039384,0,0,0.0912336,0,0,0,0,0,0,0,0,0,0,0,27.4525,353.349,0,0.000247897,0.004509,
1,1,6,5.41221,0,1.85033,0,0.0223809,0,1.15337,1.55956,5.79361,0.251128,0,0,16.0426,0,0,0,0,0.817628,0,0,0.006564,0,0,0.824192,0,0,0,0,0,0,0,0,0,0,0,27.5712,353.349,0,0.000250017,0.004509,
1,1,7,4.82348,0,1.85033,0,0.0223809,0,1.49247,2.0133,6.4932,0.245547,0,0,16.9407,0,0,0,0,0.436721,0,0,0.013128,0,0,0.449849,0,0,0,0,0,0,0,0,0,0,0,27.5977,353.349,0,0.000250652,0.004509,
1,1,8,13.1324,0,1.85033,0,0.0223809,0,1.64524,3.50362,7.11301,0.228805,-5.64971,0,21.8461,0,0,0,0,0.857004,0,0,0.160029,0,0,1.01703,0,0,0,0,0,0,0,0,0,0,0,27.5814,353.349,0,0.000250171,0.004509,
1,1,9,7.76355,0,1.85033,0,0.0543252,0,1.43755,3.74149,6.70668,0.200902,-12.843,0,8.91184,0,0,0,0,1.23591,0,0,0.525414,0,0,1.76132,0,0,0,0,0,0,0,0,0,0,0,27.3832,353.349,0,0.000245568,0.004509,
1,1,10,2.19312,0,1.85033,0,0.0543252,0,1.28342,6.81889,6.45569,0.167419,-27.0601,0,-8.23696,0,0,0,0,1.09739,0,0,0.361256,0,0,1.45865,0,0,0,0,0,0,0,0,0,0,0,25.7237,353.349,0,0.000205897,0.004509,
1,1,11,1.19014,0,1.85033,0,0.0543252,0,1.27036,6.79698,6.61084,0.133935,-35.5079,0,-17.601,0,0,0,0,0.729084,0,0,1.09974,0,0,1.82882,0,0,0,0,0,0,0,0,0,0,0,25.127,353.349,0,0.000187311,0.004509,
1,1,12,0.743479,0,1.85033,0,0.0543252,0,1.20871,4.74245,6.51272,0.0892899,-47.1372,0,-31.9359,0,0,0,0,0.739158,0,0,0.681648,0,0,1.42081,0,0,0,0,0,0,0,0,0,0,0,24.7171,353.349,0,0.000172385,0.004509,
1,1,13,0.37867,0,1.85033,0,0.0543252,0,1.2933,4.24082,6.69613,0.0669675,-48.6442,0,-34.0637,0,0,0,0,0.463382,0,0,0.0894516,0,0,0.552834,0,0,0,0,0,0,0,0,0,0,0,24.7255,353.349,0,0.000162633,0.004509,
1,1,14,0.104049,0,1.85033,0,0.0543252,0,1.2933,2.47312,6.88324,0.0613869,-46.8365,0,-34.1167,0,0,0,0,0.238263,0,0,0.167222,0,0,0.405485,0,0,0,0,0,0,0,0,0,0,0,24.7169,353.349,0,0.000167705,0.004509,
