16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-02-05 12:20:52"
Cond. Area:,,,7320
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\OneDrive - TRC\Documents\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrgs-low-baseszac\cz05\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0.568388,0,0.221825,0,0.00969839,0,0.385211,0.735811,1.11052,0,0,0,3.03146,0.473048,0,0,0,0.0392335,0,0,0.0299892,0,0,0.542271,0,0,0,0,0,0,0,0,0,0,0,28.2029,352.219,0,0.000247243,0.004509,
1,1,2,0.609628,0,0.221825,0,0.00969839,0,0.318218,0.728825,1.0505,0,0,0,2.93869,0.50737,0,0,0,0.045511,0,0,0.0283681,0,0,0.581249,0,0,0,0,0,0,0,0,0,0,0,28.1871,352.219,0,0.000246894,0.004509,
1,1,3,0.664848,0,0.221825,0,0.00969839,0,0.251224,0.725332,1.02048,0,0,0,2.89341,0.553328,0,0,0,0.0645319,0,0,0.0275576,0,0,0.645417,0,0,0,0,0,0,0,0,0,0,0,28.1305,352.219,0,0.000246589,0.004509,
1,1,4,0.669789,0,0.221825,0,0.00969839,0,0.28472,0.725332,1.02048,0,0,0,2.93185,0.557439,0,0,0,0.171062,0,0,0.0275576,0,0,0.756059,0,0,0,0,0,0,0,0,0,0,0,28.0376,352.219,0,0.000241921,0.004509,
1,1,5,0.653074,0,0.221825,0,0.00969839,0,0.351715,0.718346,0.960451,0,0,0,2.91511,0.543528,0,0,0,0.190084,0,0,0.0259366,0,0,0.759549,0,0,0,0,0,0,0,0,0,0,0,28.1579,352.219,0,0.00024575,0.004509,
1,1,6,0.587652,0,0.221825,0,0.00969839,0,0.519197,0.732318,1.08051,0,0,0,3.1512,0.489081,0,0,0,0.552355,0,0,0.0291787,0,0,1.07061,0,0,0,0,0,0,0,0,0,0,0,28.1988,352.219,0,0.000247852,0.004509,
1,1,7,0.520255,0,0.221825,0,0.00969839,0,0.703426,0.753275,1.26059,0,0,0,3.46907,0.432989,0,0,0,0.228502,0,0,0.0340418,0,0,0.695533,0,0,0,0,0,0,0,0,0,0,0,28.2208,352.219,0,0.000248481,0.004509,
1,1,8,0.491773,0,0.221825,0,0.00969839,0,0.686679,0.760261,1.32062,0,0,0,3.49086,0.409284,0,0,0,0.298826,0,0,0.0356628,0,0,0.743773,0,0,0,0,0,0,0,0,0,0,0,28.2105,352.219,0,0.000248005,0.004509,
1,1,9,0.440821,0,0.221825,0,0.00969839,0,0.56944,0.735811,1.11052,0,0,0,3.08812,0.366877,0,0,0,0.210089,0,0,0.0299892,0,0,0.606955,0,0,0,0,0,0,0,0,0,0,0,28.1953,352.219,0,0.000243441,0.004509,
1,1,10,0.306509,0,0.221825,0,0.00969839,0,0.4857,0.718346,0.960451,0,0,0,2.70253,0.255095,0,0,0,0.452382,0,0,0.0259366,0,0,0.733414,0,0,0,0,0,0,0,0,0,0,0,27.7067,352.219,0,0.000204114,0.004509,
1,1,11,0.188158,0,0.221825,0,0.00969839,0,0.452204,0.721839,0.990466,0,0,0,2.58419,0.156596,0,0,0,0.277806,0,0,0.0267471,0,0,0.461149,0,0,0,0,0,0,0,0,0,0,0,27.4549,352.219,0,0.000185689,0.004509,
1,1,12,0.0908564,0,0.221825,0,0.00969839,0,0.418708,0.721839,0.990466,0,0,0,2.45339,0.0756163,0,0,0,0.194663,0,0,0.0267471,0,0,0.297026,0,0,0,0,0,0,0,0,0,0,0,27.0475,352.219,0,0.000170892,0.004509,
1,1,13,0.0856067,0,0.221825,0,0.00969839,0,0.351715,0.718346,0.960451,0,0,0,2.34764,0.071247,0,0,0,0.160934,0,0,0.0259366,0,0,0.258118,0,0,0,0,0,0,0,0,0,0,0,26.4916,352.219,0,0.000161225,0.004509,
1,1,14,0.0999004,0,0.221825,0,0.00969839,0,0.351715,0.721839,0.990466,0,0,0,2.39544,0.0831431,0,0,0,0.0722577,0,0,0.0267471,0,0,0.182148,0,0,0,0,0,0,0,0,0,0,0,26.9355,352.219,0,0.000166253,0.004509,
