16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-10-21 11:50:25"
Cond. Area:,,,39372
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte-lr\runs\lrlc-baseline-all\cz15\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0.360015,0,1.85033,0,0.0223809,0,0.906753,1.7939,6.45223,0.256709,0,0,11.6423,0,0,0,0,0.217053,0,0,0.006564,0,0,0.223617,0,0,0,0,0,0,0,0,0,0,0,27.4453,353.349,0,0.000249403,0.004509,
1,1,2,0.360015,0,1.85033,0,0.0223809,0,0.783447,1.70979,5.94853,0.256709,0,0,10.9312,0,0,0,0,0.124891,0,0,0.0052512,0,0,0.130142,0,0,0,0,0,0,0,0,0,0,0,27.4246,353.349,0,0.000249051,0.004509,
1,1,3,0.360015,0,1.85033,0,0.0223809,0,0.660138,1.67015,5.64672,0.251128,0,0,10.4609,0,0,0,0,0.102941,0,0,0.0039384,0,0,0.106879,0,0,0,0,0,0,0,0,0,0,0,27.3411,353.349,0,0.000248744,0.004509,
1,1,4,0.360015,0,1.85033,0,0.0223809,0,0.721791,1.62713,5.63198,0.251128,0,0,10.4648,0,0,0,0,0.100181,0,0,0.0039384,0,0,0.104119,0,0,0,0,0,0,0,0,0,0,0,27.2737,353.349,0,0.000244034,0.004509,
1,1,5,0.360015,0,1.85033,0,0.0223809,0,0.8451,1.55973,5.35381,0.256709,0,0,10.2481,0,0,0,0,0.105715,0,0,0.0039384,0,0,0.109653,0,0,0,0,0,0,0,0,0,0,0,27.318,353.349,0,0.000247897,0.004509,
1,1,6,0.360015,0,1.85033,0,0.0223809,0,1.15337,1.54603,5.79361,0.251128,0,0,10.9769,0,0,0,0,0.693215,0,0,0.006564,0,0,0.699779,0,0,0,0,0,0,0,0,0,0,0,27.4368,353.349,0,0.000250017,0.004509,
1,1,7,0.360015,0,1.85033,0,0.0223809,0,1.49247,1.9925,6.4932,0.245547,0,0,12.4564,0,0,0,0,0.396336,0,0,0.013128,0,0,0.409464,0,0,0,0,0,0,0,0,0,0,0,27.4633,353.349,0,0.000250652,0.004509,
1,1,8,10.3403,0,1.85033,0,0.0223809,0,1.64524,3.48233,7.11301,0.228805,-0.0217169,0,24.6607,0.140582,0,0,0,0.749023,0,0,0.160029,0,0,1.04963,0,0,0,0,0,0,0,0,0,0,0,27.447,353.349,0,0.000250171,0.004509,
1,1,9,6.62077,0,1.85033,0,0.0223809,0,1.43755,3.72909,6.70668,0.200902,-0.22001,0,20.3477,0.0136841,0,0,0,1.07244,0,0,0.525414,0,0,1.61154,0,0,0,0,0,0,0,0,0,0,0,27.2488,353.349,0,0.000245568,0.004509,
1,1,10,2.50526,0,1.85033,0,0.0223809,0,1.28342,6.8012,6.45569,0.167419,-0.390926,0,18.6948,0,0,0,0,1.03809,0,0,0.361256,0,0,1.39935,0,0,0,0,0,0,0,0,0,0,0,25.5892,353.349,0,0.000205897,0.004509,
1,1,11,1.40777,0,1.85033,0,0.0223809,0,1.27036,6.78325,6.61084,0.133935,-0.524897,0,17.554,0,0,0,0,0.719519,0,0,1.09974,0,0,1.81926,0,0,0,0,0,0,0,0,0,0,0,24.9926,353.349,0,0.000187311,0.004509,
1,1,12,1.15579,0,1.85033,0,0.0223809,0,1.20871,4.73083,6.51272,0.0892899,-0.457245,0,15.1128,0,0,0,0,0.804559,0,0,0.681648,0,0,1.48621,0,0,0,0,0,0,0,0,0,0,0,24.5827,353.349,0,0.000172385,0.004509,
1,1,13,0.900195,0,1.85033,0,0.0223809,0,1.2933,4.22552,6.69613,0.0669675,-0.438822,0,14.616,0,0,0,0,0.564948,0,0,0.0894516,0,0,0.6544,0,0,0,0,0,0,0,0,0,0,0,24.5911,353.349,0,0.000162633,0.004509,
1,1,14,0.464042,0,1.85033,0,0.0223809,0,1.2933,2.45255,6.88324,0.0613869,-0.504991,0,12.5222,0,0,0,0,0.34362,0,0,0.167222,0,0,0.510842,0,0,0,0,0,0,0,0,0,0,0,24.5825,353.349,0,0.000167705,0.004509,
