16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 16:19:33"
Cond. Area:,,,39372
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\ndperry\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-baseU\cz11\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,10.2431,0,0.427597,0,0.00447617,0,0.906753,1.7398,6.45223,0.256709,0,0,20.0306,0,0,0,0,0.103715,0,0,0.006564,0,0,0.110279,0,0,0,0,0,0,0,0,0,0,0,27.9703,352.219,0,0.000247243,0.004509,
1,1,2,11.6837,0,0.427597,0,0.00447617,0,0.783447,1.66738,5.94853,0.256709,0,0,20.7718,0,0,0,0,0.0468813,0,0,0.0052512,0,0,0.0521325,0,0,0,0,0,0,0,0,0,0,0,27.9545,352.219,0,0.000246894,0.004509,
1,1,3,11.3218,0,0.427597,0,0.00447617,0,0.660138,1.63712,5.64672,0.251128,0,0,19.949,0,0,0,0,0.0863152,0,0,0.0039384,0,0,0.0902536,0,0,0,0,0,0,0,0,0,0,0,27.8978,352.219,0,0.000246589,0.004509,
1,1,4,11.2992,0,0.427597,0,0.00447617,0,0.721791,1.5994,5.63198,0.251128,0,0,19.9356,0,0,0,0,0.437141,0,0,0.0039384,0,0,0.441079,0,0,0,0,0,0,0,0,0,0,0,27.8049,352.219,0,0.000241921,0.004509,
1,1,5,11.3529,0,0.427597,0,0.00447617,0,0.8451,1.53625,5.35381,0.256709,0,0,19.7769,0,0,0,0,0.499731,0,0,0.0039384,0,0,0.503669,0,0,0,0,0,0,0,0,0,0,0,27.9253,352.219,0,0.00024575,0.004509,
1,1,6,11.3855,0,0.427597,0,0.00447617,0,1.15337,1.53212,5.79361,0.251128,0,0,20.5478,0,0,0,0,0.913801,0,0,0.006564,0,0,0.920365,0,0,0,0,0,0,0,0,0,0,0,27.9662,352.219,0,0.000247852,0.004509,
1,1,7,11.2273,0,0.427597,0,0.00447617,0,1.49247,1.98713,6.4932,0.245547,0,0,21.8778,0,0,0,0,0.267981,0,0,0.013128,0,0,0.281109,0,0,0,0,0,0,0,0,0,0,0,27.9881,352.219,0,0.000248481,0.004509,
1,1,8,10.541,0,0.427597,0,0.00447617,0,1.64524,3.4812,7.11301,0.228805,0,0,23.4414,0,0,0,0,0.386056,0,0,0.160029,0,0,0.546085,0,0,0,0,0,0,0,0,0,0,0,27.9779,352.219,0,0.000248005,0.004509,
1,1,9,9.00158,0,0.427597,0,0.00447617,0,1.43755,3.72741,6.70668,0.200902,-8.73242,0,12.7738,0,0,0,0,0.59006,0,0,0.525414,0,0,1.11547,0,0,0,0,0,0,0,0,0,0,0,27.9627,352.219,0,0.000243441,0.004509,
1,1,10,5.53245,0,0.427597,0,0.00447617,0,1.28342,6.79894,6.45569,0.167419,-40.6093,0,-19.9393,0,0,0,0,0.554345,0,0,0.361256,0,0,0.915601,0,0,0,0,0,0,0,0,0,0,0,27.4741,352.219,0,0.000204114,0.004509,
1,1,11,2.43441,0,0.427597,0,0.00447617,0,1.27036,6.77494,6.61084,0.133935,-52.1506,0,-34.4941,0,0,0,0,0.36006,0,0,1.09974,0,0,1.4598,0,0,0,0,0,0,0,0,0,0,0,27.2223,352.219,0,0.000185689,0.004509,
1,1,12,0.630744,0,0.427597,0,0.00447617,0,1.20871,4.71048,6.51272,0.0892899,-26.0381,0,-12.4541,0,0,0,0,0.485707,0,0,0.681648,0,0,1.16735,0,0,0,0,0,0,0,0,0,0,0,26.8149,352.219,0,0.000170892,0.004509,
1,1,13,0.126404,0,0.427597,0,0.00447617,0,1.2933,4.19804,6.69613,0.0669675,-40.796,0,-27.9831,0,0,0,0,0.29318,0,0,0.0894516,0,0,0.382632,0,0,0,0,0,0,0,0,0,0,0,26.259,352.219,0,0.000161225,0.004509,
1,1,14,0.181857,0,0.427597,0,0.00447617,0,1.2933,2.42641,6.88324,0.0613869,-28.546,0,-17.2678,0,0,0,0,0.149527,0,0,0.167222,0,0,0.316749,0,0,0,0,0,0,0,0,0,0,0,26.7029,352.219,0,0.000166253,0.004509,
