16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-02-04 11:02:03"
Cond. Area:,,,39372
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat-tier2env\cz06\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,1.80007,0,1.85033,0,0.0223809,0,0.906753,1.81752,6.45223,0.256709,0,0,13.106,0,0,0,0,0.234815,0,0,0.006564,0,0,0.241379,0,0,0,0,0,0,0,0,0,0,0,27.9269,353.349,0,0.000249403,0.004509,
1,1,2,2.3096,0,1.85033,0,0.0223809,0,0.783447,1.72867,5.94853,0.256709,0,0,12.8997,0,0,0,0,0.127589,0,0,0.0052512,0,0,0.13284,0,0,0,0,0,0,0,0,0,0,0,27.9061,353.349,0,0.000249051,0.004509,
1,1,3,3.26969,0,1.85033,0,0.0223809,0,0.660138,1.69023,5.64672,0.251128,0,0,13.3906,0,0,0,0,0.103214,0,0,0.0039384,0,0,0.107152,0,0,0,0,0,0,0,0,0,0,0,27.8226,353.349,0,0.000248744,0.004509,
1,1,4,3.84614,0,1.85033,0,0.0223809,0,0.721791,1.64617,5.63198,0.251128,0,0,13.9699,0,0,0,0,0.100181,0,0,0.0039384,0,0,0.104119,0,0,0,0,0,0,0,0,0,0,0,27.7552,353.349,0,0.000244034,0.004509,
1,1,5,4.44508,0,1.85033,0,0.0223809,0,0.8451,1.58301,5.35381,0.256709,0,0,14.3564,0,0,0,0,0.106263,0,0,0.0039384,0,0,0.110201,0,0,0,0,0,0,0,0,0,0,0,27.7995,353.349,0,0.000247897,0.004509,
1,1,6,4.54773,0,1.85033,0,0.0223809,0,1.15337,1.5737,5.79361,0.251128,0,0,15.1922,0,0,0,0,0.793337,0,0,0.006564,0,0,0.799901,0,0,0,0,0,0,0,0,0,0,0,27.9183,353.349,0,0.000250017,0.004509,
1,1,7,4.12456,0,1.85033,0,0.0223809,0,1.49247,2.02895,6.4932,0.245547,0,0,16.2574,0,0,0,0,0.433235,0,0,0.013128,0,0,0.446363,0,0,0,0,0,0,0,0,0,0,0,27.9448,353.349,0,0.000250652,0.004509,
1,1,8,14.2839,0,1.85033,0,0.0223809,0,1.64524,3.51694,7.11301,0.228805,-0.0314247,0,28.6292,0,0,0,0,0.825941,0,0,0.160029,0,0,0.98597,0,0,0,0,0,0,0,0,0,0,0,27.9285,353.349,0,0.000250171,0.004509,
1,1,9,8.11159,0,1.85033,0,0.0223809,0,1.43755,3.749,6.70668,0.200902,-0.158417,0,21.92,0,0,0,0,1.20209,0,0,0.525414,0,0,1.7275,0,0,0,0,0,0,0,0,0,0,0,27.7303,353.349,0,0.000245568,0.004509,
1,1,10,2.07834,0,1.85033,0,0.0223809,0,1.28342,6.82785,6.45569,0.167419,-0.294238,0,18.3912,0,0,0,0,1.14837,0,0,0.361256,0,0,1.50963,0,0,0,0,0,0,0,0,0,0,0,26.0708,353.349,0,0.000205897,0.004509,
1,1,11,1.23838,0,1.85033,0,0.0223809,0,1.27036,6.80639,6.61084,0.133935,-0.436747,0,17.4959,0,0,0,0,0.790711,0,0,1.09974,0,0,1.89045,0,0,0,0,0,0,0,0,0,0,0,25.4741,353.349,0,0.000187311,0.004509,
1,1,12,0.782535,0,1.85033,0,0.0223809,0,1.20871,4.75358,6.51272,0.0892899,-0.537178,0,14.6824,0,0,0,0,0.906599,0,0,0.681648,0,0,1.58825,0,0,0,0,0,0,0,0,0,0,0,25.0642,353.349,0,0.000172385,0.004509,
1,1,13,0.393564,0,1.85033,0,0.0223809,0,1.2933,4.25381,6.69613,0.0669675,-0.592752,0,13.9837,0,0,0,0,0.626197,0,0,0.0894516,0,0,0.715649,0,0,0,0,0,0,0,0,0,0,0,25.0726,353.349,0,0.000162633,0.004509,
1,1,14,0.129666,0,1.85033,0,0.0223809,0,1.2933,2.48917,6.88324,0.0613869,-0.575613,0,12.1539,0,0,0,0,0.376379,0,0,0.167222,0,0,0.543601,0,0,0,0,0,0,0,0,0,0,0,25.064,353.349,0,0.000167705,0.004509,
