16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-06-07 19:25:53"
Cond. Area:,,,7320
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\furnace-analysis\runs\lrgs-furnace\cz11\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.221825,0,0.0320012,0,0.157419,0.380065,1.36223,0.0680012,0,0,2.22154,0,0,0,0,0,0,0,0.00143269,0,0,0.00143269,0,0,0,0,0,0,0,0,0,0,0,27.9703,352.219,0,0.000247243,0.004509,
1,1,2,0,0,0.221825,0,0.0320012,0,0.130041,0.362004,1.25338,0.0680012,0,0,2.06726,0,0,0,0,0,0,0,0.00114615,0,0,0.00114615,0,0,0,0,0,0,0,0,0,0,0,27.9545,352.219,0,0.000246894,0.004509,
1,1,3,0,0,0.221825,0,0.0331852,0,0.102664,0.353261,1.18819,0.0665229,0,0,1.96565,0,0,0,0,0.00477536,0,0,0.000859615,0,0,0.00563497,0,0,0,0,0,0,0,0,0,0,0,27.8978,352.219,0,0.000246589,0.004509,
1,1,4,0,0,0.221825,0,0.0320012,0,0.116353,0.343613,1.18481,0.0665229,0,0,1.96513,0,0,0,0,0,0,0,0.000859615,0,0,0.000859615,0,0,0,0,0,0,0,0,0,0,0,27.8049,352.219,0,0.000241921,0.004509,
1,1,5,0,0,0.221825,0,0.0331852,0,0.14373,0.327197,1.12527,0.0680012,0,0,1.91921,0,0,0,0,0.00455415,0,0,0.000859615,0,0,0.00541377,0,0,0,0,0,0,0,0,0,0,0,27.9253,352.219,0,0.00024575,0.004509,
1,1,6,0,0,0.221825,0,0.0829059,0,0.212173,0.324575,1.21935,0.0665229,0,0,2.12735,0,0,0,0,0.353933,0,0,0.00143269,0,0,0.355366,0,0,0,0,0,0,0,0,0,0,0,27.9662,352.219,0,0.000247852,0.004509,
1,1,7,0.0510841,0,0.221825,0,0.0852737,0,0.28746,0.52117,1.36938,0.0650445,0,0,2.60124,0.0753918,0,0,0,0.155292,0,0,0.00286538,0,0,0.233549,0,0,0,0,0,0,0,0,0,0,0,27.9881,352.219,0,0.000248481,0.004509,
1,1,8,0.500484,0,0.221825,0,0.152752,0,0.280616,1.15232,1.47115,0.0606096,0,0,3.83976,0.738632,0,0,0,0.231874,0,0,0.0649113,0,0,1.03542,0,0,0,0,0,0,0,0,0,0,0,27.9779,352.219,0,0.000248005,0.004509,
1,1,9,0.214056,0,0.221825,0,0.148016,0,0.232706,1.03638,1.38334,0.0532183,-0.0956281,0,3.19391,0.315912,0,0,0,0.156186,0,0,0.222457,0,0,0.694555,0,0,0,0,0,0,0,0,0,0,0,27.9627,352.219,0,0.000243441,0.004509,
1,1,10,0.0891914,0,0.221825,0,0.133811,0,0.198484,2.2231,1.33015,0.0443485,-0.44471,0,3.7962,0.131632,0,0,0,0.362865,0,0,0.0993683,0,0,0.593865,0,0,0,0,0,0,0,0,0,0,0,27.4741,352.219,0,0.000204114,0.004509,
1,1,11,0.00386216,0,0.221825,0,0.130259,0,0.184796,2.15679,1.35269,0.0354789,-0.571099,0,3.5146,0.00569991,0,0,0,0.206684,0,0,0.508466,0,0,0.72085,0,0,0,0,0,0,0,0,0,0,0,27.2223,352.219,0,0.000185689,0.004509,
1,1,12,0.00763986,0,0.221825,0,0.0722515,0,0.171107,1.78961,1.33126,0.0236526,-0.285142,0,3.3322,0.0112752,0,0,0,0.152699,0,0,0.320482,0,0,0.484456,0,0,0,0,0,0,0,0,0,0,0,26.8149,352.219,0,0.000170892,0.004509,
1,1,13,0.000663115,0,0.221825,0,0.0686999,0,0.14373,1.1574,1.31917,0.0177394,-0.446756,0,2.48247,0.000978648,0,0,0,0.10529,0,0,0.0214245,0,0,0.127693,0,0,0,0,0,0,0,0,0,0,0,26.259,352.219,0,0.000161225,0.004509,
1,1,14,0,0,0.221825,0,0.075803,0,0.14373,0.629159,1.35944,0.0162611,-0.312606,0,2.13362,0,0,0,0,0.0350444,0,0,0.061789,0,0,0.0968334,0,0,0,0,0,0,0,0,0,0,0,26.7029,352.219,0,0.000166253,0.004509,
