16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 15:58:19"
Cond. Area:,,,39372
Model:,,,"StdMixedFuel"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-propU2\cz05\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.427597,0,0.0220009,0,0.906753,1.75346,6.45223,0.256709,0,0,9.81874,0,0,0,0,0.210527,0,0,0.006564,0,0,0.217091,0,0,0,0,0,0,0,0,0,0,0,28.2029,352.219,0,0.000247243,0.004509,
1,1,2,0,0,0.427597,0,0.0220009,0,0.783447,1.66944,5.94853,0.256709,0,0,9.10773,0,0,0,0,0.106552,0,0,0.0052512,0,0,0.111803,0,0,0,0,0,0,0,0,0,0,0,28.1871,352.219,0,0.000246894,0.004509,
1,1,3,0.000398089,0,0.427597,0,0.0220009,0,0.660138,1.63166,5.64672,0.251128,0,0,8.63964,0.000587484,0,0,0,0.0835719,0,0,0.0039384,0,0,0.0880978,0,0,0,0,0,0,0,0,0,0,0,28.1305,352.219,0,0.000246589,0.004509,
1,1,4,0.00273142,0,0.427597,0,0.0220009,0,0.721791,1.58563,5.63198,0.251128,0,0,8.64286,0.00403092,0,0,0,0.0806776,0,0,0.0039384,0,0,0.0886469,0,0,0,0,0,0,0,0,0,0,0,28.0376,352.219,0,0.000241921,0.004509,
1,1,5,0.00388992,0,0.427597,0,0.0220009,0,0.8451,1.5126,5.35381,0.256709,0,0,8.42171,0.00574059,0,0,0,0.0863109,0,0,0.0039384,0,0,0.0959899,0,0,0,0,0,0,0,0,0,0,0,28.1579,352.219,0,0.00024575,0.004509,
1,1,6,0.00426366,0,0.427597,0,0.0220009,0,1.15337,1.50082,5.79361,0.251128,0,0,9.15279,0.00629212,0,0,0,0.755356,0,0,0.006564,0,0,0.768212,0,0,0,0,0,0,0,0,0,0,0,28.1988,352.219,0,0.000247852,0.004509,
1,1,7,0.329727,0,0.427597,0,0.0220009,0,1.49247,1.94616,6.4932,0.245547,0,0,10.9567,0.4866,0,0,0,0.39712,0,0,0.013128,0,0,0.896848,0,0,0,0,0,0,0,0,0,0,0,28.2208,352.219,0,0.000248481,0.004509,
1,1,8,1.23011,0,0.427597,0,0.0220009,0,1.64524,3.45014,7.11301,0.228805,-0.00618687,0,14.1107,1.81534,0,0,0,0.767447,0,0,0.160029,0,0,2.74282,0,0,0,0,0,0,0,0,0,0,0,28.2105,352.219,0,0.000248005,0.004509,
1,1,9,0.482992,0,0.427597,0,0.0220009,0,1.43755,3.72604,6.70668,0.200902,-0.0435314,0,12.9602,0.712779,0,0,0,1.13266,0,0,0.525414,0,0,2.37085,0,0,0,0,0,0,0,0,0,0,0,28.1953,352.219,0,0.000243441,0.004509,
1,1,10,0.182916,0,0.427597,0,0.0220009,0,1.28342,6.79894,6.45569,0.167419,-0.236423,0,15.1016,0.26994,0,0,0,1.0716,0,0,0.361256,0,0,1.7028,0,0,0,0,0,0,0,0,0,0,0,27.7067,352.219,0,0.000204114,0.004509,
1,1,11,0.0414282,0,0.427597,0,0.0220009,0,1.27036,6.77585,6.61084,0.133935,-0.321638,0,14.9604,0.061138,0,0,0,0.732034,0,0,1.09974,0,0,1.89291,0,0,0,0,0,0,0,0,0,0,0,27.4549,352.219,0,0.000185689,0.004509,
1,1,12,0.0122511,0,0.427597,0,0.0220009,0,1.20871,4.71538,6.51272,0.0892899,-0.458022,0,12.5299,0.0180797,0,0,0,0.854906,0,0,0.681648,0,0,1.55463,0,0,0,0,0,0,0,0,0,0,0,27.0475,352.219,0,0.000170892,0.004509,
1,1,13,0.0189915,0,0.427597,0,0.0220009,0,1.2933,4.20772,6.69613,0.0669675,-0.313329,0,12.4194,0.0280269,0,0,0,0.581681,0,0,0.0894516,0,0,0.699159,0,0,0,0,0,0,0,0,0,0,0,26.4916,352.219,0,0.000161225,0.004509,
1,1,14,0.0586222,0,0.427597,0,0.0220009,0,1.2933,2.43553,6.88324,0.0613869,-0.193135,0,10.9885,0.0865121,0,0,0,0.343907,0,0,0.167222,0,0,0.597641,0,0,0,0,0,0,0,0,0,0,0,26.9355,352.219,0,0.000166253,0.004509,
