16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.0 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2020-03-10 20:05:54"
Cond. Area:,,,7320
Model:,,,"StdMixedFuel"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpwh\runs\lrgs-proposed\cz01\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.221825,0,0.0100004,0,0.157419,0.377717,1.36223,0.0680012,0,0,2.19719,0,0,0,0,0.0286907,0,0,0.00143269,0,0,0.0301234,0,0,0,0,0,0,0,0,0,0,0,28.1794,352.219,0,0.000247243,0.004509,
1,1,2,0,0,0.221825,0,0.0100004,0,0.130041,0.357848,1.25338,0.0680012,0,0,2.0411,0,0,0,0,0.0286776,0,0,0.00114615,0,0,0.0298238,0,0,0,0,0,0,0,0,0,0,0,28.1636,352.219,0,0.000246894,0.004509,
1,1,3,0,0,0.221825,0,0.0100004,0,0.102664,0.348449,1.18819,0.0665229,0,0,1.93766,0,0,0,0,0.0301591,0,0,0.000859615,0,0,0.0310187,0,0,0,0,0,0,0,0,0,0,0,28.1069,352.219,0,0.000246589,0.004509,
1,1,4,0,0,0.221825,0,0.0100004,0,0.116353,0.338091,1.18481,0.0665229,0,0,1.9376,0,0,0,0,0.0286513,0,0,0.000859615,0,0,0.0295109,0,0,0,0,0,0,0,0,0,0,0,28.014,352.219,0,0.000241921,0.004509,
1,1,5,0,0,0.221825,0,0.0100004,0,0.14373,0.320148,1.12527,0.0680012,0,0,1.88897,0,0,0,0,0.030103,0,0,0.000859615,0,0,0.0309626,0,0,0,0,0,0,0,0,0,0,0,28.1344,352.219,0,0.00024575,0.004509,
1,1,6,0,0,0.221825,0,0.0100004,0,0.212173,0.316644,1.21935,0.0665229,0,0,2.04651,0,0,0,0,0.434546,0,0,0.00143269,0,0,0.435979,0,0,0,0,0,0,0,0,0,0,0,28.1753,352.219,0,0.000247852,0.004509,
1,1,7,0.300252,0,0.221825,0,0.0100004,0,0.28746,0.512105,1.36938,0.0650445,0,0,2.76607,0.443095,0,0,0,0.235679,0,0,0.00286538,0,0,0.681639,0,0,0,0,0,0,0,0,0,0,0,28.1973,352.219,0,0.000248481,0.004509,
1,1,8,0.660299,0,0.221825,0,0.0100004,0,0.280616,1.15183,1.47115,0.0606096,0,0,3.85634,0.974429,0,0,0,0.38135,0,0,0.0649113,0,0,1.42069,0,0,0,0,0,0,0,0,0,0,0,28.187,352.219,0,0.000248005,0.004509,
1,1,9,0.328285,0,0.221825,0,0.0100004,0,0.232706,1.03666,1.38334,0.0532183,-0.0918593,0,3.17417,0.484465,0,0,0,0.297283,0,0,0.222457,0,0,1.0042,0,0,0,0,0,0,0,0,0,0,0,28.1718,352.219,0,0.000243441,0.004509,
1,1,10,0.20762,0,0.221825,0,0.132585,0,0.198484,2.2231,1.33015,0.0443485,-0.225167,0,4.13294,0.306394,0,0,0,0.490252,0,0,0.0993683,0,0,0.896014,0,0,0,0,0,0,0,0,0,0,0,27.6832,352.219,0,0.000204114,0.004509,
1,1,11,0.130806,0,0.221825,0,0.132585,0,0.184796,2.15679,1.35269,0.0354789,-0.141271,0,4.0737,0.193036,0,0,0,0.304545,0,0,0.508466,0,0,1.00605,0,0,0,0,0,0,0,0,0,0,0,27.4314,352.219,0,0.000185689,0.004509,
1,1,12,0.167228,0,0.221825,0,0.0100004,0,0.171107,1.78913,1.33126,0.0236526,-0.0555739,0,3.65863,0.246786,0,0,0,0.214655,0,0,0.320482,0,0,0.781923,0,0,0,0,0,0,0,0,0,0,0,27.024,352.219,0,0.000170892,0.004509,
1,1,13,0.169936,0,0.221825,0,0.132585,0,0.14373,1.15655,1.31917,0.0177394,-0.335349,0,2.82618,0.250781,0,0,0,0.166577,0,0,0.0214245,0,0,0.438782,0,0,0,0,0,0,0,0,0,0,0,26.4681,352.219,0,0.000161225,0.004509,
1,1,14,0.153953,0,0.221825,0,0.132585,0,0.14373,0.628297,1.35944,0.0162611,-0.262426,0,2.39367,0.227195,0,0,0,0.0687431,0,0,0.061789,0,0,0.357727,0,0,0,0,0,0,0,0,0,0,0,26.912,352.219,0,0.000166253,0.004509,
