16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-02-16 18:18:30"
Cond. Area:,,,39372
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat19-win\cz07\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,3.33743,0,1.85033,0,0.0223809,0,1.93299,3.34286,5.08716,0,0,0,15.5732,0,0,0,0,0.301507,0,0,0.135015,0,0,0.436522,0,0,0,0,0,0,0,0,0,0,0,27.9864,355.195,0,0.000248718,0.004509,
1,1,2,4.13725,0,1.85033,0,0.0223809,0,1.63121,3.31038,4.81685,0,0,0,15.7684,0,0,0,0,0.159396,0,0,0.127717,0,0,0.287113,0,0,0,0,0,0,0,0,0,0,0,27.9657,355.195,0,0.000248367,0.004509,
1,1,3,4.55863,0,1.85033,0,0.0223809,0,1.32942,3.29414,4.68171,0,0,0,15.7366,0,0,0,0,0.126946,0,0,0.124068,0,0,0.251014,0,0,0,0,0,0,0,0,0,0,0,27.8823,355.195,0,0.00024806,0.004509,
1,1,4,5.12509,0,1.85033,0,0.0223809,0,1.48032,3.29414,4.68171,0,0,0,16.454,0,0,0,0,0.122907,0,0,0.124068,0,0,0.246975,0,0,0,0,0,0,0,0,0,0,0,27.815,355.195,0,0.000243364,0.004509,
1,1,5,6.41234,0,1.85033,0,0.0223809,0,1.7821,3.26165,4.4114,0,0,0,17.7402,0,0,0,0,0.131005,0,0,0.11677,0,0,0.247775,0,0,0,0,0,0,0,0,0,0,0,27.8593,355.195,0,0.000247216,0.004509,
1,1,6,8.70491,0,1.85033,0,0.0223809,0,2.53656,3.32662,4.95202,0,0,0,21.3928,0,0,0,0,1.04123,0,0,0.131366,0,0,1.1726,0,0,0,0,0,0,0,0,0,0,0,27.9779,355.195,0,0.00024933,0.004509,
1,1,7,7.76376,0,1.85033,0,0.0223809,0,3.36647,3.42408,5.76295,0,0,0,22.19,0,0,0,0,0.565706,0,0,0.15326,0,0,0.718966,0,0,0,0,0,0,0,0,0,0,0,28.0044,355.195,0,0.000249964,0.004509,
1,1,8,14.6352,0,1.85033,0,0.0223809,0,3.47462,3.45656,6.18177,0,0,0,29.6209,0,0,0,0,1.08848,0,0,0.160558,0,0,1.24904,0,0,0,0,0,0,0,0,0,0,0,27.9881,355.195,0,0.000249484,0.004509,
1,1,9,8.62821,0,1.85033,0,0.0223809,0,2.9546,3.34286,5.24379,0,0,0,22.0422,0,0,0,0,1.58689,0,0,0.135015,0,0,1.7219,0,0,0,0,0,0,0,0,0,0,0,27.7901,355.195,0,0.000244893,0.004509,
1,1,10,2.25538,0,1.85033,0,0.0223809,0,2.57737,3.26165,4.568,0,0,0,14.5351,0,0,0,0,1.51758,0,0,0.11677,0,0,1.63435,0,0,0,0,0,0,0,0,0,0,0,26.1325,355.195,0,0.000205332,0.004509,
1,1,11,1.36003,0,1.85033,0,0.0223809,0,2.47508,3.2779,4.75176,0,0,0,13.7375,0,0,0,0,1.04191,0,0,0.120419,0,0,1.16233,0,0,0,0,0,0,0,0,0,0,0,25.5365,355.195,0,0.000186797,0.004509,
1,1,12,0.941085,0,1.85033,0,0.0223809,0,2.32419,3.2779,4.75176,0,0,0,13.1676,0,0,0,0,1.19333,0,0,0.120419,0,0,1.31375,0,0,0,0,0,0,0,0,0,0,0,25.127,355.195,0,0.000171912,0.004509,
1,1,13,0.625217,0,1.85033,0,0.0223809,0,2.2303,3.26165,4.85689,0,0,0,12.8468,0,0,0,0,0.821899,0,0,0.11677,0,0,0.938668,0,0,0,0,0,0,0,0,0,0,0,25.1354,355.195,0,0.000162186,0.004509,
1,1,14,0.213251,0,1.85033,0,0.0223809,0,2.2303,3.2779,4.99206,0,0,0,12.5862,0,0,0,0,0.489801,0,0,0.120419,0,0,0.61022,0,0,0,0,0,0,0,0,0,0,0,25.1269,355.195,0,0.000167244,0.004509,
1,1,15,0.168723,0,1.85033,0,0.0223809,0,2.2303,3.31038,5.26237,0,0,0,12.8445,0,0,0,0,0.65738,0,0,0.127717,0,0,0.785097,0,0,0,0,0,0,0,0,0,0,0,25.2658,355.195,0,0.000167707,0.004509,
