16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-02-04 17:55:51"
Cond. Area:,,,39372
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\OneDrive - TRC\Documents\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat19-base\cz03\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,1.85765,0,1.85033,0,0.0223809,0,0.906753,1.7542,6.45223,0.256709,0,0,13.1003,0,0,0,0,0.242865,0,0,0.006564,0,0,0.249429,0,0,0,0,0,0,0,0,0,0,0,28.1055,352.219,0,0.000247243,0.004509,
1,1,2,1.93045,0,1.85033,0,0.0223809,0,0.783447,1.67646,5.94853,0.256709,0,0,12.4683,0,0,0,0,0.112472,0,0,0.0052512,0,0,0.117723,0,0,0,0,0,0,0,0,0,0,0,28.0897,352.219,0,0.000246894,0.004509,
1,1,3,1.98219,0,1.85033,0,0.0223809,0,0.660138,1.64264,5.64672,0.251128,0,0,12.0555,0,0,0,0,0.0837423,0,0,0.0039384,0,0,0.0876807,0,0,0,0,0,0,0,0,0,0,0,28.0331,352.219,0,0.000246589,0.004509,
1,1,4,2.53503,0,1.85033,0,0.0223809,0,0.721791,1.60266,5.63198,0.251128,0,0,12.6153,0,0,0,0,0.0802589,0,0,0.0039384,0,0,0.0841973,0,0,0,0,0,0,0,0,0,0,0,27.9402,352.219,0,0.000241921,0.004509,
1,1,5,3.20676,0,1.85033,0,0.0223809,0,0.8451,1.53719,5.35381,0.256709,0,0,13.0723,0,0,0,0,0.0872508,0,0,0.0039384,0,0,0.0911892,0,0,0,0,0,0,0,0,0,0,0,28.0605,352.219,0,0.00024575,0.004509,
1,1,6,2.82756,0,1.85033,0,0.0223809,0,1.15337,1.53212,5.79361,0.251128,0,0,13.4305,0,0,0,0,0.924087,0,0,0.006564,0,0,0.930651,0,0,0,0,0,0,0,0,0,0,0,28.1014,352.219,0,0.000247852,0.004509,
1,1,7,2.23141,0,1.85033,0,0.0223809,0,1.49247,1.98713,6.4932,0.245547,0,0,14.3225,0,0,0,0,0.475999,0,0,0.013128,0,0,0.489127,0,0,0,0,0,0,0,0,0,0,0,28.1234,352.219,0,0.000248481,0.004509,
1,1,8,7.03344,0,1.85033,0,0.0223809,0,1.64524,3.4812,7.11301,0.228805,0,0,21.3744,0,0,0,0,0.939766,0,0,0.160029,0,0,1.09979,0,0,0,0,0,0,0,0,0,0,0,28.1131,352.219,0,0.000248005,0.004509,
1,1,9,6.71624,0,1.85033,0,0.0223809,0,1.43755,3.72741,6.70668,0.200902,-0.203651,0,20.4578,0,0,0,0,1.39896,0,0,0.525414,0,0,1.92437,0,0,0,0,0,0,0,0,0,0,0,28.0979,352.219,0,0.000243441,0.004509,
1,1,10,4.60346,0,1.85033,0,0.0223809,0,1.28342,6.79894,6.45569,0.167419,-1.67299,0,19.5086,0,0,0,0,1.32231,0,0,0.361256,0,0,1.68357,0,0,0,0,0,0,0,0,0,0,0,27.6093,352.219,0,0.000204114,0.004509,
1,1,11,2.97456,0,1.85033,0,0.0223809,0,1.27036,6.77494,6.61084,0.133935,-2.73826,0,16.8991,0,0,0,0,0.897163,0,0,1.09974,0,0,1.9969,0,0,0,0,0,0,0,0,0,0,0,27.3575,352.219,0,0.000185689,0.004509,
1,1,12,3.18433,0,1.85033,0,0.0223809,0,1.20871,4.70988,6.51272,0.0892899,-5.85771,0,11.7199,0,0,0,0,1.0516,0,0,0.681648,0,0,1.73325,0,0,0,0,0,0,0,0,0,0,0,26.9501,352.219,0,0.000170892,0.004509,
1,1,13,3.04832,0,1.85033,0,0.0223809,0,1.2933,4.19718,6.69613,0.0669675,-6.48737,0,10.6872,0,0,0,0,0.708856,0,0,0.0894516,0,0,0.798308,0,0,0,0,0,0,0,0,0,0,0,26.3942,352.219,0,0.000161225,0.004509,
1,1,14,2.76406,0,1.85033,0,0.0223809,0,1.2933,2.42329,6.88324,0.0613869,-5.22664,0,10.0713,0,0,0,0,0.410806,0,0,0.167222,0,0,0.578028,0,0,0,0,0,0,0,0,0,0,0,26.8381,352.219,0,0.000166253,0.004509,
