16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-02-16 16:33:14"
Cond. Area:,,,39372
Model:,,,"StdMixedFuel"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\OneDrive - TRC\Documents\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat19-base45\cz11\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,1.85033,0,0.0223809,0,0.906753,1.72939,6.45223,0.256709,0,0,11.2178,0,0,0,0,0.240208,0,0,0.006564,0,0,0.246772,0,0,0,0,0,0,0,0,0,0,0,27.9703,352.219,0,0.000247243,0.004509,
1,1,2,0,0,1.85033,0,0.0223809,0,0.783447,1.64589,5.94853,0.256709,0,0,10.5073,0,0,0,0,0.112417,0,0,0.0052512,0,0,0.117668,0,0,0,0,0,0,0,0,0,0,0,27.9545,352.219,0,0.000246894,0.004509,
1,1,3,0,0,1.85033,0,0.0223809,0,0.660138,1.60509,5.64672,0.251128,0,0,10.0358,0,0,0,0,0.0840038,0,0,0.0039384,0,0,0.0879422,0,0,0,0,0,0,0,0,0,0,0,27.8978,352.219,0,0.000246589,0.004509,
1,1,4,0,0,1.85033,0,0.0223809,0,0.721791,1.5601,5.63198,0.251128,0,0,10.0377,0,0,0,0,0.0804511,0,0,0.0039384,0,0,0.0843895,0,0,0,0,0,0,0,0,0,0,0,27.8049,352.219,0,0.000241921,0.004509,
1,1,5,0,0,1.85033,0,0.0223809,0,0.8451,1.48363,5.35381,0.256709,0,0,9.81196,0,0,0,0,0.0874937,0,0,0.0039384,0,0,0.0914321,0,0,0,0,0,0,0,0,0,0,0,27.9253,352.219,0,0.00024575,0.004509,
1,1,6,0,0,1.85033,0,0.0223809,0,1.15337,1.47029,5.79361,0.251128,0,0,10.5411,0,0,0,0,0.90914,0,0,0.006564,0,0,0.915704,0,0,0,0,0,0,0,0,0,0,0,27.9662,352.219,0,0.000247852,0.004509,
1,1,7,0.687808,0,1.85033,0,0.0223809,0,1.49247,1.90675,6.4932,0.245547,0,0,12.6985,1.01509,0,0,0,0.471117,0,0,0.013128,0,0,1.49934,0,0,0,0,0,0,0,0,0,0,0,27.9881,352.219,0,0.000248481,0.004509,
1,1,8,3.14464,0,1.85033,0,0.0223809,0,1.64524,3.41706,7.11301,0.228805,0,0,17.4215,4.64096,0,0,0,0.928273,0,0,0.160029,0,0,5.72926,0,0,0,0,0,0,0,0,0,0,0,27.9779,352.219,0,0.000248005,0.004509,
1,1,9,1.66413,0,1.85033,0,0.0893795,0,1.43755,3.72087,6.70668,0.200902,-0.0956281,0,15.5742,2.45598,0,0,0,1.36119,0,0,0.525414,0,0,4.34258,0,0,0,0,0,0,0,0,0,0,0,27.9627,352.219,0,0.000243441,0.004509,
1,1,10,0.963157,0,1.85033,0,0.0893795,0,1.28342,6.79894,6.45569,0.167419,-0.44471,0,17.1636,1.42146,0,0,0,1.14846,0,0,0.361256,0,0,2.93118,0,0,0,0,0,0,0,0,0,0,0,27.4741,352.219,0,0.000204114,0.004509,
1,1,11,0.520639,0,1.85033,0,0.0893795,0,1.27036,6.77494,6.61084,0.133935,-0.571099,0,16.6793,0.768376,0,0,0,0.694308,0,0,1.09974,0,0,2.56242,0,0,0,0,0,0,0,0,0,0,0,27.2223,352.219,0,0.000185689,0.004509,
1,1,12,0.41932,0,1.85033,0,0.0893795,0,1.20871,4.70988,6.51272,0.0892899,-0.285142,0,14.5945,0.618848,0,0,0,0.710546,0,0,0.681648,0,0,2.01104,0,0,0,0,0,0,0,0,0,0,0,26.8149,352.219,0,0.000170892,0.004509,
1,1,13,0.197813,0,1.85033,0,0.0893795,0,1.2933,4.19718,6.69613,0.0669675,-0.446756,0,13.9443,0.291939,0,0,0,0.471459,0,0,0.0894516,0,0,0.85285,0,0,0,0,0,0,0,0,0,0,0,26.259,352.219,0,0.000161225,0.004509,
1,1,14,0.150597,0,1.85033,0,0.0893795,0,1.2933,2.4233,6.88324,0.0613869,-0.312606,0,12.4389,0.222256,0,0,0,0.260832,0,0,0.167222,0,0,0.65031,0,0,0,0,0,0,0,0,0,0,0,26.7029,352.219,0,0.000166253,0.004509,
