16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-01-28 19:58:19"
Cond. Area:,,,39372
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat-tier1\cz09\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,5.25727,0,1.85033,0,0.0223809,0,0.906753,1.75033,6.45223,0.256709,0,0,16.496,0,0,0,0,0.234019,0,0,0.006564,0,0,0.240583,0,0,0,0,0,0,0,0,0,0,0,27.5499,353.349,0,0.000249403,0.004509,
1,1,2,7.90945,0,1.85033,0,0.0223809,0,0.783447,1.67088,5.94853,0.256709,0,0,18.4417,0,0,0,0,0.127472,0,0,0.0052512,0,0,0.132723,0,0,0,0,0,0,0,0,0,0,0,27.5291,353.349,0,0.000249051,0.004509,
1,1,3,9.43199,0,1.85033,0,0.0223809,0,0.660138,1.63719,5.64672,0.251128,0,0,19.4999,0,0,0,0,0.103204,0,0,0.0039384,0,0,0.107142,0,0,0,0,0,0,0,0,0,0,0,27.4456,353.349,0,0.000248744,0.004509,
1,1,4,11.2839,0,1.85033,0,0.0223809,0,0.721791,1.5994,5.63198,0.251128,0,0,21.361,0,0,0,0,0.100181,0,0,0.0039384,0,0,0.104119,0,0,0,0,0,0,0,0,0,0,0,27.3782,353.349,0,0.000244034,0.004509,
1,1,5,13.2126,0,1.85033,0,0.0223809,0,0.8451,1.53625,5.35381,0.256709,0,0,23.0772,0,0,0,0,0.106242,0,0,0.0039384,0,0,0.11018,0,0,0,0,0,0,0,0,0,0,0,27.4225,353.349,0,0.000247897,0.004509,
1,1,6,13.6842,0,1.85033,0,0.0223809,0,1.15337,1.53212,5.79361,0.251128,0,0,24.2872,0,0,0,0,0.788792,0,0,0.006564,0,0,0.795356,0,0,0,0,0,0,0,0,0,0,0,27.5413,353.349,0,0.000250017,0.004509,
1,1,7,13.3275,0,1.85033,0,0.0223809,0,1.49247,1.98713,6.4932,0.245547,0,0,25.4186,0,0,0,0,0.43162,0,0,0.013128,0,0,0.444748,0,0,0,0,0,0,0,0,0,0,0,27.5678,353.349,0,0.000250652,0.004509,
1,1,8,24.2993,0,1.85033,0,0.0223809,0,1.64524,3.4812,7.11301,0.228805,-2.77829,0,35.8619,0,0,0,0,0.822525,0,0,0.160029,0,0,0.982554,0,0,0,0,0,0,0,0,0,0,0,27.5515,353.349,0,0.000250171,0.004509,
1,1,9,18.4927,0,1.85033,0,0.0223809,0,1.43755,3.72741,6.70668,0.200902,-9.02386,0,23.4141,0,0,0,0,1.19634,0,0,0.525414,0,0,1.72175,0,0,0,0,0,0,0,0,0,0,0,27.3533,353.349,0,0.000245568,0.004509,
1,1,10,9.50785,0,1.85033,0,0.0223809,0,1.28342,6.79894,6.45569,0.167419,-15.3008,0,10.7852,0,0,0,0,1.14347,0,0,0.361256,0,0,1.50473,0,0,0,0,0,0,0,0,0,0,0,25.6938,353.349,0,0.000205897,0.004509,
1,1,11,4.44038,0,1.85033,0,0.0223809,0,1.27036,6.77494,6.61084,0.133935,-24.2353,0,-3.13216,0,0,0,0,0.787554,0,0,1.09974,0,0,1.88729,0,0,0,0,0,0,0,0,0,0,0,25.0971,353.349,0,0.000187311,0.004509,
1,1,12,1.30737,0,1.85033,0,0.0223809,0,1.20871,4.70997,6.51272,0.0892899,-44.9683,0,-29.2676,0,0,0,0,0.902026,0,0,0.681648,0,0,1.58367,0,0,0,0,0,0,0,0,0,0,0,24.6872,353.349,0,0.000172385,0.004509,
1,1,13,0.717143,0,1.85033,0,0.0223809,0,1.2933,4.19969,6.69613,0.0669675,-48.3162,0,-33.4703,0,0,0,0,0.623472,0,0,0.0894516,0,0,0.712924,0,0,0,0,0,0,0,0,0,0,0,24.6956,353.349,0,0.000162633,0.004509,
1,1,14,0.207909,0,1.85033,0,0.0223809,0,1.2933,2.4327,6.88324,0.0613869,-38.051,0,-25.2998,0,0,0,0,0.374937,0,0,0.167222,0,0,0.542159,0,0,0,0,0,0,0,0,0,0,0,24.687,353.349,0,0.000167705,0.004509,
