"",001
"Mon 07-Jun-21   7:26:01 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",7.57989,0,0,0,0.109188,0,0,0,0,0.756867,0,0,0,0.537112,4.64792,0.23202,1.28907,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",7.05347,0,0,0,0.109188,0,0,0,0,0.756867,0,0,0,0.443701,4.27654,0.23202,1.22899,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",6.70681,0,0,0,0.113228,0,0,0,0,0.756867,0,0,0,0.35029,4.05412,0.226976,1.2007,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",6.70502,0,0,0,0.109188,0,0,0,0,0.756867,0,0,0,0.396996,4.04258,0.226976,1.16778,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",6.54834,0,0,0,0.113228,0,0,0,0,0.756867,0,0,0,0.490407,3.83942,0.23202,1.11177,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",7.25852,0,0,0,0.282875,0,0,0,0,0.756867,0,0,0,0.723934,4.16041,0.226976,1.09974,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",8.87544,0,0,0,0.290954,0,0,0,0.174299,0.756867,0,0,0,0.980813,4.67234,0.221932,1.10799,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",13.1013,0,0,0,0.521189,0,0,0,1.70765,0.756867,0,0,0,0.957461,5.01958,0.2068,1.22323,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",5.30437,0,0,0,0.505032,0,0,0,0.730359,0.756867,0,0,0,0.793992,4.71994,0.181581,1.47199,0,1.00958,0.98054,0.0740246,0,0,0,-5.91954
"MtrElec",1,1,10,"",-13.0583,0,0,0,0.456562,0,0,0,0.304321,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-27.5283
"MtrElec",1,1,11,"",-21.4116,0,0,0,0.444444,0,0,0,0.0131777,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-35.352
"MtrElec",1,1,12,"",-5.30836,0,0,0,0.246522,0,0,0,0.0260672,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.4276,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-17.6507
"MtrElec",1,1,13,"",-17.6603,0,0,0,0.234404,0,0,0,0.00226255,0.756867,0,0,0,0.490407,4.501,0.060527,1.45254,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-27.6549
