16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.0 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-20 23:37:30"
Cond. Area:,,,39372
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-QII-0\cz06\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0.360015,0,1.85033,0,0.0223809,0,0.906753,1.78555,6.45223,0.256709,0,0,11.634,0,0,0,0,0.226749,0,0,0.006564,0,0,0.233313,0,0,0,0,0,0,0,0,0,0,0,27.9269,353.349,0,0.000249403,0.004509,
1,1,2,0.360015,0,1.85033,0,0.0223809,0,0.783447,1.69914,5.94853,0.256709,0,0,10.9206,0,0,0,0,0.110407,0,0,0.0052512,0,0,0.115658,0,0,0,0,0,0,0,0,0,0,0,27.9061,353.349,0,0.000249051,0.004509,
1,1,3,0.360015,0,1.85033,0,0.0223809,0,0.660138,1.66055,5.64672,0.251128,0,0,10.4513,0,0,0,0,0.0839707,0,0,0.0039384,0,0,0.0879091,0,0,0,0,0,0,0,0,0,0,0,27.8226,353.349,0,0.000248744,0.004509,
1,1,4,0.360015,0,1.85033,0,0.0223809,0,0.721791,1.61479,5.63198,0.251128,0,0,10.4524,0,0,0,0,0.0807109,0,0,0.0039384,0,0,0.0846493,0,0,0,0,0,0,0,0,0,0,0,27.7552,353.349,0,0.000244034,0.004509,
1,1,5,0.360015,0,1.85033,0,0.0223809,0,0.8451,1.54516,5.35381,0.256709,0,0,10.2335,0,0,0,0,0.087397,0,0,0.0039384,0,0,0.0913354,0,0,0,0,0,0,0,0,0,0,0,27.7995,353.349,0,0.000247897,0.004509,
1,1,6,0.360015,0,1.85033,0,0.0223809,0,1.15337,1.53212,5.79361,0.251128,0,0,10.963,0,0,0,0,0.83399,0,0,0.006564,0,0,0.840554,0,0,0,0,0,0,0,0,0,0,0,27.9183,353.349,0,0.000250017,0.004509,
1,1,7,0.488785,0,1.85033,0,0.0223809,0,1.49247,1.97771,6.4932,0.245547,0,0,12.5704,0.190022,0,0,0,0.442786,0,0,0.013128,0,0,0.645936,0,0,0,0,0,0,0,0,0,0,0,27.9448,353.349,0,0.000250652,0.004509,
1,1,8,12.0175,0,1.85033,0,0.0223809,0,1.64524,3.47087,7.11301,0.228805,-2.48117,0,23.867,0.980883,0,0,0,0.869675,0,0,0.160029,0,0,2.01059,0,0,0,0,0,0,0,0,0,0,0,27.9285,353.349,0,0.000250171,0.004509,
1,1,9,6.44308,0,1.85033,0,0.0554178,0,1.43755,3.7295,6.70668,0.200902,-12.508,0,7.91544,0.374955,0,0,0,1.25438,0,0,0.525414,0,0,2.15475,0,0,0,0,0,0,0,0,0,0,0,27.7303,353.349,0,0.000245568,0.004509,
1,1,10,2.22698,0,1.85033,0,0.0554178,0,1.28342,6.80407,6.45569,0.167419,-23.2318,0,-4.38848,0.128293,0,0,0,1.11213,0,0,0.361256,0,0,1.60168,0,0,0,0,0,0,0,0,0,0,0,26.0708,353.349,0,0.000205897,0.004509,
1,1,11,1.2699,0,1.85033,0,0.0554178,0,1.27036,6.78341,6.61084,0.133935,-34.4839,0,-16.5097,0,0,0,0,0.733863,0,0,1.09974,0,0,1.8336,0,0,0,0,0,0,0,0,0,0,0,25.4741,353.349,0,0.000187311,0.004509,
1,1,12,0.799594,0,1.85033,0,0.0554178,0,1.20871,4.72681,6.51272,0.0892899,-42.4135,0,-27.1707,0,0,0,0,0.740315,0,0,0.681648,0,0,1.42196,0,0,0,0,0,0,0,0,0,0,0,25.0642,353.349,0,0.000172385,0.004509,
1,1,13,0.404514,0,1.85033,0,0.0554178,0,1.2933,4.22353,6.69613,0.0669675,-46.8013,0,-32.2111,0,0,0,0,0.465223,0,0,0.0894516,0,0,0.554675,0,0,0,0,0,0,0,0,0,0,0,25.0726,353.349,0,0.000162633,0.004509,
1,1,14,0.144734,0,1.85033,0,0.0554178,0,1.2933,2.45653,6.88324,0.0613869,-45.4481,0,-32.7032,0,0,0,0,0.23611,0,0,0.167222,0,0,0.403332,0,0,0,0,0,0,0,0,0,0,0,25.064,353.349,0,0.000167705,0.004509,
