16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 15:08:44"
Cond. Area:,,,39372
Model:,,,"StdMixedFuel"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-propU2\cz14\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.427597,0,0.0220009,0,0.906753,1.72909,6.45223,0.256709,0,0,9.79438,0,0,0,0,0.187395,0,0,0.006564,0,0,0.193959,0,0,0,0,0,0,0,0,0,0,0,27.3864,353.349,0,0.000249403,0.004509,
1,1,2,0,0,0.427597,0,0.0220009,0,0.783447,1.64711,5.94853,0.256709,0,0,9.0854,0,0,0,0,0.101466,0,0,0.0052512,0,0,0.106717,0,0,0,0,0,0,0,0,0,0,0,27.3657,353.349,0,0.000249051,0.004509,
1,1,3,0,0,0.427597,0,0.0220009,0,0.660138,1.61456,5.64672,0.251128,0,0,8.62214,0,0,0,0,0.0827337,0,0,0.0039384,0,0,0.0866721,0,0,0,0,0,0,0,0,0,0,0,27.2822,353.349,0,0.000248744,0.004509,
1,1,4,3.63423e-006,0,0.427597,0,0.0220009,0,0.721791,1.57463,5.63198,0.251128,0,0,8.62913,5.36325e-006,0,0,0,0.0804178,0,0,0.0039384,0,0,0.0843616,0,0,0,0,0,0,0,0,0,0,0,27.2148,353.349,0,0.000244034,0.004509,
1,1,5,0.00196863,0,0.427597,0,0.0220009,0,0.8451,1.50349,5.35381,0.256709,0,0,8.41068,0.00290851,0,0,0,0.0852869,0,0,0.0039384,0,0,0.0921338,0,0,0,0,0,0,0,0,0,0,0,27.2591,353.349,0,0.000247897,0.004509,
1,1,6,0.00471199,0,0.427597,0,0.0220009,0,1.15337,1.49238,5.79361,0.251128,0,0,9.1448,0.00696163,0,0,0,0.636201,0,0,0.006564,0,0,0.649727,0,0,0,0,0,0,0,0,0,0,0,27.3779,353.349,0,0.000250017,0.004509,
1,1,7,0.230589,0,0.427597,0,0.0220009,0,1.49247,1.93464,6.4932,0.245547,0,0,10.846,0.340679,0,0,0,0.340873,0,0,0.013128,0,0,0.69468,0,0,0,0,0,0,0,0,0,0,0,27.4044,353.349,0,0.000250652,0.004509,
1,1,8,1.49543,0,0.427597,0,0.0220009,0,1.64524,3.43702,7.11301,0.228805,-0.0119259,0,14.3572,2.20939,0,0,0,0.644708,0,0,0.160029,0,0,3.01413,0,0,0,0,0,0,0,0,0,0,0,27.3881,353.349,0,0.000250171,0.004509,
1,1,9,0.576237,0,0.427597,0,0.0220009,0,1.43755,3.72559,6.70668,0.200902,-0.0297603,0,13.0668,0.851347,0,0,0,0.94597,0,0,0.525414,0,0,2.32273,0,0,0,0,0,0,0,0,0,0,0,27.1899,353.349,0,0.000245568,0.004509,
1,1,10,0.330106,0,0.427597,0,0.0220009,0,1.28342,6.79894,6.45569,0.167419,-0.139217,0,15.3459,0.487705,0,0,0,0.894778,0,0,0.361256,0,0,1.74374,0,0,0,0,0,0,0,0,0,0,0,25.5303,353.349,0,0.000205897,0.004509,
1,1,11,0.199794,0,0.427597,0,0.0220009,0,1.27036,6.77494,6.61084,0.133935,-0.138292,0,15.3012,0.295181,0,0,0,0.615922,0,0,1.09974,0,0,2.01084,0,0,0,0,0,0,0,0,0,0,0,24.9337,353.349,0,0.000187311,0.004509,
1,1,12,0.239794,0,0.427597,0,0.0220009,0,1.20871,4.71011,6.51272,0.0892899,-0.160824,0,13.0494,0.354279,0,0,0,0.717913,0,0,0.681648,0,0,1.75384,0,0,0,0,0,0,0,0,0,0,0,24.5238,353.349,0,0.000172385,0.004509,
1,1,13,0.237966,0,0.427597,0,0.0220009,0,1.2933,4.1972,6.69613,0.0669675,-0.263489,0,12.6777,0.351578,0,0,0,0.492764,0,0,0.0894516,0,0,0.933794,0,0,0,0,0,0,0,0,0,0,0,24.5322,353.349,0,0.000162633,0.004509,
1,1,14,0.258023,0,0.427597,0,0.0220009,0,1.2933,2.42329,6.88324,0.0613869,-0.232831,0,11.136,0.38121,0,0,0,0.29734,0,0,0.167222,0,0,0.845772,0,0,0,0,0,0,0,0,0,0,0,24.5236,353.349,0,0.000167705,0.004509,
