16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.0 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-10 20:52:26"
Cond. Area:,,,39372
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpwh\runs\lrlc-hpwh\cz10\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,13.3515,0,1.85033,0,0.00440018,0,0.906753,1.73985,6.45223,0.256709,0,0,24.5617,0,0,0,0,0,0,0,0.006564,0,0,0.006564,0,0,0,0,0,0,0,0,0,0,0,27.5424,353.349,0,0.000249403,0.004509,
1,1,2,15.5093,0,1.85033,0,0.00440018,0,0.783447,1.66738,5.94853,0.256709,0,0,26.0201,0,0,0,0,0,0,0,0.0052512,0,0,0.0052512,0,0,0,0,0,0,0,0,0,0,0,27.5217,353.349,0,0.000249051,0.004509,
1,1,3,15.4582,0,1.85033,0,0.00440018,0,0.660138,1.63712,5.64672,0.251128,0,0,25.508,0,0,0,0,0,0,0,0.0039384,0,0,0.0039384,0,0,0,0,0,0,0,0,0,0,0,27.4381,353.349,0,0.000248744,0.004509,
1,1,4,16.3033,0,1.85033,0,0.00440018,0,0.721791,1.5994,5.63198,0.251128,0,0,26.3624,0,0,0,0,0,0,0,0.0039384,0,0,0.0039384,0,0,0,0,0,0,0,0,0,0,0,27.3708,353.349,0,0.000244034,0.004509,
1,1,5,18.4789,0,1.85033,0,0.00440018,0,0.8451,1.53625,5.35381,0.256709,0,0,28.3255,0,0,0,0,0,0,0,0.0039384,0,0,0.0039384,0,0,0,0,0,0,0,0,0,0,0,27.4151,353.349,0,0.000247897,0.004509,
1,1,6,18.6114,0,1.85033,0,7.68166,0,1.15337,1.53212,5.79361,0.251128,0,0,36.8736,0,0,0,0,0,0,0,0.006564,0,0,0.006564,0,0,0,0,0,0,0,0,0,0,0,27.5338,353.349,0,0.000250017,0.004509,
1,1,7,16.1931,0,1.85033,0,0.00440018,0,1.49247,1.98713,6.4932,0.245547,0,0,28.2662,0,0,0,0,0,0,0,0.013128,0,0,0.013128,0,0,0,0,0,0,0,0,0,0,0,27.5603,353.349,0,0.000250652,0.004509,
1,1,8,26.4509,0,1.85033,0,0.00440018,0,1.64524,3.4812,7.11301,0.228805,-4.0675,0,36.7064,0,0,0,0,0,0,0,0.160029,0,0,0.160029,0,0,0,0,0,0,0,0,0,0,0,27.544,353.349,0,0.000250171,0.004509,
1,1,9,19.2187,0,1.85033,0,1.10722,0,1.43755,3.72741,6.70668,0.200902,-13.4944,0,20.7544,0,0,0,0,0,0,0,0.525414,0,0,0.525414,0,0,0,0,0,0,0,0,0,0,0,27.3458,353.349,0,0.000245568,0.004509,
1,1,10,8.61848,0,1.85033,0,4.33731,0,1.28342,6.79894,6.45569,0.167419,-16.2479,0,13.2637,0,0,0,0,0,0,0,0.361256,0,0,0.361256,0,0,0,0,0,0,0,0,0,0,0,25.6863,353.349,0,0.000205897,0.004509,
1,1,11,1.81046,0,1.85033,0,4.17796,0,1.27036,6.77494,6.61084,0.133935,-35.3875,0,-12.7586,0,0,0,0,0,0,0,1.09974,0,0,1.09974,0,0,0,0,0,0,0,0,0,0,0,25.0896,353.349,0,0.000187311,0.004509,
1,1,12,1.12683,0,1.85033,0,4.10827,0,1.20871,4.71174,6.51272,0.0892899,-29.3162,0,-9.70835,0,0,0,0,0,0,0,0.681648,0,0,0.681648,0,0,0,0,0,0,0,0,0,0,0,24.6797,353.349,0,0.000172385,0.004509,
1,1,13,0.676512,0,1.85033,0,4.07166,0,1.2933,4.2028,6.69613,0.0669675,-42.4191,0,-23.5614,0,0,0,0,0,0,0,0.0894516,0,0,0.0894516,0,0,0,0,0,0,0,0,0,0,0,24.6881,353.349,0,0.000162633,0.004509,
1,1,14,0.221021,0,1.85033,0,4.03907,0,1.2933,2.43349,6.88324,0.0613869,-39.5173,0,-22.7355,0,0,0,0,0,0,0,0.167222,0,0,0.167222,0,0,0,0,0,0,0,0,0,0,0,24.6795,353.349,0,0.000167705,0.004509,
1,1,15,0.141701,0,1.85033,0,4.03913,0,1.2933,2.55305,7.19194,0.0613869,-23.5654,0,-6.43457,0,0,0,0,0,0,0,0.145835,0,0,0.145835,0,0,0,0,0,0,0,0,0,0,0,24.8186,353.349,0,0.000168169,0.004509,
