16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 12:57:40"
Cond. Area:,,,39372
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-propU2\cz01\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,14.5448,0,0.427597,0,0.0220009,0,0.906753,1.7398,6.45223,0.256709,0,0,24.3499,0,0,0,0,0.223077,0,0,0.006564,0,0,0.229641,0,0,0,0,0,0,0,0,0,0,0,28.1794,352.219,0,0.000247243,0.004509,
1,1,2,15.4011,0,0.427597,0,0.0220009,0,0.783447,1.66738,5.94853,0.256709,0,0,24.5068,0,0,0,0,0.108392,0,0,0.0052512,0,0,0.113643,0,0,0,0,0,0,0,0,0,0,0,28.1636,352.219,0,0.000246894,0.004509,
1,1,3,15.5804,0,0.427597,0,0.0220009,0,0.660138,1.63712,5.64672,0.251128,0,0,24.2251,0,0,0,0,0.0836748,0,0,0.0039384,0,0,0.0876132,0,0,0,0,0,0,0,0,0,0,0,28.1069,352.219,0,0.000246589,0.004509,
1,1,4,15.987,0,0.427597,0,0.0220009,0,0.721791,1.5994,5.63198,0.251128,0,0,24.6409,0,0,0,0,0.0805874,0,0,0.0039384,0,0,0.0845258,0,0,0,0,0,0,0,0,0,0,0,28.014,352.219,0,0.000241921,0.004509,
1,1,5,12.0955,0,0.427597,0,0.0220009,0,0.8451,1.53625,5.35381,0.256709,0,0,20.537,0,0,0,0,0.0865962,0,0,0.0039384,0,0,0.0905346,0,0,0,0,0,0,0,0,0,0,0,28.1344,352.219,0,0.00024575,0.004509,
1,1,6,8.80713,0,0.427597,0,0.0220009,0,1.15337,1.53212,5.79361,0.251128,0,0,17.987,0,0,0,0,0.825008,0,0,0.006564,0,0,0.831572,0,0,0,0,0,0,0,0,0,0,0,28.1753,352.219,0,0.000247852,0.004509,
1,1,7,7.35542,0,0.427597,0,0.0220009,0,1.49247,1.98713,6.4932,0.245547,0,0,18.0234,0,0,0,0,0.42312,0,0,0.013128,0,0,0.436248,0,0,0,0,0,0,0,0,0,0,0,28.1973,352.219,0,0.000248481,0.004509,
1,1,8,8.10197,0,0.427597,0,0.0220009,0,1.64524,3.4812,7.11301,0.228805,0,0,21.0198,0,0,0,0,0.821657,0,0,0.160029,0,0,0.981686,0,0,0,0,0,0,0,0,0,0,0,28.187,352.219,0,0.000248005,0.004509,
1,1,9,7.77929,0,0.427597,0,0.0220009,0,1.43755,3.72741,6.70668,0.200902,-7.91477,0,12.3867,0,0,0,0,1.22437,0,0,0.525414,0,0,1.74978,0,0,0,0,0,0,0,0,0,0,0,28.1718,352.219,0,0.000243441,0.004509,
1,1,10,5.68033,0,0.427597,0,0.0220009,0,1.28342,6.79894,6.45569,0.167419,-19.4008,0,1.43457,0,0,0,0,1.14973,0,0,0.361256,0,0,1.51099,0,0,0,0,0,0,0,0,0,0,0,27.6832,352.219,0,0.000204114,0.004509,
1,1,11,4.92876,0,0.427597,0,0.0220009,0,1.27036,6.77494,6.61084,0.133935,-12.1721,0,7.99632,0,0,0,0,0.782807,0,0,1.09974,0,0,1.88255,0,0,0,0,0,0,0,0,0,0,0,27.4314,352.219,0,0.000185689,0.004509,
1,1,12,7.18657,0,0.427597,0,0.0220009,0,1.20871,4.70988,6.51272,0.0892899,-4.78836,0,15.3684,0,0,0,0,0.927153,0,0,0.681648,0,0,1.6088,0,0,0,0,0,0,0,0,0,0,0,27.024,352.219,0,0.000170892,0.004509,
1,1,13,6.68947,0,0.427597,0,0.0220009,0,1.2933,4.19718,6.69613,0.0669675,-28.8943,0,-9.50161,0,0,0,0,0.625454,0,0,0.0894516,0,0,0.714906,0,0,0,0,0,0,0,0,0,0,0,26.4681,352.219,0,0.000161225,0.004509,
1,1,14,6.45585,0,0.427597,0,0.0220009,0,1.2933,2.42329,6.88324,0.0613869,-22.6111,0,-5.04445,0,0,0,0,0.367686,0,0,0.167222,0,0,0.534908,0,0,0,0,0,0,0,0,0,0,0,26.912,352.219,0,0.000166253,0.004509,
