16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 15:56:14"
Cond. Area:,,,39372
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\ndperry\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-baseU\cz10\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,7.74204,0,0.427597,0,0.00447617,0,0.906753,1.75014,6.45223,0.256709,0,0,17.5399,0,0,0,0,0.0970916,0,0,0.006564,0,0,0.103656,0,0,0,0,0,0,0,0,0,0,0,27.5424,353.349,0,0.000249403,0.004509,
1,1,2,11.8227,0,0.427597,0,0.00447617,0,0.783447,1.67002,5.94853,0.256709,0,0,20.9135,0,0,0,0,0.0459406,0,0,0.0052512,0,0,0.0511918,0,0,0,0,0,0,0,0,0,0,0,27.5217,353.349,0,0.000249051,0.004509,
1,1,3,12.7222,0,0.427597,0,0.00447617,0,0.660138,1.63712,5.64672,0.251128,0,0,21.3494,0,0,0,0,0.0805748,0,0,0.0039384,0,0,0.0845132,0,0,0,0,0,0,0,0,0,0,0,27.4381,353.349,0,0.000248744,0.004509,
1,1,4,14.1539,0,0.427597,0,0.00447617,0,0.721791,1.5994,5.63198,0.251128,0,0,22.7903,0,0,0,0,0.411977,0,0,0.0039384,0,0,0.415915,0,0,0,0,0,0,0,0,0,0,0,27.3708,353.349,0,0.000244034,0.004509,
1,1,5,16.6543,0,0.427597,0,0.00447617,0,0.8451,1.53625,5.35381,0.256709,0,0,25.0783,0,0,0,0,0.471092,0,0,0.0039384,0,0,0.47503,0,0,0,0,0,0,0,0,0,0,0,27.4151,353.349,0,0.000247897,0.004509,
1,1,6,16.7369,0,0.427597,0,0.00447617,0,1.15337,1.53212,5.79361,0.251128,0,0,25.8993,0,0,0,0,0.849673,0,0,0.006564,0,0,0.856237,0,0,0,0,0,0,0,0,0,0,0,27.5338,353.349,0,0.000250017,0.004509,
1,1,7,14.2993,0,0.427597,0,0.00447617,0,1.49247,1.98713,6.4932,0.245547,0,0,24.9497,0,0,0,0,0.249219,0,0,0.013128,0,0,0.262347,0,0,0,0,0,0,0,0,0,0,0,27.5603,353.349,0,0.000250652,0.004509,
1,1,8,12.25,0,0.427597,0,0.00447617,0,1.64524,3.4812,7.11301,0.228805,-0.0468854,0,25.1035,0,0,0,0,0.358495,0,0,0.160029,0,0,0.518524,0,0,0,0,0,0,0,0,0,0,0,27.544,353.349,0,0.000250171,0.004509,
1,1,9,9.69225,0,0.427597,0,0.00447617,0,1.43755,3.72741,6.70668,0.200902,-0.155548,0,22.0413,0,0,0,0,0.544829,0,0,0.525414,0,0,1.07024,0,0,0,0,0,0,0,0,0,0,0,27.3458,353.349,0,0.000245568,0.004509,
1,1,10,4.91016,0,0.427597,0,0.00447617,0,1.28342,6.79894,6.45569,0.167419,-0.187287,0,19.8604,0,0,0,0,0.514658,0,0,0.361256,0,0,0.875914,0,0,0,0,0,0,0,0,0,0,0,25.6863,353.349,0,0.000205897,0.004509,
1,1,11,0.124132,0,0.427597,0,0.00447617,0,1.27036,6.77494,6.61084,0.133935,-0.407904,0,14.9384,0,0,0,0,0.334493,0,0,1.09974,0,0,1.43423,0,0,0,0,0,0,0,0,0,0,0,25.0896,353.349,0,0.000187311,0.004509,
1,1,12,0.0616407,0,0.427597,0,0.00447617,0,1.20871,4.71275,6.51272,0.0892899,-0.337922,0,12.6793,0,0,0,0,0.447661,0,0,0.681648,0,0,1.12931,0,0,0,0,0,0,0,0,0,0,0,24.6797,353.349,0,0.000172385,0.004509,
1,1,13,0.0339289,0,0.427597,0,0.00447617,0,1.2933,4.20541,6.69613,0.0669675,-0.488957,0,12.2388,0,0,0,0,0.270832,0,0,0.0894516,0,0,0.360284,0,0,0,0,0,0,0,0,0,0,0,24.6881,353.349,0,0.000162633,0.004509,
1,1,14,0.0172539,0,0.427597,0,0.00447617,0,1.2933,2.43698,6.88324,0.0613869,-0.45551,0,10.6687,0,0,0,0,0.137898,0,0,0.167222,0,0,0.30512,0,0,0,0,0,0,0,0,0,0,0,24.6795,353.349,0,0.000167705,0.004509,
