"",001
"Mon 09-Mar-20   3:53:03 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",7.03406,0,0,0,0,0,0.00661819,0,0,0.315361,0,0,0,0.537112,4.64792,0.23202,1.28732,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",6.50587,0,0,0,0,0,0.00661819,0,0,0.315361,0,0,0,0.443701,4.27654,0.23202,1.22546,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",6.15543,0,0,0,0,0,0.00661819,0,0,0.315361,0,0,0,0.35029,4.05412,0.226976,1.19743,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",6.15782,0,0,0,0,0,0.00661819,0,0,0.315361,0,0,0,0.396996,4.04258,0.226976,1.16466,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",5.9975,0,0,0,0,0,0.00661819,0,0,0.315361,0,0,0,0.490407,3.83942,0.23202,1.10904,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",6.53879,0,0,0,0,0,0.00661819,0,0,0.315361,0,0,0,0.723934,4.16041,0.226976,1.09778,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",8.16127,0,0,0,0,0,0.00661819,0,0.186886,0.315361,0,0,0,0.980813,4.67234,0.221932,1.10708,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",11.9148,0,0,0,0,0,0.00661819,0,1.47284,0.315361,0,0,0,0.957461,5.01958,0.2068,1.22767,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",10.167,0,0,0,0,0,0.00661819,0,0.669214,0.315361,0,0,0,0.793992,4.71994,0.181581,1.47459,0,1.00958,0.98054,0.0740246,0,0,0,-0.0584474
"MtrElec",1,1,10,"",13.6662,0,0,0,0,0,0.00661819,0,0.514786,0.315361,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-0.122777
"MtrElec",1,1,11,"",13.1601,0,0,0,0,0,0.00661819,0,0.298935,0.315361,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-0.186707
"MtrElec",1,1,12,"",11.817,0,0,0,0,0,0.00661819,0,0.387531,0.315361,0,0,0,0.583817,4.54226,0.0807026,1.42598,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-0.203848
"MtrElec",1,1,13,"",9.60402,0,0,0,0,0,0.00661819,0,0.501706,0.315361,0,0,0,0.490407,4.501,0.060527,1.44963,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-0.217732
"MtrElec",1,1,14,"",7.892,0,0,0,0,0,0.00661819,0,0.418222,0.315361,0,0,0,0.490407,4.63842,0.055483,1.46662,0,0.217118,0.369024,0.0909886,0,0,0,-0.176257
"MtrElec",1,1,15,"",8.25656,0,0,0,0,0,0.00661819,0,0.319779,0.315361,0,0,0,0.490407,4.86538,0.055483,1.43995,0,0.155865,0.673276,0.0956151,0,0,0,-0.161162
"MtrElec",1,1,16,"",8.38474,0,0,0,0,0,0.00661819,0,0.339351,0.315361,0,0,0,0.60717,5.1168,0.060527,1.49567,0,0.284372,0.208307,0.104868,0,0,0,-0.154309
"MtrElec",1,1,17,"",9.83211,0,0,0,0,0,0.00661819,0,0.403419,0.315361,0,0,0,0.723934,5.74202,0.0958344,1.43518,0,0.0879827,0.881776,0.140338,0,0,0,-0.000350255
"MtrElec",1,1,18,"",10.5171,0,0,0,0,0,0.00661819,0,0.381306,0.315361,0,0,0,1.02752,6.47423,0.191669,1.53361,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",11.7299,0,0,0,0,0,0.00661819,0,0.362666,0.315361,0,0,0,1.96163,6.95786,0.242108,1.68475,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",15.0785,0,0,0,0,0,0.00661819,0,0.257751,0.315361,0,0,0,2.73227,7.23308,0.302635,1.64411,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",13.6588,0,0,0,0,0,0.00661819,0,0.261146,0.315361,0,0,0,2.63885,7.49676,0.418645,1.58981,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",12.6655,0,0,0,0,0,0.00661819,0,0.261545,0.315361,0,0,0,2.24186,7.42686,0.494303,1.52472,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",10.6214,0,0,0,0,0,0.00661819,0,0.374117,0.315361,0,0,0,1.47122,6.63975,0.428733,1.37168,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",8.62429,0,0,0,0,0,0.00661819,0,0,0.315361,0,0,0,0.910755,5.66234,0.297591,1.42391,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",6.96573,0,0,0,0,0,0.00661819,0,0,0.315361,0,0,0,0.537112,4.63532,0.23202,1.23158,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",8.13449,0,0,0,0,0,0.00661819,0,0,0.315361,0,0,0,0.443701,4.22793,0.23202,1.20505,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",6.9124,0,0,0,0,0,0.00661819,0,0,0.315361,0,0,0,0.35029,4.06638,0.23202,1.15765,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",6.13714,0,0,0,0,0,0.00661819,0,0,0.315361,0,0,0,0.396996,4.04224,0.23202,1.13773,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",5.99224,0,0,0,0,0,0.00661819,0,0,0.315361,0,0,0,0.490407,3.85168,0.23202,1.08999,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,6,"",6.53501,0,0,0,0,0,0.00661819,0,0,0.315361,0,0,0,0.723934,4.17266,0.186625,1.10821,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,2,7,"",7.79481,0,0,0,0,0,0.00661819,0,0.248756,0.315361,0,0,0,0.980813,4.75662,0.176537,1.2808,0,0,0,0.0293014,0,0,0,0
