16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-02-16 18:00:20"
Cond. Area:,,,39372
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat19-win\cz04\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,3.6705,0,1.85033,0,0.0223809,0,0.906753,1.75548,6.45223,0.256709,0,0,14.9144,0,0,0,0,0.245131,0,0,0.006564,0,0,0.251695,0,0,0,0,0,0,0,0,0,0,0,27.9635,352.219,0,0.000247243,0.004509,
1,1,2,3.77072,0,1.85033,0,0.0223809,0,0.783447,1.67743,5.94853,0.256709,0,0,14.3096,0,0,0,0,0.12919,0,0,0.0052512,0,0,0.134441,0,0,0,0,0,0,0,0,0,0,0,27.9477,352.219,0,0.000246894,0.004509,
1,1,3,3.68309,0,1.85033,0,0.0223809,0,0.660138,1.64281,5.64672,0.251128,0,0,13.7566,0,0,0,0,0.103388,0,0,0.0039384,0,0,0.107326,0,0,0,0,0,0,0,0,0,0,0,27.8911,352.219,0,0.000246589,0.004509,
1,1,4,2.23806,0,1.85033,0,0.0223809,0,0.721791,1.60241,5.63198,0.251128,0,0,12.3181,0,0,0,0,0.100181,0,0,0.0039384,0,0,0.104119,0,0,0,0,0,0,0,0,0,0,0,27.7982,352.219,0,0.000241921,0.004509,
1,1,5,2.3077,0,1.85033,0,0.0223809,0,0.8451,1.53761,5.35381,0.256709,0,0,12.1736,0,0,0,0,0.106612,0,0,0.0039384,0,0,0.11055,0,0,0,0,0,0,0,0,0,0,0,27.9185,352.219,0,0.00024575,0.004509,
1,1,6,1.77494,0,1.85033,0,0.0223809,0,1.15337,1.53241,5.79361,0.251128,0,0,12.3782,0,0,0,0,0.85103,0,0,0.006564,0,0,0.857594,0,0,0,0,0,0,0,0,0,0,0,27.9595,352.219,0,0.000247852,0.004509,
1,1,7,1.25902,0,1.85033,0,0.0223809,0,1.49247,1.98726,6.4932,0.245547,0,0,13.3502,0,0,0,0,0.454982,0,0,0.013128,0,0,0.46811,0,0,0,0,0,0,0,0,0,0,0,27.9814,352.219,0,0.000248481,0.004509,
1,1,8,5.70326,0,1.85033,0,0.0223809,0,1.64524,3.48174,7.11301,0.228805,0,0,20.0448,0,0,0,0,0.87088,0,0,0.160029,0,0,1.03091,0,0,0,0,0,0,0,0,0,0,0,27.9711,352.219,0,0.000248005,0.004509,
1,1,9,4.90124,0,1.85033,0,0.0223809,0,1.43755,3.7279,6.70668,0.200902,0,0,18.847,0,0,0,0,1.27794,0,0,0.525414,0,0,1.80335,0,0,0,0,0,0,0,0,0,0,0,27.9559,352.219,0,0.000243441,0.004509,
1,1,10,2.78313,0,1.85033,0,0.0223809,0,1.28342,6.79925,6.45569,0.167419,-0.00847822,0,19.3531,0,0,0,0,1.21277,0,0,0.361256,0,0,1.57403,0,0,0,0,0,0,0,0,0,0,0,27.4674,352.219,0,0.000204114,0.004509,
1,1,11,2.14969,0,1.85033,0,0.0223809,0,1.27036,6.77495,6.61084,0.133935,-0.0279102,0,18.7846,0,0,0,0,0.832339,0,0,1.09974,0,0,1.93208,0,0,0,0,0,0,0,0,0,0,0,27.2155,352.219,0,0.000185689,0.004509,
1,1,12,3.79944,0,1.85033,0,0.0223809,0,1.20871,4.71041,6.51272,0.0892899,-0.0195157,0,18.1738,0,0,0,0,0.965877,0,0,0.681648,0,0,1.64753,0,0,0,0,0,0,0,0,0,0,0,26.8081,352.219,0,0.000170892,0.004509,
1,1,13,4.3991,0,1.85033,0,0.0223809,0,1.2933,4.19721,6.69613,0.0669675,-0.0398033,0,18.4856,0,0,0,0,0.661936,0,0,0.0894516,0,0,0.751388,0,0,0,0,0,0,0,0,0,0,0,26.2522,352.219,0,0.000161225,0.004509,
1,1,14,3.58811,0,1.85033,0,0.0223809,0,1.2933,2.42329,6.88324,0.0613869,-0.0549613,0,16.0671,0,0,0,0,0.395615,0,0,0.167222,0,0,0.562837,0,0,0,0,0,0,0,0,0,0,0,26.6961,352.219,0,0.000166253,0.004509,
1,1,15,2.42867,0,1.85033,0,0.0223809,0,1.2933,2.53633,7.19194,0.0613869,-0.0961064,0,15.2882,0,0,0,0,0.528774,0,0,0.145835,0,0,0.674609,0,0,0,0,0,0,0,0,0,0,0,26.4819,352.219,0,0.000166712,0.004509,
