16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-06-07 18:52:58"
Cond. Area:,,,7320
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\furnace-analysis\runs\lrgs-furnace-comp_DWHR\cz10\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.36971,0,0.0320012,0,0.157419,0.37862,1.36223,0.0680012,0,0,2.36798,0,0,0,0,0,0,0,0.00143269,0,0,0.00143269,0,0,0,0,0,0,0,0,0,0,0,27.5424,353.349,0,0.000249403,0.004509,
1,1,2,0,0,0.36971,0,0.0320012,0,0.130041,0.35915,1.25338,0.0680012,0,0,2.21229,0,0,0,0,0,0,0,0.00114615,0,0,0.00114615,0,0,0,0,0,0,0,0,0,0,0,27.5217,353.349,0,0.000249051,0.004509,
1,1,3,0,0,0.36971,0,0.0331852,0,0.102664,0.349269,1.18819,0.0665229,0,0,2.10955,0,0,0,0,0.00476073,0,0,0.000859615,0,0,0.00562034,0,0,0,0,0,0,0,0,0,0,0,27.4381,353.349,0,0.000248744,0.004509,
1,1,4,0,0,0.36971,0,0.0320012,0,0.116353,0.3389,1.18481,0.0665229,0,0,2.1083,0,0,0,0,0,0,0,0.000859615,0,0,0.000859615,0,0,0,0,0,0,0,0,0,0,0,27.3708,353.349,0,0.000244034,0.004509,
1,1,5,0,0,0.36971,0,0.0331852,0,0.14373,0.321028,1.12527,0.0680012,0,0,2.06092,0,0,0,0,0.00453952,0,0,0.000859615,0,0,0.00539914,0,0,0,0,0,0,0,0,0,0,0,27.4151,353.349,0,0.000247897,0.004509,
1,1,6,0,0,0.36971,0,0.0817222,0,0.212173,0.316882,1.21935,0.0665229,0,0,2.26636,0,0,0,0,0.256894,0,0,0.00143269,0,0,0.258327,0,0,0,0,0,0,0,0,0,0,0,27.5338,353.349,0,0.000250017,0.004509,
1,1,7,0.382131,0,0.36971,0,0.0840897,0,0.28746,0.510432,1.36938,0.0650445,0,0,3.06825,0.564083,0,0,0,0.123124,0,0,0.00286538,0,0,0.690072,0,0,0,0,0,0,0,0,0,0,0,27.5603,353.349,0,0.000250652,0.004509,
1,1,8,0.64573,0,0.36971,0,0.152752,0,0.280616,1.15108,1.47115,0.0606096,-0.0468854,0,4.08477,0.953199,0,0,0,0.214044,0,0,0.0649113,0,0,1.23215,0,0,0,0,0,0,0,0,0,0,0,27.544,353.349,0,0.000250171,0.004509,
1,1,9,0.328414,0,0.36971,0,0.148016,0,0.232706,1.03578,1.38334,0.0532183,-0.155548,0,3.39564,0.484791,0,0,0,0.13361,0,0,0.222457,0,0,0.840858,0,0,0,0,0,0,0,0,0,0,0,27.3458,353.349,0,0.000245568,0.004509,
1,1,10,0.189181,0,0.36971,0,0.133811,0,0.198484,2.2231,1.33015,0.0443485,-0.187287,0,4.30149,0.279261,0,0,0,0.317313,0,0,0.0993683,0,0,0.695942,0,0,0,0,0,0,0,0,0,0,0,25.6863,353.349,0,0.000205897,0.004509,
1,1,11,0.0394988,0,0.36971,0,0.130259,0,0.184796,2.15679,1.35269,0.0354789,-0.407904,0,3.86132,0.0583065,0,0,0,0.183888,0,0,0.508466,0,0,0.75066,0,0,0,0,0,0,0,0,0,0,0,25.0896,353.349,0,0.000187311,0.004509,
1,1,12,0.02555,0,0.36971,0,0.0722515,0,0.171107,1.78919,1.33126,0.0236526,-0.337922,0,3.4448,0.0377158,0,0,0,0.130235,0,0,0.320482,0,0,0.488432,0,0,0,0,0,0,0,0,0,0,0,24.6797,353.349,0,0.000172385,0.004509,
1,1,13,0.00679745,0,0.36971,0,0.0686999,0,0.14373,1.15682,1.31917,0.0177394,-0.488957,0,2.5937,0.0100341,0,0,0,0.0845358,0,0,0.0214245,0,0,0.115994,0,0,0,0,0,0,0,0,0,0,0,24.6881,353.349,0,0.000162633,0.004509,
1,1,14,0,0,0.36971,0,0.075803,0,0.14373,0.62862,1.35944,0.0162611,-0.45551,0,2.13806,0,0,0,0,0.0328659,0,0,0.061789,0,0,0.0946549,0,0,0,0,0,0,0,0,0,0,0,24.6795,353.349,0,0.000167705,0.004509,
