"",002
"Mon 30-Mar-20   6:26:41 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",38.3521,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,5.9424,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",35.9371,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.2964,0.87589,5.67379,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",34.3449,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.2666,0.856849,5.55815,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",34.3621,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2163,0.856849,5.41538,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",33.6166,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.2672,0.87589,5.17913,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",36.1165,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.9353,19.7678,0.856849,5.13161,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",41.174,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,5.09231,22.1548,0.837808,5.20195,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",67.6866,0,13.1063,0,0,0,0.0763637,0,5.72978,6.31333,0,0,0,5.61357,24.2696,0.780684,5.70797,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",61.7128,0,10.2138,0,0,0,0.0763637,0,3.92983,6.31333,0,0,0,4.90493,22.8832,0.685479,6.72336,0,2.23681,3.41576,0.338707,0,0,0,-0.00877023
"MtrElec",1,1,10,"",64.5457,0,5.4716,0,0,0,0.0763637,0,2.58143,6.31333,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.0720471
"MtrElec",1,1,11,"",62.7999,0,4.26871,0,0,0,0.0763637,0,1.79565,6.31333,0,0,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.117923
"MtrElec",1,1,12,"",54.4672,0,4.02191,0,0,0,0.0763637,0,1.58768,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-0.252262
"MtrElec",1,1,13,"",52.6052,0,3.24934,0,0,0,0.0763637,0,1.43631,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-0.279377
"MtrElec",1,1,14,"",45.6902,0,1.97879,0,0,0,0.0763637,0,1.17077,6.31333,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-0.225084
"MtrElec",1,1,15,"",46.8727,0,1.80091,0,0,0,0.0763637,0,1.03373,6.31333,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-0.166744
"MtrElec",1,1,16,"",49.2052,0,1.83382,0,0,0,0.0763637,0,1.00822,6.31333,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-0.0664816
"MtrElec",1,1,17,"",57.6421,0,1.96237,0,0,0,0.0763637,0,0.852021,6.31333,0,0,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,-0.0330048
"MtrElec",1,1,18,"",63.9132,0,2.09753,0,0,0,0.0763637,0,0.816676,6.31333,0,0,0,6.74902,31.933,0.723561,6.98604,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",66.7474,0,2.17653,0,0,0,0.0763637,0,0.776659,6.31333,0,0,0,10.8458,34.0729,0.913972,7.67933,0,1.93423,1.04806,0.910275,0,0,0,0
