16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-01-28 21:20:47"
Cond. Area:,,,39372
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat-tier2\cz11\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,8.35815,0,1.85033,0,0.0223809,0,0.906753,1.7398,6.45223,0.256709,0,0,19.5863,0,0,0,0,0.247568,0,0,0.006564,0,0,0.254132,0,0,0,0,0,0,0,0,0,0,0,27.9703,352.219,0,0.000247243,0.004509,
1,1,2,9.99904,0,1.85033,0,0.0223809,0,0.783447,1.66738,5.94853,0.256709,0,0,20.5278,0,0,0,0,0.129586,0,0,0.0052512,0,0,0.134837,0,0,0,0,0,0,0,0,0,0,0,27.9545,352.219,0,0.000246894,0.004509,
1,1,3,9.63169,0,1.85033,0,0.0223809,0,0.660138,1.63712,5.64672,0.251128,0,0,19.6995,0,0,0,0,0.103438,0,0,0.0039384,0,0,0.107376,0,0,0,0,0,0,0,0,0,0,0,27.8978,352.219,0,0.000246589,0.004509,
1,1,4,9.97476,0,1.85033,0,0.0223809,0,0.721791,1.5994,5.63198,0.251128,0,0,20.0518,0,0,0,0,0.100181,0,0,0.0039384,0,0,0.104119,0,0,0,0,0,0,0,0,0,0,0,27.8049,352.219,0,0.000241921,0.004509,
1,1,5,10.1816,0,1.85033,0,0.0223809,0,0.8451,1.53625,5.35381,0.256709,0,0,20.0462,0,0,0,0,0.106711,0,0,0.0039384,0,0,0.110649,0,0,0,0,0,0,0,0,0,0,0,27.9253,352.219,0,0.00024575,0.004509,
1,1,6,10.599,0,1.85033,0,0.0223809,0,1.15337,1.53212,5.79361,0.251128,0,0,21.202,0,0,0,0,0.864382,0,0,0.006564,0,0,0.870946,0,0,0,0,0,0,0,0,0,0,0,27.9662,352.219,0,0.000247852,0.004509,
1,1,7,10.8468,0,1.85033,0,0.0223809,0,1.49247,1.98713,6.4932,0.245547,0,0,22.9378,0,0,0,0,0.460301,0,0,0.013128,0,0,0.473429,0,0,0,0,0,0,0,0,0,0,0,27.9881,352.219,0,0.000248481,0.004509,
1,1,8,16.3458,0,1.85033,0,0.0223809,0,1.64524,3.4812,7.11301,0.228805,0,0,30.6867,0,0,0,0,0.88164,0,0,0.160029,0,0,1.04167,0,0,0,0,0,0,0,0,0,0,0,27.9779,352.219,0,0.000248005,0.004509,
1,1,9,13.1886,0,1.85033,0,0.0223809,0,1.43755,3.72741,6.70668,0.200902,-0.0956281,0,27.0382,0,0,0,0,1.29618,0,0,0.525414,0,0,1.82159,0,0,0,0,0,0,0,0,0,0,0,27.9627,352.219,0,0.000243441,0.004509,
1,1,10,7.9471,0,1.85033,0,0.0223809,0,1.28342,6.79894,6.45569,0.167419,-0.44471,0,24.0806,0,0,0,0,1.22817,0,0,0.361256,0,0,1.58943,0,0,0,0,0,0,0,0,0,0,0,27.4741,352.219,0,0.000204114,0.004509,
1,1,11,4.48083,0,1.85033,0,0.0223809,0,1.27036,6.77494,6.61084,0.133935,-0.571099,0,20.5725,0,0,0,0,0.842325,0,0,1.09974,0,0,1.94206,0,0,0,0,0,0,0,0,0,0,0,27.2223,352.219,0,0.000185689,0.004509,
1,1,12,1.71645,0,1.85033,0,0.0223809,0,1.20871,4.71061,6.51272,0.0892899,-0.285142,0,15.8254,0,0,0,0,0.979878,0,0,0.681648,0,0,1.66153,0,0,0,0,0,0,0,0,0,0,0,26.8149,352.219,0,0.000170892,0.004509,
1,1,13,0.935887,0,1.85033,0,0.0223809,0,1.2933,4.19819,6.69613,0.0669675,-0.446756,0,14.6164,0,0,0,0,0.67047,0,0,0.0894516,0,0,0.759922,0,0,0,0,0,0,0,0,0,0,0,26.259,352.219,0,0.000161225,0.004509,
1,1,14,0.577708,0,1.85033,0,0.0223809,0,1.2933,2.42705,6.88324,0.0613869,-0.312606,0,12.8028,0,0,0,0,0.400277,0,0,0.167222,0,0,0.567499,0,0,0,0,0,0,0,0,0,0,0,26.7029,352.219,0,0.000166253,0.004509,
1,1,15,0.57825,0,1.85033,0,0.0223809,0,1.2933,2.54333,7.19194,0.0613869,-0.411571,0,13.1294,0,0,0,0,0.535167,0,0,0.145835,0,0,0.681002,0,0,0,0,0,0,0,0,0,0,0,26.4887,352.219,0,0.000166712,0.004509,
