"",002
"Tue 31-Mar-20  10:54:09 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",39.5621,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,22.015,0.87589,5.92404,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",37.1475,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.67312,20.2964,0.87589,5.65575,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",35.5591,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.25239,19.2666,0.856849,5.54399,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",35.5711,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.46275,19.2163,0.856849,5.39604,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",34.826,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.88348,18.2672,0.87589,5.16024,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",36.0994,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.9353,19.7678,0.856849,5.11449,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",41.1594,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,5.09231,22.1548,0.837808,5.18741,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",70.0443,0,14.0361,0,0,0,0.0763637,0,5.93245,6.31333,0,1.22837,0,5.61357,24.2696,0.780684,5.70475,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",64.7471,0,11.8041,0,0,0,0.0763637,0,4.14808,6.31333,0,1.22837,0,4.90493,22.8832,0.685479,6.72412,0,2.23681,3.41576,0.338707,0,0,0,-0.0120518
"MtrElec",1,1,10,"",67.1306,0,6.76012,0,0,0,0.0763637,0,2.68854,6.31333,0,1.22837,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.111155
"MtrElec",1,1,11,"",65.0138,0,5.42044,0,0,0,0.0763637,0,1.90301,6.31333,0,1.22837,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.391475
"MtrElec",1,1,12,"",56.5851,0,4.62621,0,0,0,0.0763637,0,1.96167,6.31333,0,1.22837,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-0.341078
"MtrElec",1,1,13,"",53.1914,0,3.40871,0,0,0,0.0763637,0,1.69665,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-0.11285
