16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-06-07 23:16:16"
Cond. Area:,,,7320
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\furnace-analysis\runs\lrgs-furnace-comp_DWHR_iaqhrv\cz09\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.221825,0,0.0320012,0,0.157419,0.397363,1.36223,0.0680012,0,0,2.23884,0,0,0,0,0,0,0,0.00143269,0,0,0.00143269,0,0,0,0,0,0,0,0,0,0,0,27.5499,353.349,0,0.000249403,0.004509,
1,1,2,0,0,0.221825,0,0.0320012,0,0.130041,0.378241,1.25338,0.0680012,0,0,2.08349,0,0,0,0,0,0,0,0.00114615,0,0,0.00114615,0,0,0,0,0,0,0,0,0,0,0,27.5291,353.349,0,0.000249051,0.004509,
1,1,3,0,0,0.221825,0,0.0331852,0,0.102664,0.369624,1.18819,0.0665229,0,0,1.98202,0,0,0,0,0.00475862,0,0,0.000859615,0,0,0.00561824,0,0,0,0,0,0,0,0,0,0,0,27.4456,353.349,0,0.000248744,0.004509,
1,1,4,0,0,0.221825,0,0.0320012,0,0.116353,0.359823,1.18481,0.0665229,0,0,1.98134,0,0,0,0,0,0,0,0.000859615,0,0,0.000859615,0,0,0,0,0,0,0,0,0,0,0,27.3782,353.349,0,0.000244034,0.004509,
1,1,5,0,0,0.221825,0,0.0331852,0,0.14373,0.345459,1.12527,0.0680012,0,0,1.93747,0,0,0,0,0.00453741,0,0,0.000859615,0,0,0.00539702,0,0,0,0,0,0,0,0,0,0,0,27.4225,353.349,0,0.000247897,0.004509,
1,1,6,0,0,0.221825,0,0.0817222,0,0.212173,0.342902,1.21935,0.0665229,0,0,2.14449,0,0,0,0,0.251847,0,0,0.00143269,0,0,0.25328,0,0,0,0,0,0,0,0,0,0,0,27.5413,353.349,0,0.000250017,0.004509,
1,1,7,0,0,0.221825,0,0.0840897,0,0.28746,0.542058,1.36938,0.0650445,0,0,2.56986,0,0,0,0,0.121168,0,0,0.00286538,0,0,0.124033,0,0,0,0,0,0,0,0,0,0,0,27.5678,353.349,0,0.000250652,0.004509,
1,1,8,0.0309982,0,0.221825,0,0.152752,0,0.280616,1.17048,1.47115,0.0606096,-0.488602,0,2.89983,0.0457563,0,0,0,0.211093,0,0,0.0649113,0,0,0.321761,0,0,0,0,0,0,0,0,0,0,0,27.5515,353.349,0,0.000250171,0.004509,
1,1,9,0.00863831,0,0.221825,0,0.148016,0,0.232706,1.04088,1.38334,0.0532183,-1.58697,0,1.50165,0.012751,0,0,0,0.13157,0,0,0.222457,0,0,0.366778,0,0,0,0,0,0,0,0,0,0,0,27.3533,353.349,0,0.000245568,0.004509,
1,1,10,0,0,0.221825,0,0.133811,0,0.198484,2.22723,1.33015,0.0443485,-2.69086,0,1.46499,0,0,0,0,0.312241,0,0,0.0993683,0,0,0.411609,0,0,0,0,0,0,0,0,0,0,0,25.6938,353.349,0,0.000205897,0.004509,
1,1,11,0,0,0.221825,0,0.130259,0,0.184796,2.16118,1.35269,0.0354789,-4.26213,0,-0.1759,0,0,0,0,0.181189,0,0,0.508466,0,0,0.689655,0,0,0,0,0,0,0,0,0,0,0,25.0971,353.349,0,0.000187311,0.004509,
1,1,12,0,0,0.221825,0,0.0722515,0,0.171107,1.7958,1.33126,0.0236526,-7.90832,0,-4.29243,0,0,0,0,0.128277,0,0,0.320482,0,0,0.448759,0,0,0,0,0,0,0,0,0,0,0,24.6872,353.349,0,0.000172385,0.004509,
1,1,13,0,0,0.221825,0,0.0686999,0,0.14373,1.16583,1.31917,0.0177394,-8.49707,0,-5.56008,0,0,0,0,0.0830983,0,0,0.0214245,0,0,0.104523,0,0,0,0,0,0,0,0,0,0,0,24.6956,353.349,0,0.000162633,0.004509,
1,1,14,0,0,0.221825,0,0.075803,0,0.14373,0.639147,1.35944,0.0162611,-6.69179,0,-4.23558,0,0,0,0,0.0324892,0,0,0.061789,0,0,0.0942782,0,0,0,0,0,0,0,0,0,0,0,24.687,353.349,0,0.000167705,0.004509,
