16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-01-28 14:59:19"
Cond. Area:,,,39372
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\OneDrive - TRC\Documents\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat-base\cz04\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,3.74117,0,1.85033,0,0.0223809,0,0.906753,1.75729,6.45223,0.256709,0,0,14.9869,0,0,0,0,0.237552,0,0,0.006564,0,0,0.244116,0,0,0,0,0,0,0,0,0,0,0,27.9635,352.219,0,0.000247243,0.004509,
1,1,2,3.86874,0,1.85033,0,0.0223809,0,0.783447,1.67918,5.94853,0.256709,0,0,14.4093,0,0,0,0,0.111717,0,0,0.0052512,0,0,0.116968,0,0,0,0,0,0,0,0,0,0,0,27.9477,352.219,0,0.000246894,0.004509,
1,1,3,3.76412,0,1.85033,0,0.0223809,0,0.660138,1.64451,5.64672,0.251128,0,0,13.8393,0,0,0,0,0.0837024,0,0,0.0039384,0,0,0.0876408,0,0,0,0,0,0,0,0,0,0,0,27.8911,352.219,0,0.000246589,0.004509,
1,1,4,1.92685,0,1.85033,0,0.0223809,0,0.721791,1.60422,5.63198,0.251128,0,0,12.0087,0,0,0,0,0.0802023,0,0,0.0039384,0,0,0.0841407,0,0,0,0,0,0,0,0,0,0,0,27.7982,352.219,0,0.000241921,0.004509,
1,1,5,1.92551,0,1.85033,0,0.0223809,0,0.8451,1.53911,5.35381,0.256709,0,0,11.793,0,0,0,0,0.0870579,0,0,0.0039384,0,0,0.0909963,0,0,0,0,0,0,0,0,0,0,0,27.9185,352.219,0,0.00024575,0.004509,
1,1,6,1.51886,0,1.85033,0,0.0223809,0,1.15337,1.53286,5.79361,0.251128,0,0,12.1225,0,0,0,0,0.893672,0,0,0.006564,0,0,0.900236,0,0,0,0,0,0,0,0,0,0,0,27.9595,352.219,0,0.000247852,0.004509,
1,1,7,1.13943,0,1.85033,0,0.0223809,0,1.49247,1.98744,6.4932,0.245547,0,0,13.2308,0,0,0,0,0.464784,0,0,0.013128,0,0,0.477912,0,0,0,0,0,0,0,0,0,0,0,27.9814,352.219,0,0.000248481,0.004509,
1,1,8,5.57878,0,1.85033,0,0.0223809,0,1.64524,3.48197,7.11301,0.228805,0,0,19.9205,0,0,0,0,0.916789,0,0,0.160029,0,0,1.07682,0,0,0,0,0,0,0,0,0,0,0,27.9711,352.219,0,0.000248005,0.004509,
1,1,9,4.83723,0,1.85033,0,0.0223809,0,1.43755,3.72793,6.70668,0.200902,0,0,18.783,0,0,0,0,1.35973,0,0,0.525414,0,0,1.88514,0,0,0,0,0,0,0,0,0,0,0,27.9559,352.219,0,0.000243441,0.004509,
1,1,10,3.07184,0,1.85033,0,0.0223809,0,1.28342,6.79912,6.45569,0.167419,-0.708998,0,18.9412,0,0,0,0,1.2889,0,0,0.361256,0,0,1.65016,0,0,0,0,0,0,0,0,0,0,0,27.4674,352.219,0,0.000204114,0.004509,
1,1,11,2.52382,0,1.85033,0,0.0223809,0,1.27036,6.77538,6.61084,0.133935,-2.33401,0,16.853,0,0,0,0,0.875678,0,0,1.09974,0,0,1.97542,0,0,0,0,0,0,0,0,0,0,0,27.2155,352.219,0,0.000185689,0.004509,
1,1,12,3.64943,0,1.85033,0,0.0223809,0,1.20871,4.71132,6.51272,0.0892899,-1.63201,0,16.4122,0,0,0,0,1.02072,0,0,0.681648,0,0,1.70237,0,0,0,0,0,0,0,0,0,0,0,26.8081,352.219,0,0.000170892,0.004509,
1,1,13,4.42076,0,1.85033,0,0.0223809,0,1.2933,4.19766,6.69613,0.0669675,-3.32858,0,15.219,0,0,0,0,0.690449,0,0,0.0894516,0,0,0.779901,0,0,0,0,0,0,0,0,0,0,0,26.2522,352.219,0,0.000161225,0.004509,
1,1,14,3.44836,0,1.85033,0,0.0223809,0,1.2933,2.42329,6.88324,0.0613869,-4.59619,0,11.3861,0,0,0,0,0.401012,0,0,0.167222,0,0,0.568234,0,0,0,0,0,0,0,0,0,0,0,26.6961,352.219,0,0.000166253,0.004509,
