16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-01-28 18:53:29"
Cond. Area:,,,7320
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrgs-low-tier1\cz16\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,9.02268,0,0.221825,0,0.00969839,0,0.385211,0.735811,1.11052,0,0,0,11.4858,0,0,0,0,0.0400056,0,0,0.0299892,0,0,0.0699948,0,0,0,0,0,0,0,0,0,0,0,28.5022,353.349,0,0.000249403,0.004509,
1,1,2,9.40555,0,0.221825,0,0.00969839,0,0.318218,0.728825,1.0505,0,0,0,11.7346,0,0,0,0,0.0470553,0,0,0.0283681,0,0,0.0754234,0,0,0,0,0,0,0,0,0,0,0,28.4815,353.349,0,0.000249051,0.004509,
1,1,3,9.06345,0,0.221825,0,0.00969839,0,0.251224,0.725332,1.02048,0,0,0,11.292,0,0,0,0,0.0684154,0,0,0.0275576,0,0,0.095973,0,0,0,0,0,0,0,0,0,0,0,28.398,353.349,0,0.000248744,0.004509,
1,1,4,9.26039,0,0.221825,0,0.00969839,0,0.28472,0.725332,1.02048,0,0,0,11.5224,0,0,0,0,0.188049,0,0,0.0275576,0,0,0.215607,0,0,0,0,0,0,0,0,0,0,0,28.3306,353.349,0,0.000244034,0.004509,
1,1,5,9.16024,0,0.221825,0,0.00969839,0,0.351715,0.718346,0.960451,0,0,0,11.4223,0,0,0,0,0.209409,0,0,0.0259366,0,0,0.235346,0,0,0,0,0,0,0,0,0,0,0,28.3749,353.349,0,0.000247897,0.004509,
1,1,6,8.34748,0,0.221825,0,0.00969839,0,0.519197,0.732318,1.08051,0,0,0,10.911,0,0,0,0,0.633356,0,0,0.0291787,0,0,0.662535,0,0,0,0,0,0,0,0,0,0,0,28.4937,353.349,0,0.000250017,0.004509,
1,1,7,8.33514,0,0.221825,0,0.00969839,0,0.703426,0.753275,1.26059,0,0,0,11.284,0,0,0,0,0.256857,0,0,0.0340418,0,0,0.290899,0,0,0,0,0,0,0,0,0,0,0,28.5202,353.349,0,0.000250652,0.004509,
1,1,8,8.8229,0,0.221825,0,0.00969839,0,0.686679,0.760261,1.32062,0,0,0,11.822,0,0,0,0,0.33114,0,0,0.0356628,0,0,0.366803,0,0,0,0,0,0,0,0,0,0,0,28.5039,353.349,0,0.000250171,0.004509,
1,1,9,8.88518,0,0.221825,0,0.00969839,0,0.56944,0.735811,1.11052,0,0,0,11.5325,0,0,0,0,0.234201,0,0,0.0299892,0,0,0.26419,0,0,0,0,0,0,0,0,0,0,0,28.3057,353.349,0,0.000245568,0.004509,
1,1,10,9.01407,0,0.221825,0,0.00969839,0,0.4857,0.718346,0.960451,0,0,0,11.4101,0,0,0,0,0.509419,0,0,0.0259366,0,0,0.535356,0,0,0,0,0,0,0,0,0,0,0,26.6461,353.349,0,0.000205897,0.004509,
1,1,11,9.02453,0,0.221825,0,0.00969839,0,0.452204,0.721839,0.990466,0,0,0,11.4206,0,0,0,0,0.308554,0,0,0.0267471,0,0,0.335301,0,0,0,0,0,0,0,0,0,0,0,26.0495,353.349,0,0.000187311,0.004509,
1,1,12,8.92682,0,0.221825,0,0.00969839,0,0.418708,0.721839,0.990466,0,0,0,11.2894,0,0,0,0,0.217955,0,0,0.0267471,0,0,0.244702,0,0,0,0,0,0,0,0,0,0,0,25.6395,353.349,0,0.000172385,0.004509,
1,1,13,8.89269,0,0.221825,0,0.00969839,0,0.351715,0.718346,0.960451,0,0,0,11.1547,0,0,0,0,0.178864,0,0,0.0259366,0,0,0.204801,0,0,0,0,0,0,0,0,0,0,0,25.6479,353.349,0,0.000162633,0.004509,
1,1,14,8.67514,0,0.221825,0,0.00969839,0,0.351715,0.721839,0.990466,0,0,0,10.9707,0,0,0,0,0.0770416,0,0,0.0267471,0,0,0.103789,0,0,0,0,0,0,0,0,0,0,0,25.6394,353.349,0,0.000167705,0.004509,
1,1,15,8.62611,0,0.221825,0,0.00969839,0,0.351715,0.728825,1.0505,0,0,0,10.9887,0,0,0,0,0.148513,0,0,0.0283681,0,0,0.176881,0,0,0,0,0,0,0,0,0,0,0,25.7784,353.349,0,0.000168169,0.004509,
