16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-02-08 13:55:48"
Cond. Area:,,,39372
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\OneDrive - TRC\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte-lr\runs\lrlc-baseline-all\cz16\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0.360015,0,1.85033,0,0.0223809,0,0.906753,1.71482,6.45223,0.256709,0,0,11.5632,0,0,0,0,0.272705,0,0,0.006564,0,0,0.279269,0,0,0,0,0,0,0,0,0,0,0,28.5022,353.349,0,0.000249403,0.004509,
1,1,2,0.384158,0,1.85033,0,0.0223809,0,0.783447,1.61888,5.94853,0.256709,0,0,10.8644,0.0357223,0,0,0,0.133453,0,0,0.0052512,0,0,0.174427,0,0,0,0,0,0,0,0,0,0,0,28.4815,353.349,0,0.000249051,0.004509,
1,1,3,0.643406,0,1.85033,0,0.0223809,0,0.660138,1.57129,5.64672,0.251128,0,0,10.6454,0.219523,0,0,0,0.103847,0,0,0.0039384,0,0,0.327308,0,0,0,0,0,0,0,0,0,0,0,28.398,353.349,0,0.000248744,0.004509,
1,1,4,1.29069,0,1.85033,0,0.0223809,0,0.721791,1.52472,5.63198,0.251128,0,0,11.293,0.325119,0,0,0,0.100181,0,0,0.0039384,0,0,0.429238,0,0,0,0,0,0,0,0,0,0,0,28.3306,353.349,0,0.000244034,0.004509,
1,1,5,1.82106,0,1.85033,0,0.0223809,0,0.8451,1.44216,5.35381,0.256709,0,0,11.5915,0.393257,0,0,0,0.107531,0,0,0.0039384,0,0,0.504726,0,0,0,0,0,0,0,0,0,0,0,28.3749,353.349,0,0.000247897,0.004509,
1,1,6,2.30752,0,1.85033,0,0.0223809,0,1.15337,1.42472,5.79361,0.251128,0,0,12.8031,0.518143,0,0,0,1.00541,0,0,0.006564,0,0,1.53012,0,0,0,0,0,0,0,0,0,0,0,28.4937,353.349,0,0.000250017,0.004509,
1,1,7,4.87127,0,1.85033,0,0.0223809,0,1.49247,1.85447,6.4932,0.245547,0,0,16.8297,3.80387,0,0,0,0.512981,0,0,0.013128,0,0,4.32998,0,0,0,0,0,0,0,0,0,0,0,28.5202,353.349,0,0.000250652,0.004509,
1,1,8,19.8622,0,1.85033,0,0.0223809,0,1.64524,3.41052,7.11301,0.228805,0,0,34.1325,5.5869,0,0,0,0.99089,0,0,0.160029,0,0,6.73782,0,0,0,0,0,0,0,0,0,0,0,28.5039,353.349,0,0.000250171,0.004509,
1,1,9,13.6932,0,1.85033,0,0.0223809,0,1.43755,3.71862,6.70668,0.200902,-1.18763,0,26.442,3.44223,0,0,0,1.48046,0,0,0.525414,0,0,5.4481,0,0,0,0,0,0,0,0,0,0,0,28.3057,353.349,0,0.000245568,0.004509,
1,1,10,8.54089,0,1.85033,0,0.0223809,0,1.28342,6.79894,6.45569,0.167419,-4.31958,0,20.7995,2.78799,0,0,0,1.38477,0,0,0.361256,0,0,4.53402,0,0,0,0,0,0,0,0,0,0,0,26.6461,353.349,0,0.000205897,0.004509,
1,1,11,7.52133,0,1.85033,0,0.0223809,0,1.27036,6.77494,6.61084,0.133935,-4.51597,0,19.6682,2.37049,0,0,0,0.94349,0,0,1.09974,0,0,4.41372,0,0,0,0,0,0,0,0,0,0,0,26.0495,353.349,0,0.000187311,0.004509,
1,1,12,7.32308,0,1.85033,0,0.0223809,0,1.20871,4.70988,6.51272,0.0892899,-6.23288,0,15.4835,2.33275,0,0,0,1.12431,0,0,0.681648,0,0,4.13871,0,0,0,0,0,0,0,0,0,0,0,25.6395,353.349,0,0.000172385,0.004509,
1,1,13,6.98515,0,1.85033,0,0.0223809,0,1.2933,4.19718,6.69613,0.0669675,-7.32207,0,13.7894,2.30122,0,0,0,0.757388,0,0,0.0894516,0,0,3.14806,0,0,0,0,0,0,0,0,0,0,0,25.6479,353.349,0,0.000162633,0.004509,
1,1,14,6.3489,0,1.85033,0,0.0223809,0,1.2933,2.42329,6.88324,0.0613869,-9.32222,0,9.56061,2.21974,0,0,0,0.446943,0,0,0.167222,0,0,2.8339,0,0,0,0,0,0,0,0,0,0,0,25.6394,353.349,0,0.000167705,0.004509,
