16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 16:24:50"
Cond. Area:,,,39372
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-propU\cz05\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,6.30658,0,0.427597,0,0.00447617,0,0.906753,1.75851,6.45223,0.256709,0,0,16.1129,0,0,0,0,0.123455,0,0,0.006564,0,0,0.130019,0,0,0,0,0,0,0,0,0,0,0,28.2029,352.219,0,0.000247243,0.004509,
1,1,2,6.65537,0,0.427597,0,0.00447617,0,0.783447,1.67943,5.94853,0.256709,0,0,15.7556,0,0,0,0,0.0496054,0,0,0.0052512,0,0,0.0548566,0,0,0,0,0,0,0,0,0,0,0,28.1871,352.219,0,0.000246894,0.004509,
1,1,3,7.12724,0,0.427597,0,0.00447617,0,0.660138,1.64487,5.64672,0.251128,0,0,15.7622,0,0,0,0,0.0874999,0,0,0.0039384,0,0,0.0914383,0,0,0,0,0,0,0,0,0,0,0,28.1305,352.219,0,0.000246589,0.004509,
1,1,4,8.67497,0,0.427597,0,0.00447617,0,0.721791,1.60208,5.63198,0.251128,0,0,17.314,0,0,0,0,0.442021,0,0,0.0039384,0,0,0.445959,0,0,0,0,0,0,0,0,0,0,0,28.0376,352.219,0,0.000241921,0.004509,
1,1,5,9.48875,0,0.427597,0,0.00447617,0,0.8451,1.53627,5.35381,0.256709,0,0,17.9127,0,0,0,0,0.50543,0,0,0.0039384,0,0,0.509368,0,0,0,0,0,0,0,0,0,0,0,28.1579,352.219,0,0.00024575,0.004509,
1,1,6,7.08975,0,0.427597,0,0.00447617,0,1.15337,1.53212,5.79361,0.251128,0,0,16.2521,0,0,0,0,1.03748,0,0,0.006564,0,0,1.04404,0,0,0,0,0,0,0,0,0,0,0,28.1988,352.219,0,0.000247852,0.004509,
1,1,7,5.28919,0,0.427597,0,0.00447617,0,1.49247,1.98713,6.4932,0.245547,0,0,15.9396,0,0,0,0,0.309242,0,0,0.013128,0,0,0.32237,0,0,0,0,0,0,0,0,0,0,0,28.2208,352.219,0,0.000248481,0.004509,
1,1,8,4.61428,0,0.427597,0,0.00447617,0,1.64524,3.4812,7.11301,0.228805,-0.421134,0,17.0935,0,0,0,0,0.479269,0,0,0.160029,0,0,0.639298,0,0,0,0,0,0,0,0,0,0,0,28.2105,352.219,0,0.000248005,0.004509,
1,1,9,1.83145,0,0.427597,0,0.00447617,0,1.43755,3.72741,6.70668,0.200902,-2.96316,0,11.3729,0,0,0,0,0.735408,0,0,0.525414,0,0,1.26082,0,0,0,0,0,0,0,0,0,0,0,28.1953,352.219,0,0.000243441,0.004509,
1,1,10,0.511605,0,0.427597,0,0.00447617,0,1.28342,6.79902,6.45569,0.167419,-16.0932,0,-0.443948,0,0,0,0,0.689769,0,0,0.361256,0,0,1.05103,0,0,0,0,0,0,0,0,0,0,0,27.7067,352.219,0,0.000204114,0.004509,
1,1,11,0.090038,0,0.427597,0,0.00447617,0,1.27036,6.7774,6.61084,0.133935,-21.8938,0,-6.57911,0,0,0,0,0.447193,0,0,1.09974,0,0,1.54693,0,0,0,0,0,0,0,0,0,0,0,27.4549,352.219,0,0.000185689,0.004509,
1,1,12,0.0723734,0,0.427597,0,0.00447617,0,1.20871,4.71868,6.51272,0.0892899,-31.1773,0,-18.1435,0,0,0,0,0.604493,0,0,0.681648,0,0,1.28614,0,0,0,0,0,0,0,0,0,0,0,27.0475,352.219,0,0.000170892,0.004509,
1,1,13,0.0626242,0,0.427597,0,0.00447617,0,1.2933,4.21266,6.69613,0.0669675,-21.3282,0,-8.5644,0,0,0,0,0.364241,0,0,0.0894516,0,0,0.453693,0,0,0,0,0,0,0,0,0,0,0,26.4916,352.219,0,0.000161225,0.004509,
1,1,14,0.0661143,0,0.427597,0,0.00447617,0,1.2933,2.44038,6.88324,0.0613869,-13.1465,0,-1.97006,0,0,0,0,0.184594,0,0,0.167222,0,0,0.351816,0,0,0,0,0,0,0,0,0,0,0,26.9355,352.219,0,0.000166253,0.004509,
