16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-02-05 12:27:48"
Cond. Area:,,,7320
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\OneDrive - TRC\Documents\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrgs-low-baseszac\cz13\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0.395882,0,0.221825,0,0.00969839,0,0.385211,0.735811,1.11052,0,0,0,2.85895,0.329492,0,0,0,0.0391114,0,0,0.0299892,0,0,0.398593,0,0,0,0,0,0,0,0,0,0,0,27.8939,352.219,0,0.000247243,0.004509,
1,1,2,0.414502,0,0.221825,0,0.00969839,0,0.318218,0.728825,1.0505,0,0,0,2.74356,0.344988,0,0,0,0.0452668,0,0,0.0283681,0,0,0.418623,0,0,0,0,0,0,0,0,0,0,0,27.8781,352.219,0,0.000246894,0.004509,
1,1,3,0.440894,0,0.221825,0,0.00969839,0,0.251224,0.725332,1.02048,0,0,0,2.66945,0.366953,0,0,0,0.0639176,0,0,0.0275576,0,0,0.458428,0,0,0,0,0,0,0,0,0,0,0,27.8214,352.219,0,0.000246589,0.004509,
1,1,4,0.435149,0,0.221825,0,0.00969839,0,0.28472,0.725332,1.02048,0,0,0,2.69721,0.362173,0,0,0,0.168375,0,0,0.0275576,0,0,0.558106,0,0,0,0,0,0,0,0,0,0,0,27.7285,352.219,0,0.000241921,0.004509,
1,1,5,0.426281,0,0.221825,0,0.00969839,0,0.351715,0.718346,0.960451,0,0,0,2.68832,0.354791,0,0,0,0.187027,0,0,0.0259366,0,0,0.567755,0,0,0,0,0,0,0,0,0,0,0,27.8489,352.219,0,0.00024575,0.004509,
1,1,6,0.360015,0,0.221825,0,0.00969839,0,0.519197,0.732318,1.08051,0,0,0,2.92356,0.299638,0,0,0,0.539541,0,0,0.0291787,0,0,0.868358,0,0,0,0,0,0,0,0,0,0,0,27.8898,352.219,0,0.000247852,0.004509,
1,1,7,0.308567,0,0.221825,0,0.00969839,0,0.703426,0.753275,1.26059,0,0,0,3.25739,0.256818,0,0,0,0.224017,0,0,0.0340418,0,0,0.514877,0,0,0,0,0,0,0,0,0,0,0,27.9118,352.219,0,0.000248481,0.004509,
1,1,8,0.360278,0,0.221825,0,0.00969839,0,0.686679,0.760261,1.32062,0,0,0,3.35936,0.299858,0,0,0,0.293715,0,0,0.0356628,0,0,0.629236,0,0,0,0,0,0,0,0,0,0,0,27.9015,352.219,0,0.000248005,0.004509,
1,1,9,0.422163,0,0.221825,0,0.00969839,0,0.56944,0.735811,1.11052,0,0,0,3.06946,0.351364,0,0,0,0.206275,0,0,0.0299892,0,0,0.587628,0,0,0,0,0,0,0,0,0,0,0,27.8863,352.219,0,0.000243441,0.004509,
1,1,10,0.443441,0,0.221825,0,0.00969839,0,0.4857,0.718346,0.960451,0,0,0,2.83946,0.369073,0,0,0,0.44336,0,0,0.0259366,0,0,0.83837,0,0,0,0,0,0,0,0,0,0,0,27.3977,352.219,0,0.000204114,0.004509,
1,1,11,0.406923,0,0.221825,0,0.00969839,0,0.452204,0.721839,0.990466,0,0,0,2.80295,0.33868,0,0,0,0.272943,0,0,0.0267471,0,0,0.63837,0,0,0,0,0,0,0,0,0,0,0,27.1459,352.219,0,0.000185689,0.004509,
1,1,12,0.392245,0,0.221825,0,0.00969839,0,0.418708,0.721839,0.990466,0,0,0,2.75478,0.326465,0,0,0,0.190978,0,0,0.0267471,0,0,0.54419,0,0,0,0,0,0,0,0,0,0,0,26.7385,352.219,0,0.000170892,0.004509,
1,1,13,0.362186,0,0.221825,0,0.00969839,0,0.351715,0.718346,0.960451,0,0,0,2.62422,0.301445,0,0,0,0.158097,0,0,0.0259366,0,0,0.485479,0,0,0,0,0,0,0,0,0,0,0,26.1826,352.219,0,0.000161225,0.004509,
1,1,14,0.321659,0,0.221825,0,0.00969839,0,0.351715,0.721839,0.990466,0,0,0,2.6172,0.267716,0,0,0,0.071501,0,0,0.0267471,0,0,0.365964,0,0,0,0,0,0,0,0,0,0,0,26.6265,352.219,0,0.000166253,0.004509,
