16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-06-07 19:27:50"
Cond. Area:,,,7320
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\furnace-analysis\runs\lrgs-furnace\cz13\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.221825,0,0.0320012,0,0.157419,0.384479,1.36223,0.0680012,0,0,2.22595,0,0,0,0,0,0,0,0.00143269,0,0,0.00143269,0,0,0,0,0,0,0,0,0,0,0,27.8939,352.219,0,0.000247243,0.004509,
1,1,2,0,0,0.221825,0,0.0320012,0,0.130041,0.366987,1.25338,0.0680012,0,0,2.07224,0,0,0,0,0,0,0,0.00114615,0,0,0.00114615,0,0,0,0,0,0,0,0,0,0,0,27.8781,352.219,0,0.000246894,0.004509,
1,1,3,0,0,0.221825,0,0.0331852,0,0.102664,0.359433,1.18819,0.0665229,0,0,1.97183,0,0,0,0,0.004774,0,0,0.000859615,0,0,0.00563361,0,0,0,0,0,0,0,0,0,0,0,27.8214,352.219,0,0.000246589,0.004509,
1,1,4,0,0,0.221825,0,0.0320012,0,0.116353,0.350122,1.18481,0.0665229,0,0,1.97164,0,0,0,0,0,0,0,0.000859615,0,0,0.000859615,0,0,0,0,0,0,0,0,0,0,0,27.7285,352.219,0,0.000241921,0.004509,
1,1,5,0,0,0.221825,0,0.0331852,0,0.14373,0.335274,1.12527,0.0680012,0,0,1.92729,0,0,0,0,0.00455279,0,0,0.000859615,0,0,0.00541241,0,0,0,0,0,0,0,0,0,0,0,27.8489,352.219,0,0.00024575,0.004509,
1,1,6,0,0,0.221825,0,0.0829059,0,0.212173,0.333467,1.21935,0.0665229,0,0,2.13624,0,0,0,0,0.350141,0,0,0.00143269,0,0,0.351574,0,0,0,0,0,0,0,0,0,0,0,27.8898,352.219,0,0.000247852,0.004509,
1,1,7,0,0,0.221825,0,0.0852737,0,0.28746,0.53275,1.36938,0.0650445,0,0,2.56174,0,0,0,0,0.153887,0,0,0.00286538,0,0,0.156752,0,0,0,0,0,0,0,0,0,0,0,27.9118,352.219,0,0.000248481,0.004509,
1,1,8,0.11772,0,0.221825,0,0.152752,0,0.280616,1.16347,1.47115,0.0606096,0,0,3.46815,0.173733,0,0,0,0.230005,0,0,0.0649113,0,0,0.468649,0,0,0,0,0,0,0,0,0,0,0,27.9015,352.219,0,0.000248005,0.004509,
1,1,9,0.0549235,0,0.221825,0,0.148016,0,0.232706,1.03862,1.38334,0.0532183,-0.00353218,0,3.12911,0.0810569,0,0,0,0.154803,0,0,0.222457,0,0,0.458317,0,0,0,0,0,0,0,0,0,0,0,27.8863,352.219,0,0.000243441,0.004509,
1,1,10,0.0212488,0,0.221825,0,0.133811,0,0.198484,2.22445,1.33015,0.0443485,-0.0325777,0,4.14174,0.0313594,0,0,0,0.359531,0,0,0.0993683,0,0,0.490259,0,0,0,0,0,0,0,0,0,0,0,27.3977,352.219,0,0.000204114,0.004509,
1,1,11,0,0,0.221825,0,0.130259,0,0.184796,2.15783,1.35269,0.0354789,-0.114735,0,3.96815,0,0,0,0,0.204908,0,0,0.508466,0,0,0.713374,0,0,0,0,0,0,0,0,0,0,0,27.1459,352.219,0,0.000185689,0.004509,
1,1,12,0,0,0.221825,0,0.0722515,0,0.171107,1.79058,1.33126,0.0236526,-0.0999642,0,3.51072,0,0,0,0,0.151365,0,0,0.320482,0,0,0.471847,0,0,0,0,0,0,0,0,0,0,0,26.7385,352.219,0,0.000170892,0.004509,
1,1,13,0.0177671,0,0.221825,0,0.0686999,0,0.14373,1.15786,1.31917,0.0177394,-0.0330744,0,2.91372,0.026221,0,0,0,0.104274,0,0,0.0214245,0,0,0.151919,0,0,0,0,0,0,0,0,0,0,0,26.1826,352.219,0,0.000161225,0.004509,
1,1,14,0.0254312,0,0.221825,0,0.075803,0,0.14373,0.628702,1.35944,0.0162611,-0.0295982,0,2.4416,0.0375319,0,0,0,0.0348066,0,0,0.061789,0,0,0.134128,0,0,0,0,0,0,0,0,0,0,0,26.6265,352.219,0,0.000166253,0.004509,
