16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-01-28 21:47:59"
Cond. Area:,,,39372
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat-tier2\cz16\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,23.55,0,1.85033,0,0.0223809,0,0.906753,1.7398,6.45223,0.256709,0,0,34.7782,0,0,0,0,0.26841,0,0,0.006564,0,0,0.274974,0,0,0,0,0,0,0,0,0,0,0,28.5022,353.349,0,0.000249403,0.004509,
1,1,2,24.6815,0,1.85033,0,0.0223809,0,0.783447,1.66738,5.94853,0.256709,0,0,35.2103,0,0,0,0,0.117638,0,0,0.0052512,0,0,0.122889,0,0,0,0,0,0,0,0,0,0,0,28.4815,353.349,0,0.000249051,0.004509,
1,1,3,23.6898,0,1.85033,0,0.0223809,0,0.660138,1.63712,5.64672,0.251128,0,0,33.7576,0,0,0,0,0.0855713,0,0,0.0039384,0,0,0.0895097,0,0,0,0,0,0,0,0,0,0,0,28.398,353.349,0,0.000248744,0.004509,
1,1,4,25.4129,0,1.85033,0,0.0223809,0,0.721791,1.5994,5.63198,0.251128,0,0,35.4899,0,0,0,0,0.0816376,0,0,0.0039384,0,0,0.085576,0,0,0,0,0,0,0,0,0,0,0,28.3306,353.349,0,0.000244034,0.004509,
1,1,5,25.8192,0,1.85033,0,0.0223809,0,0.8451,1.53625,5.35381,0.256709,0,0,35.6838,0,0,0,0,0.0895002,0,0,0.0039384,0,0,0.0934386,0,0,0,0,0,0,0,0,0,0,0,28.3749,353.349,0,0.000247897,0.004509,
1,1,6,24.5186,0,1.85033,0,0.0223809,0,1.15337,1.53212,5.79361,0.251128,0,0,35.1215,0,0,0,0,1.06157,0,0,0.006564,0,0,1.06813,0,0,0,0,0,0,0,0,0,0,0,28.4937,353.349,0,0.000250017,0.004509,
1,1,7,25.1715,0,1.85033,0,0.0223809,0,1.49247,1.98713,6.4932,0.245547,0,0,37.2626,0,0,0,0,0.528707,0,0,0.013128,0,0,0.541835,0,0,0,0,0,0,0,0,0,0,0,28.5202,353.349,0,0.000250652,0.004509,
1,1,8,39.6914,0,1.85033,0,0.0223809,0,1.64524,3.4812,7.11301,0.228805,0,0,54.0324,0,0,0,0,1.04653,0,0,0.160029,0,0,1.20656,0,0,0,0,0,0,0,0,0,0,0,28.5039,353.349,0,0.000250171,0.004509,
1,1,9,34.2068,0,1.85033,0,0.0223809,0,1.43755,3.72741,6.70668,0.200902,-1.18884,0,46.9632,0,0,0,0,1.57876,0,0,0.525414,0,0,2.10417,0,0,0,0,0,0,0,0,0,0,0,28.3057,353.349,0,0.000245568,0.004509,
1,1,10,28.7211,0,1.85033,0,0.0223809,0,1.28342,6.79894,6.45569,0.167419,-4.32397,0,40.9753,0,0,0,0,1.47686,0,0,0.361256,0,0,1.83812,0,0,0,0,0,0,0,0,0,0,0,26.6461,353.349,0,0.000205897,0.004509,
1,1,11,27.0471,0,1.85033,0,0.0223809,0,1.27036,6.77494,6.61084,0.133935,-4.52057,0,39.1893,0,0,0,0,0.99794,0,0,1.09974,0,0,2.09768,0,0,0,0,0,0,0,0,0,0,0,26.0495,353.349,0,0.000187311,0.004509,
1,1,12,28.3677,0,1.85033,0,0.0223809,0,1.20871,4.70988,6.51272,0.0892899,-6.23921,0,36.5218,0,0,0,0,1.19445,0,0,0.681648,0,0,1.8761,0,0,0,0,0,0,0,0,0,0,0,25.6395,353.349,0,0.000172385,0.004509,
1,1,13,28.9914,0,1.85033,0,0.0223809,0,1.2933,4.19718,6.69613,0.0669675,-7.32951,0,35.7882,0,0,0,0,0.795754,0,0,0.0894516,0,0,0.885206,0,0,0,0,0,0,0,0,0,0,0,25.6479,353.349,0,0.000162633,0.004509,
1,1,14,28.4537,0,1.85033,0,0.0223809,0,1.2933,2.42329,6.88324,0.0613869,-9.33168,0,31.656,0,0,0,0,0.458407,0,0,0.167222,0,0,0.625629,0,0,0,0,0,0,0,0,0,0,0,25.6394,353.349,0,0.000167705,0.004509,
1,1,15,28.1163,0,1.85033,0,0.0223809,0,1.2933,2.53633,7.19194,0.0613869,-8.60715,0,32.4648,0,0,0,0,0.624276,0,0,0.145835,0,0,0.770111,0,0,0,0,0,0,0,0,0,0,0,25.7784,353.349,0,0.000168169,0.004509,
