"",002
"Fri 05-Feb-21  12:27:17 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",7.49721,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.537112,4.64792,0.23202,1.28249,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",6.96665,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.443701,4.27654,0.23202,1.21826,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",6.61888,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.35029,4.05412,0.226976,1.19291,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",6.6224,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.396996,4.04258,0.226976,1.16126,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",6.46068,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.490407,3.83942,0.23202,1.10425,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",6.99942,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.723934,4.16041,0.226976,1.09044,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",8.8925,0,0,0,0,0,0.0330909,0,0.461935,0.756867,0,0,0,0.980813,4.67234,0.221932,1.09528,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",12.0803,0,0,0,0,0,0.0330909,0,1.75933,0.756867,0,0,0,0.957461,5.01958,0.2068,1.22291,0,0.276577,2.39027,0.0416388,0,0,0,-0.584201
"MtrElec",1,1,9,"",9.29457,0,0,0,0,0,0.0330909,0,0.728784,0.756867,0,0,0,0.793992,4.71994,0.181581,1.47401,0,1.00958,0.98054,0.0740246,0,0,0,-1.45784
"MtrElec",1,1,10,"",7.40237,0,0,0,0.0438526,0,0.0330909,0,0.436019,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-6.81968
"MtrElec",1,1,11,"",6.98041,0,0,0,0.0438526,0,0.0330909,0,0.195074,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-6.77439
"MtrElec",1,1,12,"",4.53503,0,0,0,0.0438526,0,0.0330909,0,0.268067,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.42598,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-7.87814
"MtrElec",1,1,13,"",-2.73455,0,0,0,0.0438526,0,0.0330909,0,0.340841,0.756867,0,0,0,0.490407,4.501,0.060527,1.44963,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-12.9073
"MtrElec",1,1,14,"",-2.91405,0,0,0,0.0438526,0,0.0330909,0,0.329532,0.756867,0,0,0,0.490407,4.63842,0.055483,1.46662,0,0.217118,0.369024,0.0909886,0,0,0,-11.4054
"MtrElec",1,1,15,"",0.84068,0,0,0,0.0438526,0,0.0330909,0,0.294207,0.756867,0,0,0,0.490407,4.86538,0.055483,1.43995,0,0.155865,0.673276,0.0956151,0,0,0,-8.0633
"MtrElec",1,1,16,"",5.69233,0,0,0,0.0438526,0,0.0330909,0,0.315902,0.756867,0,0,0,0.60717,5.1168,0.060527,1.49567,0,0.284372,0.208307,0.104868,0,0,0,-3.33509
"MtrElec",1,1,17,"",9.63971,0,0,0,0,0,0.0330909,0,0.361558,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.43518,0,0.0879827,0.881776,0.140338,0,0,0,-0.618869
"MtrElec",1,1,18,"",10.9407,0,0,0,0,0,0.0330909,0,0.33693,0.756867,0,0,0,1.02752,6.47423,0.191669,1.53361,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",12.1528,0,0,0,0,0,0.0330909,0,0.317579,0.756867,0,0,0,1.96163,6.95786,0.242108,1.68475,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",15.5066,0,0,0,0,0,0.0330909,0,0.217924,0.756867,0,0,0,2.73227,7.23308,0.302635,1.64411,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",14.1024,0,0,0,0,0,0.0330909,0,0.236763,0.756867,0,0,0,2.63885,7.49676,0.418645,1.58981,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",13.146,0,0,0,0,0,0.0330909,0,0.274024,0.756867,0,0,0,2.24186,7.42686,0.494303,1.52472,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",11.1136,0,0,0,0,0,0.0330909,0,0.398376,0.756867,0,0,0,1.47122,6.63975,0.428733,1.37168,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",9.09227,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.910755,5.66234,0.297591,1.42391,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",7.43313,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.537112,4.63532,0.23202,1.231,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",8.60091,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.443701,4.22793,0.23202,1.2035,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",7.37789,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.35029,4.06638,0.23202,1.15516,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",6.60133,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.396996,4.04224,0.23202,1.13394,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",6.45376,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.490407,3.85168,0.23202,1.08353,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,6,"",6.99372,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.723934,4.17266,0.186625,1.09895,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,2,7,"",8.46388,0,0,0,0,0,0.0330909,0,0.457273,0.756867,0,0,0,0.980813,4.75662,0.176537,1.27339,0,0,0,0.0293014,0,0,0,0
"MtrElec",1,2,8,"",10.2367,0,0,0,0,0,0.0330909,0,1.93968,0.756867,0,0,0,0.957461,5.11646,0.171493,1.44218,0,0,0,0.0385545,0,0,0,-0.219073
"MtrElec",1,2,9,"",6.06086,0,0,0,0,0,0.0330909,0,0.982497,0.756867,0,0,0,0.793992,4.74336,0.166449,1.4212,0,0,0.628229,0.0400967,0,0,0,-3.50492
"MtrElec",1,2,10,"",6.72663,0,0,0,0,0,0.0330909,0,0.83976,0.756867,0,0,0,0.677228,4.45277,0.14123,1.3031,0,0.265345,0.253982,0.0339279,0,0,0,-2.03066
"MtrElec",1,2,11,"",6.49416,0,0,0,0,0,0.0330909,0,0.740635,0.756867,0,0,0,0.630523,4.50554,0.110966,1.26753,0,0.107274,0,0.0323858,0,0,0,-1.69065
