16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 16:47:36"
Cond. Area:,,,39372
Model:,,,"StdMixedFuel"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-propU\cz16\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0.0115125,0,0.427597,0,0.0220009,0,0.906753,1.71562,6.45223,0.256709,0,0,9.79242,0.0170336,0,0,0,0.20366,0,0,0.006564,0,0,0.227258,0,0,0,0,0,0,0,0,0,0,0,28.5022,353.349,0,0.000249403,0.004509,
1,1,2,0.0426501,0,0.427597,0,0.0220009,0,0.783447,1.62035,5.94853,0.256709,0,0,9.10129,0.0631043,0,0,0,0.105161,0,0,0.0052512,0,0,0.173516,0,0,0,0,0,0,0,0,0,0,0,28.4815,353.349,0,0.000249051,0.004509,
1,1,3,0.170137,0,0.427597,0,0.0220009,0,0.660138,1.57302,5.64672,0.251128,0,0,8.75074,0.251731,0,0,0,0.0842168,0,0,0.0039384,0,0,0.339886,0,0,0,0,0,0,0,0,0,0,0,28.398,353.349,0,0.000248744,0.004509,
1,1,4,0.2615,0,0.427597,0,0.0220009,0,0.721791,1.52687,5.63198,0.251128,0,0,8.84286,0.38691,0,0,0,0.081661,0,0,0.0039384,0,0,0.472509,0,0,0,0,0,0,0,0,0,0,0,28.3306,353.349,0,0.000244034,0.004509,
1,1,5,0.318986,0,0.427597,0,0.0220009,0,0.8451,1.44511,5.35381,0.256709,0,0,8.66932,0.471966,0,0,0,0.0867641,0,0,0.0039384,0,0,0.562668,0,0,0,0,0,0,0,0,0,0,0,28.3749,353.349,0,0.000247897,0.004509,
1,1,6,0.335548,0,0.427597,0,0.0220009,0,1.15337,1.42816,5.79361,0.251128,0,0,9.41142,0.496471,0,0,0,0.721218,0,0,0.006564,0,0,1.22425,0,0,0,0,0,0,0,0,0,0,0,28.4937,353.349,0,0.000250017,0.004509,
1,1,7,2.68615,0,0.427597,0,0.0220009,0,1.49247,1.85725,6.4932,0.245547,0,0,13.2242,3.97436,0,0,0,0.373317,0,0,0.013128,0,0,4.36081,0,0,0,0,0,0,0,0,0,0,0,28.5202,353.349,0,0.000250652,0.004509,
1,1,8,3.91169,0,0.427597,0,0.0220009,0,1.64524,3.40983,7.11301,0.228805,0,0,16.7582,5.78765,0,0,0,0.711005,0,0,0.160029,0,0,6.65868,0,0,0,0,0,0,0,0,0,0,0,28.5039,353.349,0,0.000250171,0.004509,
1,1,9,2.49483,0,0.427597,0,0.0220009,0,1.43755,3.71634,6.70668,0.200902,-0.0146995,0,14.9912,3.69131,0,0,0,1.05693,0,0,0.525414,0,0,5.27365,0,0,0,0,0,0,0,0,0,0,0,28.3057,353.349,0,0.000245568,0.004509,
1,1,10,2.02226,0,0.427597,0,0.0220009,0,1.28342,6.79894,6.45569,0.167419,-0.0534642,0,17.1239,2.9921,0,0,0,0.989327,0,0,0.361256,0,0,4.34268,0,0,0,0,0,0,0,0,0,0,0,26.6461,353.349,0,0.000205897,0.004509,
1,1,11,1.7242,0,0.427597,0,0.0220009,0,1.27036,6.77494,6.61084,0.133935,-0.0558951,0,16.908,2.55109,0,0,0,0.677535,0,0,1.09974,0,0,4.32836,0,0,0,0,0,0,0,0,0,0,0,26.0495,353.349,0,0.000187311,0.004509,
1,1,12,1.68492,0,0.427597,0,0.0220009,0,1.20871,4.70988,6.51272,0.0892899,-0.0771454,0,14.578,2.49298,0,0,0,0.805312,0,0,0.681648,0,0,3.97994,0,0,0,0,0,0,0,0,0,0,0,25.6395,353.349,0,0.000172385,0.004509,
1,1,13,1.64955,0,0.427597,0,0.0220009,0,1.2933,4.19718,6.69613,0.0669675,-0.0906266,0,14.2621,2.44065,0,0,0,0.54605,0,0,0.0894516,0,0,3.07615,0,0,0,0,0,0,0,0,0,0,0,25.6479,353.349,0,0.000162633,0.004509,
1,1,14,1.57989,0,0.427597,0,0.0220009,0,1.2933,2.42329,6.88324,0.0613869,-0.115382,0,12.5753,2.33757,0,0,0,0.3267,0,0,0.167222,0,0,2.83149,0,0,0,0,0,0,0,0,0,0,0,25.6394,353.349,0,0.000167705,0.004509,
