16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 15:49:38"
Cond. Area:,,,39372
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\ndperry\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-baseU\cz02\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,8.3722,0,0.427597,0,0.0220009,0,0.906753,1.7398,6.45223,0.256709,0,0,18.1773,0,0,0,0,0.214343,0,0,0.006564,0,0,0.220907,0,0,0,0,0,0,0,0,0,0,0,27.9224,352.219,0,0.000247243,0.004509,
1,1,2,9.32796,0,0.427597,0,0.0220009,0,0.783447,1.66738,5.94853,0.256709,0,0,18.4336,0,0,0,0,0.106987,0,0,0.0052512,0,0,0.112238,0,0,0,0,0,0,0,0,0,0,0,27.9066,352.219,0,0.000246894,0.004509,
1,1,3,12.2789,0,0.427597,0,0.0220009,0,0.660138,1.63712,5.64672,0.251128,0,0,20.9236,0,0,0,0,0.0835031,0,0,0.0039384,0,0,0.0874415,0,0,0,0,0,0,0,0,0,0,0,27.85,352.219,0,0.000246589,0.004509,
1,1,4,12.6932,0,0.427597,0,0.0220009,0,0.721791,1.5994,5.63198,0.251128,0,0,21.3471,0,0,0,0,0.0805648,0,0,0.0039384,0,0,0.0845032,0,0,0,0,0,0,0,0,0,0,0,27.7571,352.219,0,0.000241921,0.004509,
1,1,5,8.83701,0,0.427597,0,0.0220009,0,0.8451,1.53625,5.35381,0.256709,0,0,17.2785,0,0,0,0,0.0861621,0,0,0.0039384,0,0,0.0901005,0,0,0,0,0,0,0,0,0,0,0,27.8774,352.219,0,0.00024575,0.004509,
1,1,6,7.13157,0,0.427597,0,0.0220009,0,1.15337,1.53212,5.79361,0.251128,0,0,16.3114,0,0,0,0,0.776776,0,0,0.006564,0,0,0.78334,0,0,0,0,0,0,0,0,0,0,0,27.9184,352.219,0,0.000247852,0.004509,
1,1,7,4.24406,0,0.427597,0,0.0220009,0,1.49247,1.98713,6.4932,0.245547,0,0,14.912,0,0,0,0,0.404987,0,0,0.013128,0,0,0.418115,0,0,0,0,0,0,0,0,0,0,0,27.9403,352.219,0,0.000248481,0.004509,
1,1,8,3.28052,0,0.427597,0,0.0220009,0,1.64524,3.4812,7.11301,0.228805,0,0,16.1984,0,0,0,0,0.783992,0,0,0.160029,0,0,0.944021,0,0,0,0,0,0,0,0,0,0,0,27.93,352.219,0,0.000248005,0.004509,
1,1,9,2.33904,0,0.427597,0,0.0220009,0,1.43755,3.72741,6.70668,0.200902,-0.650507,0,14.2107,0,0,0,0,1.16112,0,0,0.525414,0,0,1.68653,0,0,0,0,0,0,0,0,0,0,0,27.9148,352.219,0,0.000243441,0.004509,
1,1,10,1.45856,0,0.427597,0,0.0220009,0,1.28342,6.79894,6.45569,0.167419,-2.92635,0,13.6873,0,0,0,0,1.09594,0,0,0.361256,0,0,1.4572,0,0,0,0,0,0,0,0,0,0,0,27.4262,352.219,0,0.000204114,0.004509,
1,1,11,0.897619,0,0.427597,0,0.0220009,0,1.27036,6.77495,6.61084,0.133935,-8.40718,0,7.73013,0,0,0,0,0.74806,0,0,1.09974,0,0,1.8478,0,0,0,0,0,0,0,0,0,0,0,27.1744,352.219,0,0.000185689,0.004509,
1,1,12,1.42964,0,0.427597,0,0.0220009,0,1.20871,4.71098,6.51272,0.0892899,-13.8272,0,0.573768,0,0,0,0,0.877532,0,0,0.681648,0,0,1.55918,0,0,0,0,0,0,0,0,0,0,0,26.767,352.219,0,0.000170892,0.004509,
1,1,13,1.76605,0,0.427597,0,0.0220009,0,1.2933,4.19873,6.69613,0.0669675,-11.9462,0,2.52456,0,0,0,0,0.595487,0,0,0.0894516,0,0,0.684939,0,0,0,0,0,0,0,0,0,0,0,26.2111,352.219,0,0.000161225,0.004509,
1,1,14,2.57681,0,0.427597,0,0.0220009,0,1.2933,2.42372,6.88324,0.0613869,-7.1524,0,6.53565,0,0,0,0,0.351511,0,0,0.167222,0,0,0.518733,0,0,0,0,0,0,0,0,0,0,0,26.655,352.219,0,0.000166253,0.004509,
