16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.0 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-20 23:31:50"
Cond. Area:,,,39372
Model:,,,"StdMixedFuel"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-QII-0\cz05\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,1.85033,0,0.0223809,0,0.906753,1.74666,6.45223,0.256709,0,0,11.2351,0,0,0,0,0.242706,0,0,0.006564,0,0,0.24927,0,0,0,0,0,0,0,0,0,0,0,28.2029,352.219,0,0.000247243,0.004509,
1,1,2,0,0,1.85033,0,0.0223809,0,0.783447,1.66302,5.94853,0.256709,0,0,10.5244,0,0,0,0,0.112924,0,0,0.0052512,0,0,0.118175,0,0,0,0,0,0,0,0,0,0,0,28.1871,352.219,0,0.000246894,0.004509,
1,1,3,0,0,1.85033,0,0.0223809,0,0.660138,1.62508,5.64672,0.251128,0,0,10.0558,0,0,0,0,0.0842546,0,0,0.0039384,0,0,0.088193,0,0,0,0,0,0,0,0,0,0,0,28.1305,352.219,0,0.000246589,0.004509,
1,1,4,0,0,1.85033,0,0.0223809,0,0.721791,1.57897,5.63198,0.251128,0,0,10.0566,0,0,0,0,0.0806546,0,0,0.0039384,0,0,0.084593,0,0,0,0,0,0,0,0,0,0,0,28.0376,352.219,0,0.000241921,0.004509,
1,1,5,0,0,1.85033,0,0.0223809,0,0.8451,1.5048,5.35381,0.256709,0,0,9.83313,0,0,0,0,0.0877012,0,0,0.0039384,0,0,0.0916396,0,0,0,0,0,0,0,0,0,0,0,28.1579,352.219,0,0.00024575,0.004509,
1,1,6,0,0,1.85033,0,0.0223809,0,1.15337,1.49248,5.79361,0.251128,0,0,10.5633,0,0,0,0,0.922149,0,0,0.006564,0,0,0.928713,0,0,0,0,0,0,0,0,0,0,0,28.1988,352.219,0,0.000247852,0.004509,
1,1,7,0.308072,0,1.85033,0,0.0223809,0,1.49247,1.936,6.4932,0.245547,0,0,12.348,0.45464,0,0,0,0.475519,0,0,0.013128,0,0,0.943287,0,0,0,0,0,0,0,0,0,0,0,28.2208,352.219,0,0.000248481,0.004509,
1,1,8,1.99572,0,1.85033,0,0.0223809,0,1.64524,3.44074,7.11301,0.228805,-0.00618687,0,16.29,2.9452,0,0,0,0.938338,0,0,0.160029,0,0,4.04357,0,0,0,0,0,0,0,0,0,0,0,28.2105,352.219,0,0.000248005,0.004509,
1,1,9,0.959399,0,1.85033,0,0.0223809,0,1.43755,3.72548,6.70668,0.200902,-0.0435314,0,14.8592,1.41584,0,0,0,1.39518,0,0,0.525414,0,0,3.33643,0,0,0,0,0,0,0,0,0,0,0,28.1953,352.219,0,0.000243441,0.004509,
1,1,10,0.383869,0,1.85033,0,0.0600184,0,1.28342,6.79894,6.45569,0.167419,-0.236423,0,16.7633,0.566497,0,0,0,1.25725,0,0,0.361256,0,0,2.185,0,0,0,0,0,0,0,0,0,0,0,27.7067,352.219,0,0.000204114,0.004509,
1,1,11,0.153267,0,1.85033,0,0.0600184,0,1.27036,6.77503,6.61084,0.133935,-0.321638,0,16.5322,0.226186,0,0,0,0.814912,0,0,1.09974,0,0,2.14084,0,0,0,0,0,0,0,0,0,0,0,27.4549,352.219,0,0.000185689,0.004509,
1,1,12,0.0964472,0,1.85033,0,0.0600184,0,1.20871,4.71252,6.51272,0.0892899,-0.458022,0,14.072,0.142333,0,0,0,0.872099,0,0,0.681648,0,0,1.69608,0,0,0,0,0,0,0,0,0,0,0,27.0475,352.219,0,0.000170892,0.004509,
1,1,13,0.090301,0,1.85033,0,0.0600184,0,1.2933,4.2038,6.69613,0.0669675,-0.313329,0,13.9475,0.133263,0,0,0,0.558825,0,0,0.0894516,0,0,0.78154,0,0,0,0,0,0,0,0,0,0,0,26.4916,352.219,0,0.000161225,0.004509,
1,1,14,0.0975882,0,1.85033,0,0.0600184,0,1.2933,2.43132,6.88324,0.0613869,-0.193135,0,12.484,0.144017,0,0,0,0.322032,0,0,0.167222,0,0,0.633271,0,0,0,0,0,0,0,0,0,0,0,26.9355,352.219,0,0.000166253,0.004509,
