Time,BASESYS5 F1:DesPer 1:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 1:Des Heat Cap [W],BASESYS5 F1:DesPer 1:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 1:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 1:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 2:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 2:Des Heat Cap [W],BASESYS5 F1:DesPer 2:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 2:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 2:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 3:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 3:Des Heat Cap [W],BASESYS5 F1:DesPer 3:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 3:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 3:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 4:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 4:Des Heat Cap [W],BASESYS5 F1:DesPer 4:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 4:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 4:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 5:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 5:Des Heat Cap [W],BASESYS5 F1:DesPer 5:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 5:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 5:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 6:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 6:Des Heat Cap [W],BASESYS5 F1:DesPer 6:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 6:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 6:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 7:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 7:Des Heat Cap [W],BASESYS5 F1:DesPer 7:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 7:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 7:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 8:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 8:Des Heat Cap [W],BASESYS5 F1:DesPer 8:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 8:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 8:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 9:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 9:Des Heat Cap [W],BASESYS5 F1:DesPer 9:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 9:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 9:Des Tot Cool Cap [W],DOAS1:DesPer 1:Des Heat Mass Flow [kg/s],DOAS1:DesPer 1:Des Heat Cap [W],DOAS1:DesPer 1:Des Cool Mass Flow [kg/s],DOAS1:DesPer 1:Des Sens Cool Cap [W],DOAS1:DesPer 1:Des Tot Cool Cap [W],DOAS1:DesPer 2:Des Heat Mass Flow [kg/s],DOAS1:DesPer 2:Des Heat Cap [W],DOAS1:DesPer 2:Des Cool Mass Flow [kg/s],DOAS1:DesPer 2:Des Sens Cool Cap [W],DOAS1:DesPer 2:Des Tot Cool Cap [W],DOAS1:DesPer 3:Des Heat Mass Flow [kg/s],DOAS1:DesPer 3:Des Heat Cap [W],DOAS1:DesPer 3:Des Cool Mass Flow [kg/s],DOAS1:DesPer 3:Des Sens Cool Cap [W],DOAS1:DesPer 3:Des Tot Cool Cap [W],DOAS1:DesPer 4:Des Heat Mass Flow [kg/s],DOAS1:DesPer 4:Des Heat Cap [W],DOAS1:DesPer 4:Des Cool Mass Flow [kg/s],DOAS1:DesPer 4:Des Sens Cool Cap [W],DOAS1:DesPer 4:Des Tot Cool Cap [W],DOAS1:DesPer 5:Des Heat Mass Flow [kg/s],DOAS1:DesPer 5:Des Heat Cap [W],DOAS1:DesPer 5:Des Cool Mass Flow [kg/s],DOAS1:DesPer 5:Des Sens Cool Cap [W],DOAS1:DesPer 5:Des Tot Cool Cap [W],DOAS1:DesPer 6:Des Heat Mass Flow [kg/s],DOAS1:DesPer 6:Des Heat Cap [W],DOAS1:DesPer 6:Des Cool Mass Flow [kg/s],DOAS1:DesPer 6:Des Sens Cool Cap [W],DOAS1:DesPer 6:Des Tot Cool Cap [W],DOAS1:DesPer 7:Des Heat Mass Flow [kg/s],DOAS1:DesPer 7:Des Heat Cap [W],DOAS1:DesPer 7:Des Cool Mass Flow [kg/s],DOAS1:DesPer 7:Des Sens Cool Cap [W],DOAS1:DesPer 7:Des Tot Cool Cap [W],DOAS1:DesPer 8:Des Heat Mass Flow [kg/s],DOAS1:DesPer 8:Des Heat Cap [W],DOAS1:DesPer 8:Des Cool Mass Flow [kg/s],DOAS1:DesPer 8:Des Sens Cool Cap [W],DOAS1:DesPer 8:Des Tot Cool Cap [W],DOAS1:DesPer 9:Des Heat Mass Flow [kg/s],DOAS1:DesPer 9:Des Heat Cap [W],DOAS1:DesPer 9:Des Cool Mass Flow [kg/s],DOAS1:DesPer 9:Des Sens Cool Cap [W],DOAS1:DesPer 9:Des Tot Cool Cap [W]
00:15:00,3.351919E+00,0.000000E+00,3.869093E+00,3.398075E+04,2.146833E+04,3.351919E+00,1.096706E+04,3.454521E+00,9.810934E+01,4.969210E+03,3.351919E+00,4.969974E+04,3.351919E+00,0.000000E+00,0.000000E+00,3.351919E+00,0.000000E+00,3.733191E+00,2.496680E+04,3.717026E+04,3.351919E+00,0.000000E+00,3.871955E+00,3.347108E+04,6.523658E+04,3.351919E+00,0.000000E+00,4.070281E+00,4.594008E+04,3.054783E+04,3.351919E+00,0.000000E+00,3.837720E+00,3.283503E+04,1.399467E+04,3.351919E+00,0.000000E+00,3.904403E+00,3.539782E+04,2.275021E+04,3.351919E+00,0.000000E+00,3.962303E+00,4.048227E+04,3.436502E+04,9.073170E-01,1.340282E+04,1.046613E+00,8.438389E+03,4.696309E+03,9.073170E-01,2.069662E+04,9.667129E-01,2.368489E+02,1.563489E+03,9.073170E-01,3.118101E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,1.522627E+04,1.020075E+00,6.313334E+03,9.351660E+03,9.073170E-01,1.355325E+04,1.046725E+00,8.289215E+03,1.649658E+04,9.073170E-01,1.107837E+04,1.086601E+00,1.121767E+04,6.601957E+03,9.073170E-01,1.357103E+04,1.033097E+00,8.116575E+03,2.645979E+03,9.073170E-01,1.317990E+04,1.054823E+00,8.754661E+03,4.947413E+03,9.073170E-01,1.206623E+04,1.067425E+00,1.001168E+04,7.940637E+03
00:30:00,3.351919E+00,0.000000E+00,3.927522E+00,3.444362E+04,2.220307E+04,3.351919E+00,1.148745E+04,3.461531E+00,0.000000E+00,3.815942E+03,3.351919E+00,4.969974E+04,3.351919E+00,0.000000E+00,0.000000E+00,3.351919E+00,0.000000E+00,3.791017E+00,2.541757E+04,3.792922E+04,3.351919E+00,0.000000E+00,3.930506E+00,3.398661E+04,6.604413E+04,3.351919E+00,0.000000E+00,4.130960E+00,4.642589E+04,3.126603E+04,3.351919E+00,0.000000E+00,3.897934E+00,3.329212E+04,1.475067E+04,3.351919E+00,0.000000E+00,3.962941E+00,3.569574E+04,2.331140E+04,3.351919E+00,0.000000E+00,4.021381E+00,4.093587E+04,3.507311E+04,9.073170E-01,1.354368E+04,9.073170E-01,6.716883E+03,2.531169E+03,9.073170E-01,2.083748E+04,9.073170E-01,0.000000E+00,3.247038E+02,9.073170E-01,3.118101E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,1.536713E+04,9.073170E-01,4.893432E+03,7.554385E+03,9.073170E-01,1.368044E+04,9.073170E-01,6.580124E+03,1.432252E+04,9.073170E-01,1.122334E+04,9.073170E-01,9.037224E+03,3.872905E+03,9.073170E-01,1.372147E+04,9.073170E-01,6.539097E+03,6.548312E+02,9.073170E-01,1.336589E+04,9.073170E-01,6.894669E+03,2.617875E+03,9.073170E-01,1.221256E+04,9.073170E-01,8.048002E+03,5.470314E+03
00:45:00,3.351919E+00,0.000000E+00,3.979630E+00,3.480021E+04,2.279495E+04,3.351919E+00,1.200784E+04,3.474000E+00,0.000000E+00,2.803215E+03,3.351919E+00,4.969974E+04,3.351919E+00,0.000000E+00,0.000000E+00,3.351919E+00,0.000000E+00,3.842167E+00,2.575729E+04,3.853539E+04,3.351919E+00,0.000000E+00,3.982889E+00,3.439868E+04,6.671000E+04,3.351919E+00,0.000000E+00,4.183741E+00,4.677791E+04,3.181526E+04,3.351919E+00,0.000000E+00,3.951234E+00,3.363311E+04,1.534763E+04,3.351919E+00,0.000000E+00,4.015456E+00,3.589193E+04,2.373791E+04,3.351919E+00,0.000000E+00,4.075469E+00,4.130477E+04,3.567159E+04,9.073170E-01,1.368454E+04,9.073170E-01,6.576021E+03,2.388585E+03,9.073170E-01,2.097834E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,3.118101E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,1.550799E+04,9.073170E-01,4.752571E+03,7.411024E+03,9.073170E-01,1.380762E+04,9.073170E-01,6.452939E+03,1.419256E+04,9.073170E-01,1.136830E+04,9.073170E-01,8.892260E+03,3.726284E+03,9.073170E-01,1.387190E+04,9.073170E-01,6.388662E+03,5.027494E+02,9.073170E-01,1.355189E+04,9.073170E-01,6.708677E+03,2.429608E+03,9.073170E-01,1.235889E+04,9.073170E-01,7.901670E+03,5.321994E+03
01:00:00,3.351919E+00,0.000000E+00,4.027094E+00,3.507796E+04,2.327651E+04,3.351919E+00,1.252823E+04,3.492861E+00,0.000000E+00,1.945210E+03,3.351919E+00,4.969974E+04,3.351919E+00,0.000000E+00,0.000000E+00,3.351919E+00,0.000000E+00,3.887736E+00,2.600376E+04,3.901025E+04,3.351919E+00,0.000000E+00,4.030539E+00,3.473050E+04,6.726096E+04,3.351919E+00,0.000000E+00,4.229321E+00,4.700733E+04,3.220277E+04,3.351919E+00,0.000000E+00,4.000353E+00,3.390301E+04,1.584288E+04,3.351919E+00,0.000000E+00,4.062896E+00,3.600179E+04,2.404515E+04,3.351919E+00,0.000000E+00,4.122867E+00,4.156005E+04,3.611552E+04,9.073170E-01,1.382540E+04,9.073170E-01,6.435160E+03,2.246001E+03,9.073170E-01,2.111921E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,3.118101E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,1.564885E+04,9.073170E-01,4.611709E+03,7.267661E+03,9.073170E-01,1.393481E+04,9.073170E-01,6.325753E+03,1.406259E+04,9.073170E-01,1.151327E+04,9.073170E-01,8.747295E+03,3.579663E+03,9.073170E-01,1.402234E+04,9.073170E-01,6.238227E+03,3.506822E+02,9.073170E-01,1.373788E+04,9.073170E-01,6.522686E+03,2.241354E+03,9.073170E-01,1.250522E+04,9.073170E-01,7.755338E+03,5.173688E+03
01:15:00,3.351919E+00,0.000000E+00,4.072775E+00,3.549688E+04,2.384867E+04,3.351919E+00,1.287515E+04,3.512703E+00,0.000000E+00,1.546139E+03,3.351919E+00,4.969974E+04,3.351919E+00,0.000000E+00,0.000000E+00,3.351919E+00,0.000000E+00,3.931959E+00,2.639969E+04,3.959519E+04,3.351919E+00,0.000000E+00,4.076502E+00,3.518834E+04,6.788776E+04,3.351919E+00,0.000000E+00,4.274644E+00,4.740913E+04,3.271389E+04,3.351919E+00,0.000000E+00,4.046807E+00,3.431097E+04,1.642076E+04,3.351919E+00,0.000000E+00,4.108225E+00,3.630287E+04,2.448999E+04,3.351919E+00,0.000000E+00,4.168811E+00,4.196888E+04,3.665900E+04,9.073170E-01,1.391931E+04,9.073170E-01,6.341252E+03,2.150931E+03,9.073170E-01,2.121311E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,3.118101E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,1.574276E+04,9.073170E-01,4.517802E+03,7.172072E+03,9.073170E-01,1.401960E+04,9.073170E-01,6.240962E+03,1.397594E+04,9.073170E-01,1.160991E+04,9.073170E-01,8.650652E+03,3.481911E+03,9.073170E-01,1.412263E+04,9.073170E-01,6.137937E+03,2.492986E+02,9.073170E-01,1.386187E+04,9.073170E-01,6.398691E+03,2.115847E+03,9.073170E-01,1.260278E+04,9.073170E-01,7.657784E+03,5.074804E+03
01:30:00,3.351919E+00,0.000000E+00,4.112981E+00,3.582301E+04,2.426978E+04,3.351919E+00,1.322208E+04,3.536505E+00,0.000000E+00,1.234206E+03,3.351919E+00,4.969974E+04,3.351919E+00,0.000000E+00,0.000000E+00,3.351919E+00,0.000000E+00,3.971817E+00,2.672155E+04,4.005545E+04,3.351919E+00,0.000000E+00,4.116976E+00,3.555288E+04,6.836083E+04,3.351919E+00,0.000000E+00,4.314153E+00,4.771321E+04,3.307029E+04,3.351919E+00,0.000000E+00,4.087901E+00,3.462827E+04,1.684930E+04,3.351919E+00,0.000000E+00,4.148007E+00,3.651054E+04,2.478182E+04,3.351919E+00,0.000000E+00,4.209017E+00,4.228129E+04,3.704536E+04,9.073170E-01,1.401322E+04,9.073170E-01,6.247344E+03,2.055875E+03,9.073170E-01,2.130702E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,3.118101E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,1.583667E+04,9.073170E-01,4.423894E+03,7.076496E+03,9.073170E-01,1.410439E+04,9.073170E-01,6.156172E+03,1.388931E+04,9.073170E-01,1.170655E+04,9.073170E-01,8.554010E+03,3.384159E+03,9.073170E-01,1.422291E+04,9.073170E-01,6.037648E+03,1.479155E+02,9.073170E-01,1.398587E+04,9.073170E-01,6.274696E+03,1.990340E+03,9.073170E-01,1.270033E+04,9.073170E-01,7.560229E+03,4.975935E+03
01:45:00,3.351919E+00,0.000000E+00,4.149130E+00,3.608113E+04,2.461930E+04,3.351919E+00,1.356900E+04,3.563717E+00,0.000000E+00,9.977502E+02,3.351919E+00,4.969974E+04,3.351919E+00,0.000000E+00,0.000000E+00,3.351919E+00,0.000000E+00,4.008027E+00,2.698170E+04,4.044384E+04,3.351919E+00,0.000000E+00,4.153417E+00,3.584959E+04,6.876074E+04,3.351919E+00,0.000000E+00,4.349448E+00,4.794684E+04,3.336298E+04,3.351919E+00,0.000000E+00,4.125092E+00,3.488022E+04,1.720828E+04,3.351919E+00,0.000000E+00,4.183747E+00,3.665061E+04,2.500477E+04,3.351919E+00,0.000000E+00,4.245067E+00,4.252422E+04,3.736407E+04,9.073170E-01,1.410713E+04,9.073170E-01,6.153437E+03,1.960819E+03,9.073170E-01,2.140093E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,3.118101E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,1.593058E+04,9.073170E-01,4.329986E+03,6.980922E+03,9.073170E-01,1.418918E+04,9.073170E-01,6.071381E+03,1.380267E+04,9.073170E-01,1.180320E+04,9.073170E-01,8.457367E+03,3.286406E+03,9.073170E-01,1.432320E+04,9.073170E-01,5.937358E+03,4.653201E+01,9.073170E-01,1.410986E+04,9.073170E-01,6.150702E+03,1.864833E+03,9.073170E-01,1.279789E+04,9.073170E-01,7.462674E+03,4.877064E+03
02:00:00,3.351919E+00,0.000000E+00,4.180403E+00,3.625725E+04,2.487520E+04,3.351919E+00,1.391593E+04,3.587011E+00,0.000000E+00,6.705491E+02,3.351919E+00,4.969974E+04,3.351919E+00,0.000000E+00,0.000000E+00,3.351919E+00,0.000000E+00,4.039504E+00,2.716158E+04,4.073247E+04,3.351919E+00,0.000000E+00,4.184895E+00,3.606280E+04,6.906276E+04,3.351919E+00,0.000000E+00,4.379878E+00,4.809868E+04,3.357030E+04,3.351919E+00,0.000000E+00,4.157394E+00,3.504997E+04,1.747084E+04,3.351919E+00,0.000000E+00,4.214612E+00,3.670873E+04,2.513605E+04,3.351919E+00,0.000000E+00,4.276198E+00,4.268444E+04,3.759259E+04,9.073170E-01,1.420103E+04,9.073170E-01,6.059529E+03,1.865763E+03,9.073170E-01,2.149484E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,3.118101E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,1.602448E+04,9.073170E-01,4.236078E+03,6.885347E+03,9.073170E-01,1.427397E+04,9.073170E-01,5.986591E+03,1.371602E+04,9.073170E-01,1.189984E+04,9.073170E-01,8.360724E+03,3.188668E+03,9.073170E-01,1.442349E+04,9.073170E-01,5.837068E+03,0.000000E+00,9.073170E-01,1.423386E+04,9.073170E-01,6.026707E+03,1.739327E+03,9.073170E-01,1.289544E+04,9.073170E-01,7.365120E+03,4.778180E+03
02:15:00,3.351919E+00,0.000000E+00,4.208402E+00,3.646533E+04,2.513585E+04,3.351919E+00,1.417612E+04,3.611324E+00,0.000000E+00,5.790051E+02,3.351919E+00,4.969974E+04,3.351919E+00,0.000000E+00,0.000000E+00,3.351919E+00,0.000000E+00,4.067844E+00,2.737541E+04,4.102701E+04,3.351919E+00,0.000000E+00,4.213114E+00,3.629978E+04,6.936013E+04,3.351919E+00,0.000000E+00,4.407014E+00,4.828467E+04,3.378767E+04,3.351919E+00,0.000000E+00,4.186495E+00,3.525878E+04,1.774400E+04,3.351919E+00,0.000000E+00,4.242219E+00,3.682686E+04,2.530058E+04,3.351919E+00,0.000000E+00,4.304034E+00,4.287964E+04,3.782943E+04,9.073170E-01,1.427146E+04,9.073170E-01,5.989098E+03,1.794464E+03,9.073170E-01,2.156527E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,3.118101E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,1.609491E+04,9.073170E-01,4.165648E+03,6.813659E+03,9.073170E-01,1.433756E+04,9.073170E-01,5.922998E+03,1.365104E+04,9.073170E-01,1.197232E+04,9.073170E-01,8.288242E+03,3.115357E+03,9.073170E-01,1.449871E+04,9.073170E-01,5.761851E+03,0.000000E+00,9.073170E-01,1.432685E+04,9.073170E-01,5.933711E+03,1.645207E+03,9.073170E-01,1.296861E+04,9.073170E-01,7.291954E+03,4.704027E+03
02:30:00,3.351919E+00,0.000000E+00,4.233289E+00,3.662126E+04,2.533575E+04,3.351919E+00,1.443631E+04,3.634836E+00,0.000000E+00,4.730090E+02,3.351919E+00,4.969974E+04,3.351919E+00,0.000000E+00,0.000000E+00,3.351919E+00,0.000000E+00,4.093105E+00,2.753765E+04,4.125586E+04,3.351919E+00,0.000000E+00,4.238209E+00,3.648440E+04,6.959519E+04,3.351919E+00,0.000000E+00,4.431051E+00,4.841871E+04,3.394852E+04,3.351919E+00,0.000000E+00,4.212463E+00,3.541510E+04,1.795406E+04,3.351919E+00,0.000000E+00,4.266723E+00,3.689299E+04,2.540506E+04,3.351919E+00,0.000000E+00,4.328751E+00,4.302255E+04,3.800721E+04,9.073170E-01,1.434190E+04,9.073170E-01,5.918667E+03,1.723165E+03,9.073170E-01,2.163570E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,3.118101E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,1.616535E+04,9.073170E-01,4.095217E+03,6.741971E+03,9.073170E-01,1.440116E+04,9.073170E-01,5.859405E+03,1.358606E+04,9.073170E-01,1.204480E+04,9.073170E-01,8.215759E+03,3.042033E+03,9.073170E-01,1.457393E+04,9.073170E-01,5.686633E+03,0.000000E+00,9.073170E-01,1.441985E+04,9.073170E-01,5.840715E+03,1.551073E+03,9.073170E-01,1.304177E+04,9.073170E-01,7.218788E+03,4.629874E+03
02:45:00,3.351919E+00,0.000000E+00,4.254577E+00,3.671692E+04,2.546393E+04,3.351919E+00,1.469651E+04,3.655533E+00,0.000000E+00,3.052653E+02,3.351919E+00,4.969974E+04,3.351919E+00,0.000000E+00,0.000000E+00,3.351919E+00,0.000000E+00,4.114724E+00,2.763889E+04,4.140741E+04,3.351919E+00,0.000000E+00,4.259625E+00,3.660740E+04,6.975524E+04,3.351919E+00,0.000000E+00,4.451538E+00,4.849331E+04,3.404220E+04,3.351919E+00,0.000000E+00,4.234764E+00,3.551001E+04,1.808895E+04,3.351919E+00,0.000000E+00,4.287624E+00,3.689878E+04,2.543808E+04,3.351919E+00,0.000000E+00,4.349855E+00,4.310498E+04,3.811449E+04,9.073170E-01,1.441233E+04,9.073170E-01,5.848237E+03,1.651880E+03,9.073170E-01,2.170613E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,3.118101E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,1.623578E+04,9.073170E-01,4.024786E+03,6.670296E+03,9.073170E-01,1.446475E+04,9.073170E-01,5.795812E+03,1.352107E+04,9.073170E-01,1.211729E+04,9.073170E-01,8.143277E+03,2.968722E+03,9.073170E-01,1.464915E+04,9.073170E-01,5.611416E+03,0.000000E+00,9.073170E-01,1.451284E+04,9.073170E-01,5.747719E+03,1.456940E+03,9.073170E-01,1.311494E+04,9.073170E-01,7.145622E+03,4.555722E+03
03:00:00,3.351919E+00,0.000000E+00,4.274237E+00,3.678581E+04,2.556250E+04,3.351919E+00,1.495670E+04,3.675200E+00,0.000000E+00,1.143950E+02,3.351919E+00,4.969974E+04,3.351919E+00,0.000000E+00,0.000000E+00,3.351919E+00,0.000000E+00,4.134770E+00,2.771425E+04,4.152778E+04,3.351919E+00,0.000000E+00,4.279468E+00,3.670462E+04,6.988629E+04,3.351919E+00,0.000000E+00,4.470364E+00,4.854066E+04,3.410794E+04,3.351919E+00,0.000000E+00,4.255443E+00,3.557828E+04,1.819323E+04,3.351919E+00,0.000000E+00,4.306902E+00,3.687791E+04,2.544210E+04,3.351919E+00,0.000000E+00,4.369318E+00,4.316046E+04,3.819309E+04,9.073170E-01,1.448276E+04,9.073170E-01,5.777806E+03,1.580581E+03,9.073170E-01,2.177656E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,3.118101E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,1.630621E+04,9.073170E-01,3.954355E+03,6.598609E+03,9.073170E-01,1.452834E+04,9.073170E-01,5.732220E+03,1.345609E+04,9.073170E-01,1.218977E+04,9.073170E-01,8.070795E+03,2.895412E+03,9.073170E-01,1.472436E+04,9.073170E-01,5.536199E+03,0.000000E+00,9.073170E-01,1.460584E+04,9.073170E-01,5.654723E+03,1.362820E+03,9.073170E-01,1.318811E+04,9.073170E-01,7.072456E+03,4.481555E+03
03:15:00,3.351919E+00,0.000000E+00,4.291460E+00,3.681398E+04,2.561368E+04,3.351919E+00,1.521690E+04,3.692804E+00,0.000000E+00,0.000000E+00,3.351919E+00,4.969974E+04,3.351919E+00,0.000000E+00,0.000000E+00,3.351919E+00,0.000000E+00,4.152351E+00,2.774839E+04,4.159735E+04,3.351919E+00,0.000000E+00,4.296858E+00,3.676084E+04,6.996863E+04,3.351919E+00,0.000000E+00,4.486780E+00,4.854775E+04,3.412902E+04,3.351919E+00,0.000000E+00,4.273656E+00,3.560535E+04,1.824838E+04,3.351919E+00,0.000000E+00,4.323728E+00,3.681608E+04,2.539879E+04,3.351919E+00,0.000000E+00,4.386344E+00,4.317524E+04,3.822560E+04,9.073170E-01,1.455319E+04,9.073170E-01,5.707375E+03,1.509281E+03,9.073170E-01,2.184699E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,3.118101E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,1.637664E+04,9.073170E-01,3.883925E+03,6.526920E+03,9.073170E-01,1.459194E+04,9.073170E-01,5.668627E+03,1.339111E+04,9.073170E-01,1.226225E+04,9.073170E-01,7.998313E+03,2.822101E+03,9.073170E-01,1.479958E+04,9.073170E-01,5.460981E+03,0.000000E+00,9.073170E-01,1.469884E+04,9.073170E-01,5.561727E+03,1.268686E+03,9.073170E-01,1.326127E+04,9.073170E-01,6.999290E+03,4.407403E+03
03:30:00,3.351919E+00,0.000000E+00,4.306770E+00,3.681014E+04,2.562848E+04,3.351919E+00,1.547709E+04,3.708769E+00,0.000000E+00,0.000000E+00,3.351919E+00,4.969974E+04,3.351919E+00,0.000000E+00,0.000000E+00,3.351919E+00,0.000000E+00,4.168019E+00,2.775054E+04,4.162829E+04,3.351919E+00,0.000000E+00,4.312345E+00,3.678521E+04,7.001401E+04,3.351919E+00,0.000000E+00,4.501298E+00,4.852306E+04,3.411557E+04,3.351919E+00,0.000000E+00,4.289946E+00,3.560023E+04,1.826611E+04,3.351919E+00,0.000000E+00,4.338628E+00,3.672202E+04,2.531924E+04,3.351919E+00,0.000000E+00,4.401460E+00,4.315806E+04,3.822275E+04,9.073170E-01,1.462362E+04,9.073170E-01,5.636944E+03,1.437996E+03,9.073170E-01,2.191742E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,3.118101E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,1.644707E+04,9.073170E-01,3.813494E+03,6.455246E+03,9.073170E-01,1.465553E+04,9.073170E-01,5.605034E+03,1.332613E+04,9.073170E-01,1.233473E+04,9.073170E-01,7.925831E+03,2.748790E+03,9.073170E-01,1.487480E+04,9.073170E-01,5.385764E+03,0.000000E+00,9.073170E-01,1.479183E+04,9.073170E-01,5.468731E+03,1.174552E+03,9.073170E-01,1.333444E+04,9.073170E-01,6.926124E+03,4.333250E+03
03:45:00,3.351919E+00,0.000000E+00,4.320323E+00,3.677689E+04,2.560998E+04,3.351919E+00,1.573728E+04,3.723336E+00,0.000000E+00,0.000000E+00,3.351919E+00,4.969974E+04,3.351919E+00,0.000000E+00,0.000000E+00,3.351919E+00,0.000000E+00,4.181925E+00,2.772318E+04,4.162381E+04,3.351919E+00,0.000000E+00,4.326081E+00,3.678027E+04,7.002558E+04,3.351919E+00,0.000000E+00,4.514076E+00,4.846927E+04,3.407054E+04,3.351919E+00,0.000000E+00,4.304462E+00,3.556542E+04,1.824957E+04,3.351919E+00,0.000000E+00,4.351759E+00,3.659833E+04,2.520664E+04,3.351919E+00,0.000000E+00,4.414823E+00,4.311150E+04,3.818745E+04,9.073170E-01,1.469405E+04,9.073170E-01,5.566514E+03,1.366698E+03,9.073170E-01,2.198785E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,3.118101E+04,9.073170E-01,0.000000E+00,0.000000E+00,9.073170E-01,1.651750E+04,9.073170E-01,3.743063E+03,6.383557E+03,9.073170E-01,1.471912E+04,9.073170E-01,5.541441E+03,1.326115E+04,9.073170E-01,1.240721E+04,9.073170E-01,7.853349E+03,2.675479E+03,9.073170E-01,1.495002E+04,9.073170E-01,5.310547E+03,0.000000E+00,9.073170E-01,1.488483E+04,9.073170E-01,5.375735E+03,1.080433E+03,9.073170E-01,1.340760E+04,9.073170E-01,6.852958E+03,4.259083E+03
