16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 16:24:10"
Cond. Area:,,,39372
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\ndperry\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-baseU\cz15\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,1.86115,0,0.427597,0,0.00447617,0,0.906753,1.83366,6.45223,0.256709,0,0,11.7426,0,0,0,0,0.0856683,0,0,0.006564,0,0,0.0922323,0,0,0,0,0,0,0,0,0,0,0,27.4453,353.349,0,0.000249403,0.004509,
1,1,2,1.86946,0,0.427597,0,0.00447617,0,0.783447,1.74592,5.94853,0.256709,0,0,11.0361,0,0,0,0,0.044284,0,0,0.0052512,0,0,0.0495352,0,0,0,0,0,0,0,0,0,0,0,27.4246,353.349,0,0.000249051,0.004509,
1,1,3,1.85834,0,0.427597,0,0.00447617,0,0.660138,1.70582,5.64672,0.251128,0,0,10.5542,0,0,0,0,0.0704303,0,0,0.0039384,0,0,0.0743687,0,0,0,0,0,0,0,0,0,0,0,27.3411,353.349,0,0.000248744,0.004509,
1,1,4,1.91242,0,0.427597,0,0.00447617,0,0.721791,1.66247,5.63198,0.251128,0,0,10.6119,0,0,0,0,0.367505,0,0,0.0039384,0,0,0.371443,0,0,0,0,0,0,0,0,0,0,0,27.2737,353.349,0,0.000244034,0.004509,
1,1,5,1.95938,0,0.427597,0,0.00447617,0,0.8451,1.59974,5.35381,0.256709,0,0,10.4468,0,0,0,0,0.42048,0,0,0.0039384,0,0,0.424418,0,0,0,0,0,0,0,0,0,0,0,27.318,353.349,0,0.000247897,0.004509,
1,1,6,1.97844,0,0.427597,0,0.00447617,0,1.15337,1.58728,5.79361,0.251128,0,0,11.1959,0,0,0,0,0.736333,0,0,0.006564,0,0,0.742897,0,0,0,0,0,0,0,0,0,0,0,27.4368,353.349,0,0.000250017,0.004509,
1,1,7,1.96469,0,0.427597,0,0.00447617,0,1.49247,2.04059,6.4932,0.245547,0,0,12.6686,0,0,0,0,0.216061,0,0,0.013128,0,0,0.229189,0,0,0,0,0,0,0,0,0,0,0,27.4633,353.349,0,0.000250652,0.004509,
1,1,8,1.95805,0,0.427597,0,0.00447617,0,1.64524,3.52783,7.11301,0.228805,-0.0217169,0,14.8833,0,0,0,0,0.30979,0,0,0.160029,0,0,0.469819,0,0,0,0,0,0,0,0,0,0,0,27.447,353.349,0,0.000250171,0.004509,
1,1,9,1.91549,0,0.427597,0,0.00447617,0,1.43755,3.75664,6.70668,0.200902,-0.22001,0,14.2293,0,0,0,0,0.464966,0,0,0.525414,0,0,0.99038,0,0,0,0,0,0,0,0,0,0,0,27.2488,353.349,0,0.000245568,0.004509,
1,1,10,1.85897,0,0.427597,0,0.00447617,0,1.28342,6.83914,6.45569,0.167419,-0.390926,0,16.6458,0,0,0,0,0.444618,0,0,0.361256,0,0,0.805874,0,0,0,0,0,0,0,0,0,0,0,25.5892,353.349,0,0.000205897,0.004509,
1,1,11,0.0285057,0,0.427597,0,0.00447617,0,1.27036,6.81987,6.61084,0.133935,-0.524897,0,14.7707,0,0,0,0,0.289395,0,0,1.09974,0,0,1.38913,0,0,0,0,0,0,0,0,0,0,0,24.9926,353.349,0,0.000187311,0.004509,
1,1,12,0.0157034,0,0.427597,0,0.00447617,0,1.20871,4.76942,6.51272,0.0892899,-0.457245,0,12.5707,0,0,0,0,0.380421,0,0,0.681648,0,0,1.06207,0,0,0,0,0,0,0,0,0,0,0,24.5827,353.349,0,0.000172385,0.004509,
1,1,13,0.0140299,0,0.427597,0,0.00447617,0,1.2933,4.26566,6.69613,0.0669675,-0.438822,0,12.3293,0,0,0,0,0.231338,0,0,0.0894516,0,0,0.32079,0,0,0,0,0,0,0,0,0,0,0,24.5911,353.349,0,0.000162633,0.004509,
1,1,14,0.00957554,0,0.427597,0,0.00447617,0,1.2933,2.49259,6.88324,0.0613869,-0.504991,0,10.6672,0,0,0,0,0.117653,0,0,0.167222,0,0,0.284875,0,0,0,0,0,0,0,0,0,0,0,24.5825,353.349,0,0.000167705,0.004509,
