16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.0 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-20 23:25:46"
Cond. Area:,,,39372
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-QII-0\cz02\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0.360015,0,1.85033,0,0.0223809,0,0.906753,1.72955,6.45223,0.256709,0,0,11.578,0,0,0,0,0.254055,0,0,0.006564,0,0,0.260619,0,0,0,0,0,0,0,0,0,0,0,27.9224,352.219,0,0.000247243,0.004509,
1,1,2,0.360015,0,1.85033,0,0.0223809,0,0.783447,1.64712,5.94853,0.256709,0,0,10.8685,0,0,0,0,0.130564,0,0,0.0052512,0,0,0.135815,0,0,0,0,0,0,0,0,0,0,0,27.9066,352.219,0,0.000246894,0.004509,
1,1,3,0.360015,0,1.85033,0,0.0223809,0,0.660138,1.60871,5.64672,0.251128,0,0,10.3994,0,0,0,0,0.103534,0,0,0.0039384,0,0,0.107472,0,0,0,0,0,0,0,0,0,0,0,27.85,352.219,0,0.000246589,0.004509,
1,1,4,0.360015,0,1.85033,0,0.0223809,0,0.721791,1.56448,5.63198,0.251128,0,0,10.4021,0,0,0,0,0.100181,0,0,0.0039384,0,0,0.104119,0,0,0,0,0,0,0,0,0,0,0,27.7571,352.219,0,0.000241921,0.004509,
1,1,5,0.360015,0,1.85033,0,0.0223809,0,0.8451,1.48918,5.35381,0.256709,0,0,10.1775,0,0,0,0,0.106904,0,0,0.0039384,0,0,0.110842,0,0,0,0,0,0,0,0,0,0,0,27.8774,352.219,0,0.00024575,0.004509,
1,1,6,0.360015,0,1.85033,0,0.0223809,0,1.15337,1.47724,5.79361,0.251128,0,0,10.9081,0,0,0,0,0.901073,0,0,0.006564,0,0,0.907637,0,0,0,0,0,0,0,0,0,0,0,27.9184,352.219,0,0.000247852,0.004509,
1,1,7,0.244108,0,1.85033,0,0.0223809,0,1.49247,1.92073,6.4932,0.245547,0,0,12.2688,0.360229,0,0,0,0.473701,0,0,0.013128,0,0,0.847058,0,0,0,0,0,0,0,0,0,0,0,27.9403,352.219,0,0.000248481,0.004509,
1,1,8,7.46905,0,1.85033,0,0.0223809,0,1.64524,3.42519,7.11301,0.228805,0,0,21.754,2.90327,0,0,0,0.909676,0,0,0.160029,0,0,3.97297,0,0,0,0,0,0,0,0,0,0,0,27.93,352.219,0,0.000248005,0.004509,
1,1,9,4.72148,0,1.85033,0,0.0223809,0,1.43755,3.7242,6.70668,0.200902,-0.713321,0,17.9502,1.13437,0,0,0,1.34339,0,0,0.525414,0,0,3.00317,0,0,0,0,0,0,0,0,0,0,0,27.9148,352.219,0,0.000243441,0.004509,
1,1,10,2.55973,0,1.85033,0,0.0223809,0,1.28342,6.79894,6.45569,0.167419,-3.20894,0,15.929,0.739476,0,0,0,1.26838,0,0,0.361256,0,0,2.36911,0,0,0,0,0,0,0,0,0,0,0,27.4262,352.219,0,0.000204114,0.004509,
1,1,11,1.97977,0,1.85033,0,0.0223809,0,1.27036,6.77494,6.61084,0.133935,-9.21899,0,9.42357,0.425937,0,0,0,0.868266,0,0,1.09974,0,0,2.39394,0,0,0,0,0,0,0,0,0,0,0,27.1744,352.219,0,0.000185689,0.004509,
1,1,12,1.82763,0,1.85033,0,0.0223809,0,1.20871,4.70988,6.51272,0.0892899,-15.1624,0,1.05857,0.449104,0,0,0,1.01715,0,0,0.681648,0,0,2.1479,0,0,0,0,0,0,0,0,0,0,0,26.767,352.219,0,0.000170892,0.004509,
1,1,13,1.59465,0,1.85033,0,0.0223809,0,1.2933,4.19718,6.69613,0.0669675,-13.0998,0,2.62115,0.482189,0,0,0,0.692802,0,0,0.0894516,0,0,1.26444,0,0,0,0,0,0,0,0,0,0,0,26.2111,352.219,0,0.000161225,0.004509,
1,1,14,1.26468,0,1.85033,0,0.0223809,0,1.2933,2.42329,6.88324,0.0613869,-7.84305,0,5.95555,0.516823,0,0,0,0.412192,0,0,0.167222,0,0,1.09624,0,0,0,0,0,0,0,0,0,0,0,26.655,352.219,0,0.000166253,0.004509,
