16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-06-07 19:01:37"
Cond. Area:,,,7320
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\furnace-analysis\runs\lrgs-furnace-comp_DWHR_win\cz01\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0.520422,0,0.221825,0,0,0,0.385211,0.735811,1.11052,0,0,0,2.97379,0.433122,0,0,0,0,0,0,0.0299892,0,0,0.463111,0,0,0,0,0,0,0,0,0,0,0,28.1794,352.219,0,0.000247243,0.004509,
1,1,2,0.535826,0,0.221825,0,0,0,0.318218,0.728825,1.0505,0,0,0,2.85519,0.445942,0,0,0,0,0,0,0.0283681,0,0,0.47431,0,0,0,0,0,0,0,0,0,0,0,28.1636,352.219,0,0.000246894,0.004509,
1,1,3,0.536747,0,0.221825,0,0,0,0.251224,0.725332,1.02048,0,0,0,2.75561,0.446707,0,0,0,0.000311535,0,0,0.0275576,0,0,0.474576,0,0,0,0,0,0,0,0,0,0,0,28.1069,352.219,0,0.000246589,0.004509,
1,1,4,0.542567,0,0.221825,0,0,0,0.28472,0.725332,1.02048,0,0,0,2.79493,0.451552,0,0,0,0,0,0,0.0275576,0,0,0.47911,0,0,0,0,0,0,0,0,0,0,0,28.014,352.219,0,0.000241921,0.004509,
1,1,5,0.515961,0,0.221825,0,0,0,0.351715,0.718346,0.960451,0,0,0,2.7683,0.429409,0,0,0,0.000311535,0,0,0.0259366,0,0,0.455657,0,0,0,0,0,0,0,0,0,0,0,28.1344,352.219,0,0.00024575,0.004509,
1,1,6,0.41774,0,0.221825,0,0,0,0.519197,0.732318,1.08051,0,0,0,2.97159,0.347664,0,0,0,0.700179,0,0,0.0291787,0,0,1.07702,0,0,0,0,0,0,0,0,0,0,0,28.1753,352.219,0,0.000247852,0.004509,
1,1,7,0.357931,0,0.221825,0,0,0,0.703426,0.753275,1.26059,0,0,0,3.29705,0.297887,0,0,0,0.264197,0,0,0.0340418,0,0,0.596126,0,0,0,0,0,0,0,0,0,0,0,28.1973,352.219,0,0.000248481,0.004509,
1,1,8,0.404294,0,0.221825,0,0,0,0.686679,0.760261,1.32062,0,0,0,3.39368,0.336475,0,0,0,0.408606,0,0,0.0356628,0,0,0.780744,0,0,0,0,0,0,0,0,0,0,0,28.187,352.219,0,0.000248005,0.004509,
1,1,9,0.407978,0,0.221825,0,0,0,0.56944,0.735811,1.11052,0,0,0,3.04558,0.339539,0,0,0,0.277612,0,0,0.0299892,0,0,0.64714,0,0,0,0,0,0,0,0,0,0,0,28.1718,352.219,0,0.000243441,0.004509,
1,1,10,0.349695,0,0.221825,0,0,0,0.4857,0.718346,0.960451,0,0,0,2.73602,0.291034,0,0,0,0.675456,0,0,0.0259366,0,0,0.992427,0,0,0,0,0,0,0,0,0,0,0,27.6832,352.219,0,0.000204114,0.004509,
1,1,11,0.350636,0,0.221825,0,0,0,0.452204,0.721839,0.990466,0,0,0,2.73697,0.291818,0,0,0,0.374324,0,0,0.0267471,0,0,0.692889,0,0,0,0,0,0,0,0,0,0,0,27.4314,352.219,0,0.000185689,0.004509,
1,1,12,0.391893,0,0.221825,0,0,0,0.418708,0.721839,0.990466,0,0,0,2.74473,0.326154,0,0,0,0.251165,0,0,0.0267471,0,0,0.604066,0,0,0,0,0,0,0,0,0,0,0,27.024,352.219,0,0.000170892,0.004509,
1,1,13,0.320331,0,0.221825,0,0,0,0.351715,0.718346,0.960451,0,0,0,2.57267,0.266596,0,0,0,0.195728,0,0,0.0259366,0,0,0.488261,0,0,0,0,0,0,0,0,0,0,0,26.4681,352.219,0,0.000161225,0.004509,
1,1,14,0.293857,0,0.221825,0,0,0,0.351715,0.721839,0.990466,0,0,0,2.5797,0.244562,0,0,0,0.0505027,0,0,0.0267471,0,0,0.321812,0,0,0,0,0,0,0,0,0,0,0,26.912,352.219,0,0.000166253,0.004509,
1,1,15,0.254955,0,0.221825,0,0,0,0.351715,0.728825,1.0505,0,0,0,2.60782,0.212187,0,0,0,0.151305,0,0,0.0283681,0,0,0.39186,0,0,0,0,0,0,0,0,0,0,0,26.6978,352.219,0,0.000166712,0.004509,
