16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 13:37:28"
Cond. Area:,,,39372
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-propU2\cz12\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,4.22482,0,0.427597,0,0.00447617,0,0.906753,1.75222,6.45223,0.256709,0,0,14.0248,0,0,0,0,0.105502,0,0,0.006564,0,0,0.112066,0,0,0,0,0,0,0,0,0,0,0,27.968,352.219,0,0.000247243,0.004509,
1,1,2,4.32967,0,0.427597,0,0.00447617,0,0.783447,1.67453,5.94853,0.256709,0,0,13.425,0,0,0,0,0.0471354,0,0,0.0052512,0,0,0.0523866,0,0,0,0,0,0,0,0,0,0,0,27.9522,352.219,0,0.000246894,0.004509,
1,1,3,4.92309,0,0.427597,0,0.00447617,0,0.660138,1.64054,5.64672,0.251128,0,0,13.5537,0,0,0,0,0.0878634,0,0,0.0039384,0,0,0.0918018,0,0,0,0,0,0,0,0,0,0,0,27.8956,352.219,0,0.000246589,0.004509,
1,1,4,5.47297,0,0.427597,0,0.00447617,0,0.721791,1.60064,5.63198,0.251128,0,0,14.1106,0,0,0,0,0.443928,0,0,0.0039384,0,0,0.447866,0,0,0,0,0,0,0,0,0,0,0,27.8027,352.219,0,0.000241921,0.004509,
1,1,5,5.72287,0,0.427597,0,0.00447617,0,0.8451,1.53637,5.35381,0.256709,0,0,14.1469,0,0,0,0,0.507455,0,0,0.0039384,0,0,0.511393,0,0,0,0,0,0,0,0,0,0,0,27.923,352.219,0,0.00024575,0.004509,
1,1,6,5.58347,0,0.427597,0,0.00447617,0,1.15337,1.53212,5.79361,0.251128,0,0,14.7458,0,0,0,0,0.931096,0,0,0.006564,0,0,0.93766,0,0,0,0,0,0,0,0,0,0,0,27.964,352.219,0,0.000247852,0.004509,
1,1,7,5.16758,0,0.427597,0,0.00447617,0,1.49247,1.98713,6.4932,0.245547,0,0,15.818,0,0,0,0,0.273041,0,0,0.013128,0,0,0.286169,0,0,0,0,0,0,0,0,0,0,0,27.9859,352.219,0,0.000248481,0.004509,
1,1,8,5.42739,0,0.427597,0,0.00447617,0,1.64524,3.4812,7.11301,0.228805,0,0,18.3277,0,0,0,0,0.393489,0,0,0.160029,0,0,0.553518,0,0,0,0,0,0,0,0,0,0,0,27.9756,352.219,0,0.000248005,0.004509,
1,1,9,6.62965,0,0.427597,0,0.00447617,0,1.43755,3.72741,6.70668,0.200902,-0.00689543,0,19.1274,0,0,0,0,0.602265,0,0,0.525414,0,0,1.12768,0,0,0,0,0,0,0,0,0,0,0,27.9604,352.219,0,0.000243441,0.004509,
1,1,10,6.59885,0,0.427597,0,0.00447617,0,1.28342,6.79894,6.45569,0.167419,-0.01031,0,21.7261,0,0,0,0,0.565048,0,0,0.361256,0,0,0.926304,0,0,0,0,0,0,0,0,0,0,0,27.4718,352.219,0,0.000204114,0.004509,
1,1,11,5.73559,0,0.427597,0,0.00447617,0,1.27036,6.77494,6.61084,0.133935,-0.0333174,0,20.9244,0,0,0,0,0.366959,0,0,1.09974,0,0,1.4667,0,0,0,0,0,0,0,0,0,0,0,27.22,352.219,0,0.000185689,0.004509,
1,1,12,6.44068,0,0.427597,0,0.00447617,0,1.20871,4.70988,6.51272,0.0892899,-0.053779,0,19.3396,0,0,0,0,0.49597,0,0,0.681648,0,0,1.17762,0,0,0,0,0,0,0,0,0,0,0,26.8126,352.219,0,0.000170892,0.004509,
1,1,13,5.98984,0,0.427597,0,0.00447617,0,1.2933,4.19718,6.69613,0.0669675,-0.0854853,0,18.59,0,0,0,0,0.299207,0,0,0.0894516,0,0,0.388659,0,0,0,0,0,0,0,0,0,0,0,26.2567,352.219,0,0.000161225,0.004509,
1,1,14,3.71555,0,0.427597,0,0.00447617,0,1.2933,2.42329,6.88324,0.0613869,-0.152013,0,14.6568,0,0,0,0,0.15268,0,0,0.167222,0,0,0.319902,0,0,0,0,0,0,0,0,0,0,0,26.7006,352.219,0,0.000166253,0.004509,
