16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-02-16 15:28:38"
Cond. Area:,,,7320
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\OneDrive - TRC\Documents\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrgs-low-base45\cz14\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,2.76428,0,0.221825,0,0.00193968,0,0.157419,0.381987,1.36223,0.0680012,0,0,4.95768,0,0,0,0,0.027448,0,0,0.00143269,0,0,0.0288807,0,0,0,0,0,0,0,0,0,0,0,27.3864,353.349,0,0.000249403,0.004509,
1,1,2,1.84053,0,0.221825,0,0.00193968,0,0.130041,0.36609,1.25338,0.0680012,0,0,3.88181,0,0,0,0,0.0337868,0,0,0.00114615,0,0,0.034933,0,0,0,0,0,0,0,0,0,0,0,27.3657,353.349,0,0.000249051,0.004509,
1,1,3,1.85613,0,0.221825,0,0.00193968,0,0.102664,0.359448,1.18819,0.0665229,0,0,3.79672,0,0,0,0,0.052991,0,0,0.000859615,0,0,0.0538506,0,0,0,0,0,0,0,0,0,0,0,27.2822,353.349,0,0.000248744,0.004509,
1,1,4,1.99001,0,0.221825,0,0.00193968,0,0.116353,0.351165,1.18481,0.0665229,0,0,3.93263,0,0,0,0,0.160562,0,0,0.000859615,0,0,0.161422,0,0,0,0,0,0,0,0,0,0,0,27.2148,353.349,0,0.000244034,0.004509,
1,1,5,2.28834,0,0.221825,0,0.00193968,0,0.14373,0.3373,1.12527,0.0680012,0,0,4.1864,0,0,0,0,0.179766,0,0,0.000859615,0,0,0.180626,0,0,0,0,0,0,0,0,0,0,0,27.2591,353.349,0,0.000247897,0.004509,
1,1,6,2.17983,0,0.221825,0,0.00193968,0,0.212173,0.336389,1.21935,0.0665229,0,0,4.23803,0,0,0,0,0.544277,0,0,0.00143269,0,0,0.54571,0,0,0,0,0,0,0,0,0,0,0,27.3779,353.349,0,0.000250017,0.004509,
1,1,7,1.73642,0,0.221825,0,0.00193968,0,0.28746,0.536381,1.36938,0.0650445,0,0,4.21845,0,0,0,0,0.218232,0,0,0.00286538,0,0,0.221097,0,0,0,0,0,0,0,0,0,0,0,27.4044,353.349,0,0.000250652,0.004509,
1,1,8,1.3244,0,0.221825,0,0.00193968,0,0.280616,1.16633,1.47115,0.0606096,-0.0119259,0,4.51495,0,0,0,0,0.288945,0,0,0.0649113,0,0,0.353856,0,0,0,0,0,0,0,0,0,0,0,27.3881,353.349,0,0.000250171,0.004509,
1,1,9,0.814057,0,0.221825,0,0.00193968,0,0.232706,1.03783,1.38334,0.0532183,-0.0297603,0,3.71515,0,0,0,0,0.199922,0,0,0.222457,0,0,0.422379,0,0,0,0,0,0,0,0,0,0,0,27.1899,353.349,0,0.000245568,0.004509,
1,1,10,0.37948,0,0.221825,0,0.0141981,0,0.198484,2.2231,1.33015,0.0443485,-0.139217,0,4.27236,0,0,0,0,0.434507,0,0,0.0993683,0,0,0.533875,0,0,0,0,0,0,0,0,0,0,0,25.5303,353.349,0,0.000205897,0.004509,
1,1,11,0.093193,0,0.221825,0,0.0141981,0,0.184796,2.15679,1.35269,0.0354789,-0.138292,0,3.92068,0,0,0,0,0.259579,0,0,0.508466,0,0,0.768045,0,0,0,0,0,0,0,0,0,0,0,24.9337,353.349,0,0.000187311,0.004509,
1,1,12,0.285643,0,0.221825,0,0.0141981,0,0.171107,1.7895,1.33126,0.0236526,-0.160824,0,3.67636,0,0,0,0,0.175075,0,0,0.320482,0,0,0.495557,0,0,0,0,0,0,0,0,0,0,0,24.5238,353.349,0,0.000172385,0.004509,
1,1,13,0.553012,0,0.221825,0,0.0141981,0,0.14373,1.15694,1.31917,0.0177394,-0.263489,0,3.16313,0,0,0,0,0.14006,0,0,0.0214245,0,0,0.161484,0,0,0,0,0,0,0,0,0,0,0,24.5322,353.349,0,0.000162633,0.004509,
1,1,14,0.670072,0,0.221825,0,0.0141981,0,0.14373,0.628309,1.35944,0.0162611,-0.232831,0,2.82101,0,0,0,0,0.0558078,0,0,0.061789,0,0,0.117597,0,0,0,0,0,0,0,0,0,0,0,24.5236,353.349,0,0.000167705,0.004509,
