"",002
"Mon 30-Mar-20   4:50:41 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",38.3459,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,5.9362,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",35.9312,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.2964,0.87589,5.66789,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",34.3389,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.2666,0.856849,5.55218,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",34.3561,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2163,0.856849,5.40938,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",33.6097,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.2672,0.87589,5.1723,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",36.1094,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.9353,19.7678,0.856849,5.12447,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",41.1656,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,5.09231,22.1548,0.837808,5.19354,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",67.9608,0,13.1314,0,0,0,0.0763637,0,5.98693,6.31333,0,0,0,5.61357,24.2696,0.780684,5.69992,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",61.8342,0,10.229,0,0,0,0.0763637,0,4.03635,6.31333,0,0,0,4.90493,22.8832,0.685479,6.72312,0,2.23681,3.41576,0.338707,0,0,0,-0.00877023
"MtrElec",1,1,10,"",64.6363,0,5.47952,0,0,0,0.0763637,0,2.66405,6.31333,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.0720471
"MtrElec",1,1,11,"",62.8724,0,4.27502,0,0,0,0.0763637,0,1.86183,6.31333,0,0,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.117923
"MtrElec",1,1,12,"",54.5303,0,4.02815,0,0,0,0.0763637,0,1.64446,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-0.252262
"MtrElec",1,1,13,"",52.6624,0,3.25511,0,0,0,0.0763637,0,1.48779,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-0.279377
"MtrElec",1,1,14,"",45.7368,0,1.98385,0,0,0,0.0763637,0,1.21227,6.31333,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-0.225084
"MtrElec",1,1,15,"",46.9166,0,1.80559,0,0,0,0.0763637,0,1.07302,6.31333,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-0.166744
"MtrElec",1,1,16,"",49.2449,0,1.83826,0,0,0,0.0763637,0,1.04346,6.31333,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-0.0664816
"MtrElec",1,1,17,"",57.6681,0,1.96672,0,0,0,0.0763637,0,0.873741,6.31333,0,0,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,-0.0330048
"MtrElec",1,1,18,"",63.9278,0,2.10183,0,0,0,0.0763637,0,0.827255,6.31333,0,0,0,6.74902,31.933,0.723561,6.98577,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",66.7611,0,2.18075,0,0,0,0.0763637,0,0.786672,6.31333,0,0,0,10.8458,34.0729,0.913972,7.6788,0,1.93423,1.04806,0.910275,0,0,0,0
