16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-01-28 20:07:34"
Cond. Area:,,,39372
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat-tier1\cz11\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,9.07149,0,1.85033,0,0.0223809,0,0.906753,1.7398,6.45223,0.256709,0,0,20.2997,0,0,0,0,0.247568,0,0,0.006564,0,0,0.254132,0,0,0,0,0,0,0,0,0,0,0,27.9703,352.219,0,0.000247243,0.004509,
1,1,2,10.7442,0,1.85033,0,0.0223809,0,0.783447,1.66738,5.94853,0.256709,0,0,21.273,0,0,0,0,0.129586,0,0,0.0052512,0,0,0.134837,0,0,0,0,0,0,0,0,0,0,0,27.9545,352.219,0,0.000246894,0.004509,
1,1,3,10.3294,0,1.85033,0,0.0223809,0,0.660138,1.63712,5.64672,0.251128,0,0,20.3972,0,0,0,0,0.103438,0,0,0.0039384,0,0,0.107376,0,0,0,0,0,0,0,0,0,0,0,27.8978,352.219,0,0.000246589,0.004509,
1,1,4,10.6504,0,1.85033,0,0.0223809,0,0.721791,1.5994,5.63198,0.251128,0,0,20.7274,0,0,0,0,0.100181,0,0,0.0039384,0,0,0.104119,0,0,0,0,0,0,0,0,0,0,0,27.8049,352.219,0,0.000241921,0.004509,
1,1,5,10.8404,0,1.85033,0,0.0223809,0,0.8451,1.53625,5.35381,0.256709,0,0,20.7049,0,0,0,0,0.106711,0,0,0.0039384,0,0,0.110649,0,0,0,0,0,0,0,0,0,0,0,27.9253,352.219,0,0.00024575,0.004509,
1,1,6,11.2588,0,1.85033,0,0.0223809,0,1.15337,1.53212,5.79361,0.251128,0,0,21.8617,0,0,0,0,0.864382,0,0,0.006564,0,0,0.870946,0,0,0,0,0,0,0,0,0,0,0,27.9662,352.219,0,0.000247852,0.004509,
1,1,7,11.5097,0,1.85033,0,0.0223809,0,1.49247,1.98713,6.4932,0.245547,0,0,23.6008,0,0,0,0,0.460301,0,0,0.013128,0,0,0.473429,0,0,0,0,0,0,0,0,0,0,0,27.9881,352.219,0,0.000248481,0.004509,
1,1,8,17.0485,0,1.85033,0,0.0223809,0,1.64524,3.4812,7.11301,0.228805,0,0,31.3895,0,0,0,0,0.88164,0,0,0.160029,0,0,1.04167,0,0,0,0,0,0,0,0,0,0,0,27.9779,352.219,0,0.000248005,0.004509,
1,1,9,13.798,0,1.85033,0,0.0223809,0,1.43755,3.72741,6.70668,0.200902,-9.7473,0,17.996,0,0,0,0,1.29618,0,0,0.525414,0,0,1.82159,0,0,0,0,0,0,0,0,0,0,0,27.9627,352.219,0,0.000243441,0.004509,
1,1,10,8.53856,0,1.85033,0,0.0223809,0,1.28342,6.79894,6.45569,0.167419,-45.3291,0,-20.2124,0,0,0,0,1.22817,0,0,0.361256,0,0,1.58943,0,0,0,0,0,0,0,0,0,0,0,27.4741,352.219,0,0.000204114,0.004509,
1,1,11,4.76703,0,1.85033,0,0.0223809,0,1.27036,6.77494,6.61084,0.133935,-58.2119,0,-36.7821,0,0,0,0,0.842325,0,0,1.09974,0,0,1.94206,0,0,0,0,0,0,0,0,0,0,0,27.2223,352.219,0,0.000185689,0.004509,
1,1,12,2.02632,0,1.85033,0,0.0223809,0,1.20871,4.71017,6.51272,0.0892899,-29.0643,0,-12.6444,0,0,0,0,0.979878,0,0,0.681648,0,0,1.66153,0,0,0,0,0,0,0,0,0,0,0,26.8149,352.219,0,0.000170892,0.004509,
1,1,13,0.962795,0,1.85033,0,0.0223809,0,1.2933,4.19732,6.69613,0.0669675,-45.5375,0,-30.4483,0,0,0,0,0.67047,0,0,0.0894516,0,0,0.759922,0,0,0,0,0,0,0,0,0,0,0,26.259,352.219,0,0.000161225,0.004509,
1,1,14,0.65073,0,1.85033,0,0.0223809,0,1.2933,2.42538,6.88324,0.0613869,-31.8637,0,-18.677,0,0,0,0,0.400277,0,0,0.167222,0,0,0.567499,0,0,0,0,0,0,0,0,0,0,0,26.7029,352.219,0,0.000166253,0.004509,
1,1,15,0.58768,0,1.85033,0,0.0223809,0,1.2933,2.54088,7.19194,0.0613869,-41.9511,0,-28.4032,0,0,0,0,0.535167,0,0,0.145835,0,0,0.681002,0,0,0,0,0,0,0,0,0,0,0,26.4887,352.219,0,0.000166712,0.004509,
