16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-02-16 17:30:49"
Cond. Area:,,,7320
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\OneDrive - TRC\Documents\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrgs-low-iaq\cz08\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,1.81748,0,0.221825,0,0.00969839,0,0.157419,0.382629,1.36223,0.0680012,0,0,4.01928,0,0,0,0,0.0287178,0,0,0.00143269,0,0,0.0301505,0,0,0,0,0,0,0,0,0,0,0,27.5798,353.349,0,0.000249403,0.004509,
1,1,2,2.3662,0,0.221825,0,0.00969839,0,0.130041,0.366099,1.25338,0.0680012,0,0,4.41525,0,0,0,0,0.0286828,0,0,0.00114615,0,0,0.029829,0,0,0,0,0,0,0,0,0,0,0,27.559,353.349,0,0.000249051,0.004509,
1,1,3,2.55802,0,0.221825,0,0.00969839,0,0.102664,0.359448,1.18819,0.0665229,0,0,4.50637,0,0,0,0,0.0302213,0,0,0.000859615,0,0,0.0310809,0,0,0,0,0,0,0,0,0,0,0,27.4755,353.349,0,0.000248744,0.004509,
1,1,4,2.77331,0,0.221825,0,0.00969839,0,0.116353,0.351165,1.18481,0.0665229,0,0,4.72369,0,0,0,0,0.0287003,0,0,0.000859615,0,0,0.0295599,0,0,0,0,0,0,0,0,0,0,0,27.4081,353.349,0,0.000244034,0.004509,
1,1,5,3.11064,0,0.221825,0,0.00969839,0,0.14373,0.3373,1.12527,0.0680012,0,0,5.01646,0,0,0,0,0.030279,0,0,0.000859615,0,0,0.0311386,0,0,0,0,0,0,0,0,0,0,0,27.4525,353.349,0,0.000247897,0.004509,
1,1,6,3.02256,0,0.221825,0,0.00969839,0,0.212173,0.336389,1.21935,0.0665229,0,0,5.08851,0,0,0,0,0.405232,0,0,0.00143269,0,0,0.406665,0,0,0,0,0,0,0,0,0,0,0,27.5712,353.349,0,0.000250017,0.004509,
1,1,7,2.5476,0,0.221825,0,0.00969839,0,0.28746,0.536381,1.36938,0.0650445,0,0,5.03739,0,0,0,0,0.220515,0,0,0.00286538,0,0,0.22338,0,0,0,0,0,0,0,0,0,0,0,27.5977,353.349,0,0.000250652,0.004509,
1,1,8,1.57483,0,0.221825,0,0.00969839,0,0.280616,1.16633,1.47115,0.0606096,-0.977078,0,3.80798,0,0,0,0,0.358554,0,0,0.0649113,0,0,0.423465,0,0,0,0,0,0,0,0,0,0,0,27.5814,353.349,0,0.000250171,0.004509,
1,1,9,0.996286,0,0.221825,0,0.0172081,0,0.232706,1.03783,1.38334,0.0532183,-2.22111,0,1.7213,0,0,0,0,0.265459,0,0,0.222457,0,0,0.487916,0,0,0,0,0,0,0,0,0,0,0,27.3832,353.349,0,0.000245568,0.004509,
1,1,10,0.0680746,0,0.221825,0,0.0172081,0,0.198484,2.2231,1.33015,0.0443485,-4.67987,0,-0.576679,0,0,0,0,0.416992,0,0,0.0993683,0,0,0.51636,0,0,0,0,0,0,0,0,0,0,0,25.7237,353.349,0,0.000205897,0.004509,
1,1,11,0,0,0.221825,0,0.0172081,0,0.184796,2.15702,1.35269,0.0354789,-6.14086,0,-2.17184,0,0,0,0,0.273577,0,0,0.508466,0,0,0.782043,0,0,0,0,0,0,0,0,0,0,0,25.127,353.349,0,0.000187311,0.004509,
1,1,12,0,0,0.221825,0,0.0172081,0,0.171107,1.79158,1.33126,0.0236526,-8.15208,0,-4.59544,0,0,0,0,0.163777,0,0,0.320482,0,0,0.484259,0,0,0,0,0,0,0,0,0,0,0,24.7171,353.349,0,0.000172385,0.004509,
1,1,13,0,0,0.221825,0,0.0172081,0,0.14373,1.16143,1.31917,0.0177394,-8.41269,0,-5.53159,0,0,0,0,0.1211,0,0,0.0214245,0,0,0.142524,0,0,0,0,0,0,0,0,0,0,0,24.7255,353.349,0,0.000162633,0.004509,
1,1,14,0,0,0.221825,0,0.0172081,0,0.14373,0.634054,1.35944,0.0162611,-8.10006,0,-5.70754,0,0,0,0,0.054093,0,0,0.061789,0,0,0.115882,0,0,0,0,0,0,0,0,0,0,0,24.7169,353.349,0,0.000167705,0.004509,
