16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-02-16 17:28:59"
Cond. Area:,,,7320
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\OneDrive - TRC\Documents\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrgs-low-iaq\cz05\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,2.6472,0,0.147883,0,0.00193968,0,0.157419,0.381999,1.36223,0.0680012,0,0,4.76667,0,0,0,0,0.0273869,0,0,0.00143269,0,0,0.0288196,0,0,0,0,0,0,0,0,0,0,0,28.2029,352.219,0,0.000247243,0.004509,
1,1,2,2.96242,0,0.147883,0,0.00193968,0,0.130041,0.36609,1.25338,0.0680012,0,0,4.92976,0,0,0,0,0.0336644,0,0,0.00114615,0,0,0.0348106,0,0,0,0,0,0,0,0,0,0,0,28.1871,352.219,0,0.000246894,0.004509,
1,1,3,3.33133,0,0.147883,0,0.00193968,0,0.102664,0.359448,1.18819,0.0665229,0,0,5.19798,0,0,0,0,0.0526845,0,0,0.000859615,0,0,0.0535441,0,0,0,0,0,0,0,0,0,0,0,28.1305,352.219,0,0.000246589,0.004509,
1,1,4,3.40604,0,0.147883,0,0.00193968,0,0.116353,0.351165,1.18481,0.0665229,0,0,5.27471,0,0,0,0,0.159216,0,0,0.000859615,0,0,0.160076,0,0,0,0,0,0,0,0,0,0,0,28.0376,352.219,0,0.000241921,0.004509,
1,1,5,3.36419,0,0.147883,0,0.00193968,0,0.14373,0.3373,1.12527,0.0680012,0,0,5.18832,0,0,0,0,0.178236,0,0,0.000859615,0,0,0.179096,0,0,0,0,0,0,0,0,0,0,0,28.1579,352.219,0,0.00024575,0.004509,
1,1,6,2.47682,0,0.147883,0,0.00193968,0,0.212173,0.336389,1.21935,0.0665229,0,0,4.46107,0,0,0,0,0.539267,0,0,0.00143269,0,0,0.5407,0,0,0,0,0,0,0,0,0,0,0,28.1988,352.219,0,0.000247852,0.004509,
1,1,7,1.84908,0,0.147883,0,0.00193968,0,0.28746,0.536381,1.36938,0.0650445,0,0,4.25717,0,0,0,0,0.216298,0,0,0.00286538,0,0,0.219163,0,0,0,0,0,0,0,0,0,0,0,28.2208,352.219,0,0.000248481,0.004509,
1,1,8,1.50804,0,0.147883,0,0.00193968,0,0.280616,1.16633,1.47115,0.0606096,-0.0807389,0,4.55584,0,0,0,0,0.28662,0,0,0.0649113,0,0,0.351531,0,0,0,0,0,0,0,0,0,0,0,28.2105,352.219,0,0.000248005,0.004509,
1,1,9,0.846184,0,0.147883,0,0.00193968,0,0.232706,1.03783,1.38334,0.0532183,-0.568089,0,3.13501,0,0,0,0,0.198067,0,0,0.222457,0,0,0.420524,0,0,0,0,0,0,0,0,0,0,0,28.1953,352.219,0,0.000243441,0.004509,
1,1,10,0.0974237,0,0.147883,0,0.0141981,0,0.198484,2.2231,1.33015,0.0443485,-3.08535,0,0.970238,0,0,0,0,0.421182,0,0,0.0993683,0,0,0.52055,0,0,0,0,0,0,0,0,0,0,0,27.7067,352.219,0,0.000204114,0.004509,
1,1,11,0,0,0.147883,0,0.0141981,0,0.184796,2.15686,1.35269,0.0354789,-4.19742,0,-0.30551,0,0,0,0,0.247404,0,0,0.508466,0,0,0.75587,0,0,0,0,0,0,0,0,0,0,0,27.4549,352.219,0,0.000185689,0.004509,
1,1,12,0,0,0.147883,0,0.0141981,0,0.171107,1.79083,1.33126,0.0236526,-5.97723,0,-2.4983,0,0,0,0,0.156179,0,0,0.320482,0,0,0.476661,0,0,0,0,0,0,0,0,0,0,0,27.0475,352.219,0,0.000170892,0.004509,
1,1,13,0,0,0.147883,0,0.0141981,0,0.14373,1.16019,1.31917,0.0177394,-4.08898,0,-1.28607,0,0,0,0,0.120949,0,0,0.0214245,0,0,0.142373,0,0,0,0,0,0,0,0,0,0,0,26.4916,352.219,0,0.000161225,0.004509,
1,1,14,0,0,0.147883,0,0.0141981,0,0.14373,0.631917,1.35944,0.0162611,-2.52042,0,-0.206986,0,0,0,0,0.0509388,0,0,0.061789,0,0,0.112728,0,0,0,0,0,0,0,0,0,0,0,26.9355,352.219,0,0.000166253,0.004509,
