16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-06-07 23:05:09"
Cond. Area:,,,7320
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\furnace-analysis\runs\lrgs-furnace-comp_DWHR_iaqhrv\cz03\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.221825,0,0.0320012,0,0.157419,0.385947,1.36223,0.0680012,0,0,2.22742,0,0,0,0,0,0,0,0.00143269,0,0,0.00143269,0,0,0,0,0,0,0,0,0,0,0,28.1055,352.219,0,0.000247243,0.004509,
1,1,2,0,0,0.221825,0,0.0320012,0,0.130041,0.368332,1.25338,0.0680012,0,0,2.07358,0,0,0,0,0,0,0,0.00114615,0,0,0.00114615,0,0,0,0,0,0,0,0,0,0,0,28.0897,352.219,0,0.000246894,0.004509,
1,1,3,0,0,0.221825,0,0.0331852,0,0.102664,0.360529,1.18819,0.0665229,0,0,1.97292,0,0,0,0,0.00477264,0,0,0.000859615,0,0,0.00563226,0,0,0,0,0,0,0,0,0,0,0,28.0331,352.219,0,0.000246589,0.004509,
1,1,4,0,0,0.221825,0,0.0320012,0,0.116353,0.351429,1.18481,0.0665229,0,0,1.97294,0,0,0,0,0,0,0,0.000859615,0,0,0.000859615,0,0,0,0,0,0,0,0,0,0,0,27.9402,352.219,0,0.000241921,0.004509,
1,1,5,0,0,0.221825,0,0.0331852,0,0.14373,0.336555,1.12527,0.0680012,0,0,1.92857,0,0,0,0,0.00455143,0,0,0.000859615,0,0,0.00541104,0,0,0,0,0,0,0,0,0,0,0,28.0605,352.219,0,0.00024575,0.004509,
1,1,6,0,0,0.221825,0,0.0817222,0,0.212173,0.334578,1.21935,0.0665229,0,0,2.13617,0,0,0,0,0.285892,0,0,0.00143269,0,0,0.287325,0,0,0,0,0,0,0,0,0,0,0,28.1014,352.219,0,0.000247852,0.004509,
1,1,7,0,0,0.221825,0,0.0840897,0,0.28746,0.533673,1.36938,0.0650445,0,0,2.56148,0,0,0,0,0.134301,0,0,0.00286538,0,0,0.137166,0,0,0,0,0,0,0,0,0,0,0,28.1234,352.219,0,0.000248481,0.004509,
1,1,8,0.127383,0,0.221825,0,0.152752,0,0.280616,1.16375,1.47115,0.0606096,0,0,3.47809,0.187973,0,0,0,0.230683,0,0,0.0649113,0,0,0.483567,0,0,0,0,0,0,0,0,0,0,0,28.1131,352.219,0,0.000248005,0.004509,
1,1,9,0.0576635,0,0.221825,0,0.148016,0,0.232706,1.03879,1.38334,0.0532183,-0.00257041,0,3.13298,0.0850914,0,0,0,0.145194,0,0,0.222457,0,0,0.452742,0,0,0,0,0,0,0,0,0,0,0,28.0979,352.219,0,0.000243441,0.004509,
1,1,10,0.0220804,0,0.221825,0,0.133811,0,0.198484,2.22456,1.33015,0.0443485,-0.0211158,0,4.15414,0.0325831,0,0,0,0.346108,0,0,0.0993683,0,0,0.478059,0,0,0,0,0,0,0,0,0,0,0,27.6093,352.219,0,0.000204114,0.004509,
1,1,11,0,0,0.221825,0,0.130259,0,0.184796,2.1578,1.35269,0.0354789,-0.0345613,0,4.04829,0,0,0,0,0.199131,0,0,0.508466,0,0,0.707597,0,0,0,0,0,0,0,0,0,0,0,27.3575,352.219,0,0.000185689,0.004509,
1,1,12,0,0,0.221825,0,0.0722515,0,0.171107,1.79049,1.33126,0.0236526,-0.0739338,0,3.53665,0,0,0,0,0.141388,0,0,0.320482,0,0,0.46187,0,0,0,0,0,0,0,0,0,0,0,26.9501,352.219,0,0.000170892,0.004509,
1,1,13,0.0115363,0,0.221825,0,0.0686999,0,0.14373,1.15808,1.31917,0.0177394,-0.0818807,0,2.85889,0.0170236,0,0,0,0.0927149,0,0,0.0214245,0,0,0.131163,0,0,0,0,0,0,0,0,0,0,0,26.3942,352.219,0,0.000161225,0.004509,
1,1,14,0.023446,0,0.221825,0,0.075803,0,0.14373,0.629262,1.35944,0.0162611,-0.0659683,0,2.4038,0.0345982,0,0,0,0.0349904,0,0,0.061789,0,0,0.131378,0,0,0,0,0,0,0,0,0,0,0,26.8381,352.219,0,0.000166253,0.004509,
