16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 16:11:32"
Cond. Area:,,,39372
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\ndperry\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-baseU\cz13\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,3.90283,0,0.427597,0,0.00447617,0,0.906753,1.75453,6.45223,0.256709,0,0,13.7051,0,0,0,0,0.102812,0,0,0.006564,0,0,0.109376,0,0,0,0,0,0,0,0,0,0,0,27.8939,352.219,0,0.000247243,0.004509,
1,1,2,4.03209,0,0.427597,0,0.00447617,0,0.783447,1.67665,5.94853,0.256709,0,0,13.1295,0,0,0,0,0.0467531,0,0,0.0052512,0,0,0.0520043,0,0,0,0,0,0,0,0,0,0,0,27.8781,352.219,0,0.000246894,0.004509,
1,1,3,4.21034,0,0.427597,0,0.00447617,0,0.660138,1.64372,5.64672,0.251128,0,0,12.8441,0,0,0,0,0.0855336,0,0,0.0039384,0,0,0.089472,0,0,0,0,0,0,0,0,0,0,0,27.8214,352.219,0,0.000246589,0.004509,
1,1,4,4.28411,0,0.427597,0,0.00447617,0,0.721791,1.60261,5.63198,0.251128,0,0,12.9237,0,0,0,0,0.433715,0,0,0.0039384,0,0,0.437653,0,0,0,0,0,0,0,0,0,0,0,27.7285,352.219,0,0.000241921,0.004509,
1,1,5,4.68684,0,0.427597,0,0.00447617,0,0.8451,1.5374,5.35381,0.256709,0,0,13.1119,0,0,0,0,0.495832,0,0,0.0039384,0,0,0.49977,0,0,0,0,0,0,0,0,0,0,0,27.8489,352.219,0,0.00024575,0.004509,
1,1,6,1.94729,0,0.427597,0,0.00447617,0,1.15337,1.53215,5.79361,0.251128,0,0,11.1096,0,0,0,0,0.905071,0,0,0.006564,0,0,0.911635,0,0,0,0,0,0,0,0,0,0,0,27.8898,352.219,0,0.000247852,0.004509,
1,1,7,1.31585,0,0.427597,0,0.00447617,0,1.49247,1.98728,6.4932,0.245547,0,0,11.9664,0,0,0,0,0.265426,0,0,0.013128,0,0,0.278554,0,0,0,0,0,0,0,0,0,0,0,27.9118,352.219,0,0.000248481,0.004509,
1,1,8,3.47824,0,0.427597,0,0.00447617,0,1.64524,3.48239,7.11301,0.228805,0,0,16.3798,0,0,0,0,0.382304,0,0,0.160029,0,0,0.542333,0,0,0,0,0,0,0,0,0,0,0,27.9015,352.219,0,0.000248005,0.004509,
1,1,9,4.37518,0,0.427597,0,0.00447617,0,1.43755,3.72816,6.70668,0.200902,-0.00353218,0,16.877,0,0,0,0,0.583899,0,0,0.525414,0,0,1.10931,0,0,0,0,0,0,0,0,0,0,0,27.8863,352.219,0,0.000243441,0.004509,
1,1,10,4.31552,0,0.427597,0,0.00447617,0,1.28342,6.79902,6.45569,0.167419,-0.0325777,0,19.4206,0,0,0,0,0.548941,0,0,0.361256,0,0,0.910197,0,0,0,0,0,0,0,0,0,0,0,27.3977,352.219,0,0.000204114,0.004509,
1,1,11,3.45291,0,0.427597,0,0.00447617,0,1.27036,6.77494,6.61084,0.133935,-0.114735,0,18.5603,0,0,0,0,0.356578,0,0,1.09974,0,0,1.45632,0,0,0,0,0,0,0,0,0,0,0,27.1459,352.219,0,0.000185689,0.004509,
1,1,12,4.54002,0,0.427597,0,0.00447617,0,1.20871,4.71011,6.51272,0.0892899,-0.0999642,0,17.393,0,0,0,0,0.480528,0,0,0.681648,0,0,1.16218,0,0,0,0,0,0,0,0,0,0,0,26.7385,352.219,0,0.000170892,0.004509,
1,1,13,2.68132,0,0.427597,0,0.00447617,0,1.2933,4.19718,6.69613,0.0669675,-0.0330744,0,15.3339,0,0,0,0,0.290137,0,0,0.0894516,0,0,0.379589,0,0,0,0,0,0,0,0,0,0,0,26.1826,352.219,0,0.000161225,0.004509,
1,1,14,2.15003,0,0.427597,0,0.00447617,0,1.2933,2.42329,6.88324,0.0613869,-0.0295982,0,13.2137,0,0,0,0,0.147934,0,0,0.167222,0,0,0.315156,0,0,0,0,0,0,0,0,0,0,0,26.6265,352.219,0,0.000166253,0.004509,
