16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-06-07 19:11:26"
Cond. Area:,,,7320
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\furnace-analysis\runs\lrgs-furnace-comp_DWHR_win\cz11\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.221825,0,0.0320012,0,0.157419,0.380387,1.36223,0.0680012,0,0,2.22186,0,0,0,0,0,0,0,0.00143269,0,0,0.00143269,0,0,0,0,0,0,0,0,0,0,0,27.9703,352.219,0,0.000247243,0.004509,
1,1,2,0,0,0.221825,0,0.0320012,0,0.130041,0.36259,1.25338,0.0680012,0,0,2.06784,0,0,0,0,0,0,0,0.00114615,0,0,0.00114615,0,0,0,0,0,0,0,0,0,0,0,27.9545,352.219,0,0.000246894,0.004509,
1,1,3,0,0,0.221825,0,0.0331852,0,0.102664,0.354,1.18819,0.0665229,0,0,1.96639,0,0,0,0,0.00477034,0,0,0.000859615,0,0,0.00562995,0,0,0,0,0,0,0,0,0,0,0,27.8978,352.219,0,0.000246589,0.004509,
1,1,4,0,0,0.221825,0,0.0320012,0,0.116353,0.344474,1.18481,0.0665229,0,0,1.96599,0,0,0,0,0,0,0,0.000859615,0,0,0.000859615,0,0,0,0,0,0,0,0,0,0,0,27.8049,352.219,0,0.000241921,0.004509,
1,1,5,0,0,0.221825,0,0.0331852,0,0.14373,0.328293,1.12527,0.0680012,0,0,1.9203,0,0,0,0,0.00454913,0,0,0.000859615,0,0,0.00540875,0,0,0,0,0,0,0,0,0,0,0,27.9253,352.219,0,0.00024575,0.004509,
1,1,6,0,0,0.221825,0,0.0817222,0,0.212173,0.325815,1.21935,0.0665229,0,0,2.1274,0,0,0,0,0.280219,0,0,0.00143269,0,0,0.281652,0,0,0,0,0,0,0,0,0,0,0,27.9662,352.219,0,0.000247852,0.004509,
1,1,7,0.0224267,0,0.221825,0,0.0840897,0,0.28746,0.522715,1.36938,0.0650445,0,0,2.57295,0.0330981,0,0,0,0.132122,0,0,0.00286538,0,0,0.168085,0,0,0,0,0,0,0,0,0,0,0,27.9881,352.219,0,0.000248481,0.004509,
1,1,8,0.453851,0,0.221825,0,0.152752,0,0.280616,1.15311,1.47115,0.0606096,0,0,3.79392,0.669809,0,0,0,0.227469,0,0,0.0649113,0,0,0.962189,0,0,0,0,0,0,0,0,0,0,0,27.9779,352.219,0,0.000248005,0.004509,
1,1,9,0.189626,0,0.221825,0,0.148016,0,0.232706,1.03647,1.38334,0.0532183,-1.73492,0,1.53028,0.279857,0,0,0,0.142946,0,0,0.222457,0,0,0.64526,0,0,0,0,0,0,0,0,0,0,0,27.9627,352.219,0,0.000243441,0.004509,
1,1,10,0.0774818,0,0.221825,0,0.133811,0,0.198484,2.2231,1.33015,0.0443485,-8.06808,0,-3.83889,0.11435,0,0,0,0.34052,0,0,0.0993683,0,0,0.554238,0,0,0,0,0,0,0,0,0,0,0,27.4741,352.219,0,0.000204114,0.004509,
1,1,11,0.00252259,0,0.221825,0,0.130259,0,0.184796,2.15679,1.35269,0.0354789,-10.3611,0,-6.27672,0.00372293,0,0,0,0.196184,0,0,0.508466,0,0,0.708373,0,0,0,0,0,0,0,0,0,0,0,27.2223,352.219,0,0.000185689,0.004509,
1,1,12,0.0033182,0,0.221825,0,0.0722515,0,0.171107,1.78967,1.33126,0.0236526,-5.17312,0,-1.56004,0.00489711,0,0,0,0.139219,0,0,0.320482,0,0,0.464598,0,0,0,0,0,0,0,0,0,0,0,26.8149,352.219,0,0.000170892,0.004509,
1,1,13,0.000107229,0,0.221825,0,0.0686999,0,0.14373,1.15752,1.31917,0.0177394,-8.10519,0,-5.1764,0.000158253,0,0,0,0.0911254,0,0,0.0214245,0,0,0.112708,0,0,0,0,0,0,0,0,0,0,0,26.259,352.219,0,0.000161225,0.004509,
1,1,14,0,0,0.221825,0,0.075803,0,0.14373,0.629291,1.35944,0.0162611,-5.6714,0,-3.22504,0,0,0,0,0.0345801,0,0,0.061789,0,0,0.0963691,0,0,0,0,0,0,0,0,0,0,0,26.7029,352.219,0,0.000166253,0.004509,
