16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-02-16 17:27:03"
Cond. Area:,,,7320
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrgs-low-win\cz01\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,3.94511,0,0.221825,0,0.00969839,0,0.157419,0.381987,1.36223,0.0680012,0,0,6.14627,0,0,0,0,0.0287047,0,0,0.00143269,0,0,0.0301374,0,0,0,0,0,0,0,0,0,0,0,28.1794,352.219,0,0.000247243,0.004509,
1,1,2,4.0495,0,0.221825,0,0.00969839,0,0.130041,0.36609,1.25338,0.0680012,0,0,6.09853,0,0,0,0,0.0286915,0,0,0.00114615,0,0,0.0298377,0,0,0,0,0,0,0,0,0,0,0,28.1636,352.219,0,0.000246894,0.004509,
1,1,3,4.05453,0,0.221825,0,0.00969839,0,0.102664,0.359448,1.18819,0.0665229,0,0,6.00288,0,0,0,0,0.0304683,0,0,0.000859615,0,0,0.0313279,0,0,0,0,0,0,0,0,0,0,0,28.1069,352.219,0,0.000246589,0.004509,
1,1,4,4.10721,0,0.221825,0,0.00969839,0,0.116353,0.351165,1.18481,0.0665229,0,0,6.05758,0,0,0,0,0.0286653,0,0,0.000859615,0,0,0.0295249,0,0,0,0,0,0,0,0,0,0,0,28.014,352.219,0,0.000241921,0.004509,
1,1,5,3.10251,0,0.221825,0,0.00969839,0,0.14373,0.3373,1.12527,0.0680012,0,0,5.00833,0,0,0,0,0.0304103,0,0,0.000859615,0,0,0.0312699,0,0,0,0,0,0,0,0,0,0,0,28.1344,352.219,0,0.00024575,0.004509,
1,1,6,2.35764,0,0.221825,0,0.00969839,0,0.212173,0.336389,1.21935,0.0665229,0,0,4.42359,0,0,0,0,0.502447,0,0,0.00143269,0,0,0.50388,0,0,0,0,0,0,0,0,0,0,0,28.1753,352.219,0,0.000247852,0.004509,
1,1,7,1.98748,0,0.221825,0,0.00969839,0,0.28746,0.536381,1.36938,0.0650445,0,0,4.47727,0,0,0,0,0.2626,0,0,0.00286538,0,0,0.265465,0,0,0,0,0,0,0,0,0,0,0,28.1973,352.219,0,0.000248481,0.004509,
1,1,8,1.98148,0,0.221825,0,0.00969839,0,0.280616,1.16633,1.47115,0.0606096,0,0,5.19172,0,0,0,0,0.417872,0,0,0.0649113,0,0,0.482783,0,0,0,0,0,0,0,0,0,0,0,28.187,352.219,0,0.000248005,0.004509,
1,1,9,1.9015,0,0.221825,0,0.00969839,0,0.232706,1.03783,1.38334,0.0532183,-1.5754,0,3.26472,0,0,0,0,0.31846,0,0,0.222457,0,0,0.540917,0,0,0,0,0,0,0,0,0,0,0,28.1718,352.219,0,0.000243441,0.004509,
1,1,10,1.34411,0,0.221825,0,0.0234605,0,0.198484,2.2231,1.33015,0.0443485,-3.86164,0,1.52384,0,0,0,0,0.517269,0,0,0.0993683,0,0,0.616637,0,0,0,0,0,0,0,0,0,0,0,27.6832,352.219,0,0.000204114,0.004509,
1,1,11,0.87404,0,0.221825,0,0.0234605,0,0.184796,2.15679,1.35269,0.0354789,-2.4228,0,2.42628,0,0,0,0,0.324465,0,0,0.508466,0,0,0.832931,0,0,0,0,0,0,0,0,0,0,0,27.4314,352.219,0,0.000185689,0.004509,
1,1,12,1.53933,0,0.221825,0,0.00969839,0,0.171107,1.78913,1.33126,0.0236526,-0.953101,0,4.13291,0,0,0,0,0.232432,0,0,0.320482,0,0,0.552914,0,0,0,0,0,0,0,0,0,0,0,27.024,352.219,0,0.000170892,0.004509,
1,1,13,1.76903,0,0.221825,0,0.0234605,0,0.14373,1.15655,1.31917,0.0177394,-5.75126,0,-1.09976,0,0,0,0,0.180999,0,0,0.0214245,0,0,0.202423,0,0,0,0,0,0,0,0,0,0,0,26.4681,352.219,0,0.000161225,0.004509,
1,1,14,1.71696,0,0.221825,0,0.0234605,0,0.14373,0.628297,1.35944,0.0162611,-4.50064,0,-0.390666,0,0,0,0,0.0735663,0,0,0.061789,0,0,0.135355,0,0,0,0,0,0,0,0,0,0,0,26.912,352.219,0,0.000166253,0.004509,
