16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-02-16 17:25:56"
Cond. Area:,,,7320
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrgs-low-win\cz01\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,3.88958,0,0.221825,0,0.00193968,0,0.157419,0.381987,1.36223,0.0680012,0,0,6.08298,0,0,0,0,0.0278669,0,0,0.00143269,0,0,0.0292996,0,0,0,0,0,0,0,0,0,0,0,28.1794,352.219,0,0.000247243,0.004509,
1,1,2,3.9958,0,0.221825,0,0.00193968,0,0.130041,0.36609,1.25338,0.0680012,0,0,6.03708,0,0,0,0,0.0346246,0,0,0.00114615,0,0,0.0357708,0,0,0,0,0,0,0,0,0,0,0,28.1636,352.219,0,0.000246894,0.004509,
1,1,3,4.00286,0,0.221825,0,0.00193968,0,0.102664,0.359448,1.18819,0.0665229,0,0,5.94345,0,0,0,0,0.0550993,0,0,0.000859615,0,0,0.0559589,0,0,0,0,0,0,0,0,0,0,0,28.1069,352.219,0,0.000246589,0.004509,
1,1,4,4.05711,0,0.221825,0,0.00193968,0,0.116353,0.351165,1.18481,0.0665229,0,0,5.99973,0,0,0,0,0.169777,0,0,0.000859615,0,0,0.170637,0,0,0,0,0,0,0,0,0,0,0,28.014,352.219,0,0.000241921,0.004509,
1,1,5,3.0645,0,0.221825,0,0.00193968,0,0.14373,0.3373,1.12527,0.0680012,0,0,4.96257,0,0,0,0,0.190252,0,0,0.000859615,0,0,0.191112,0,0,0,0,0,0,0,0,0,0,0,28.1344,352.219,0,0.00024575,0.004509,
1,1,6,2.32646,0,0.221825,0,0.00193968,0,0.212173,0.336389,1.21935,0.0665229,0,0,4.38466,0,0,0,0,0.588823,0,0,0.00143269,0,0,0.590256,0,0,0,0,0,0,0,0,0,0,0,28.1753,352.219,0,0.000247852,0.004509,
1,1,7,1.95897,0,0.221825,0,0.00193968,0,0.28746,0.536381,1.36938,0.0650445,0,0,4.44101,0,0,0,0,0.233612,0,0,0.00286538,0,0,0.236477,0,0,0,0,0,0,0,0,0,0,0,28.1973,352.219,0,0.000248481,0.004509,
1,1,8,1.9531,0,0.221825,0,0.00193968,0,0.280616,1.16633,1.47115,0.0606096,0,0,5.15558,0,0,0,0,0.306355,0,0,0.0649113,0,0,0.371266,0,0,0,0,0,0,0,0,0,0,0,28.187,352.219,0,0.000248005,0.004509,
1,1,9,1.87409,0,0.221825,0,0.00193968,0,0.232706,1.03783,1.38334,0.0532183,-0.0918593,0,4.71309,0,0,0,0,0.212891,0,0,0.222457,0,0,0.435348,0,0,0,0,0,0,0,0,0,0,0,28.1718,352.219,0,0.000243441,0.004509,
1,1,10,1.30108,0,0.221825,0,0.0141981,0,0.198484,2.2231,1.33015,0.0443485,-0.225167,0,5.10801,0,0,0,0,0.458005,0,0,0.0993683,0,0,0.557373,0,0,0,0,0,0,0,0,0,0,0,27.6832,352.219,0,0.000204114,0.004509,
1,1,11,0.822568,0,0.221825,0,0.0141981,0,0.184796,2.15679,1.35269,0.0354789,-0.141271,0,4.64707,0,0,0,0,0.271512,0,0,0.508466,0,0,0.779978,0,0,0,0,0,0,0,0,0,0,0,27.4314,352.219,0,0.000185689,0.004509,
1,1,12,1.49599,0,0.221825,0,0.00193968,0,0.171107,1.78913,1.33126,0.0236526,-0.0555739,0,4.97933,0,0,0,0,0.188529,0,0,0.320482,0,0,0.509011,0,0,0,0,0,0,0,0,0,0,0,27.024,352.219,0,0.000170892,0.004509,
1,1,13,1.61324,0,0.221825,0,0.0141981,0,0.14373,1.15655,1.31917,0.0177394,-0.335349,0,4.1511,0,0,0,0,0.152294,0,0,0.0214245,0,0,0.173718,0,0,0,0,0,0,0,0,0,0,0,26.4681,352.219,0,0.000161225,0.004509,
1,1,14,1.57565,0,0.221825,0,0.0141981,0,0.14373,0.628297,1.35944,0.0162611,-0.262426,0,3.69698,0,0,0,0,0.0583079,0,0,0.061789,0,0,0.120097,0,0,0,0,0,0,0,0,0,0,0,26.912,352.219,0,0.000166253,0.004509,
