16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 15:14:38"
Cond. Area:,,,39372
Model:,,,"StdMixedFuel"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-propU2\cz16\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0.0121489,0,0.427597,0,0.0220009,0,0.906753,1.71562,6.45223,0.256709,0,0,9.79305,0.0179752,0,0,0,0.20366,0,0,0.006564,0,0,0.228199,0,0,0,0,0,0,0,0,0,0,0,28.5022,353.349,0,0.000249403,0.004509,
1,1,2,0.0433022,0,0.427597,0,0.0220009,0,0.783447,1.62034,5.94853,0.256709,0,0,9.10193,0.0640692,0,0,0,0.105161,0,0,0.0052512,0,0,0.174481,0,0,0,0,0,0,0,0,0,0,0,28.4815,353.349,0,0.000249051,0.004509,
1,1,3,0.17077,0,0.427597,0,0.0220009,0,0.660138,1.57301,5.64672,0.251128,0,0,8.75136,0.252668,0,0,0,0.0842168,0,0,0.0039384,0,0,0.340823,0,0,0,0,0,0,0,0,0,0,0,28.398,353.349,0,0.000248744,0.004509,
1,1,4,0.262129,0,0.427597,0,0.0220009,0,0.721791,1.52686,5.63198,0.251128,0,0,8.84348,0.387841,0,0,0,0.081661,0,0,0.0039384,0,0,0.47344,0,0,0,0,0,0,0,0,0,0,0,28.3306,353.349,0,0.000244034,0.004509,
1,1,5,0.319601,0,0.427597,0,0.0220009,0,0.8451,1.4451,5.35381,0.256709,0,0,8.66992,0.472878,0,0,0,0.0867641,0,0,0.0039384,0,0,0.56358,0,0,0,0,0,0,0,0,0,0,0,28.3749,353.349,0,0.000247897,0.004509,
1,1,6,0.336181,0,0.427597,0,0.0220009,0,1.15337,1.42815,5.79361,0.251128,0,0,9.41204,0.497405,0,0,0,0.721218,0,0,0.006564,0,0,1.22519,0,0,0,0,0,0,0,0,0,0,0,28.4937,353.349,0,0.000250017,0.004509,
1,1,7,2.68958,0,0.427597,0,0.0220009,0,1.49247,1.85723,6.4932,0.245547,0,0,13.2276,3.97944,0,0,0,0.373317,0,0,0.013128,0,0,4.36589,0,0,0,0,0,0,0,0,0,0,0,28.5202,353.349,0,0.000250652,0.004509,
1,1,8,3.91404,0,0.427597,0,0.0220009,0,1.64524,3.40983,7.11301,0.228805,0,0,16.7605,5.79114,0,0,0,0.711005,0,0,0.160029,0,0,6.66217,0,0,0,0,0,0,0,0,0,0,0,28.5039,353.349,0,0.000250171,0.004509,
1,1,9,2.49672,0,0.427597,0,0.0220009,0,1.43755,3.71634,6.70668,0.200902,-0.0146995,0,14.9931,3.69409,0,0,0,1.05693,0,0,0.525414,0,0,5.27643,0,0,0,0,0,0,0,0,0,0,0,28.3057,353.349,0,0.000245568,0.004509,
1,1,10,2.02378,0,0.427597,0,0.0220009,0,1.28342,6.79894,6.45569,0.167419,-0.0534642,0,17.1254,2.99435,0,0,0,0.989327,0,0,0.361256,0,0,4.34493,0,0,0,0,0,0,0,0,0,0,0,26.6461,353.349,0,0.000205897,0.004509,
1,1,11,1.72558,0,0.427597,0,0.0220009,0,1.27036,6.77494,6.61084,0.133935,-0.0558951,0,16.9094,2.55313,0,0,0,0.677535,0,0,1.09974,0,0,4.3304,0,0,0,0,0,0,0,0,0,0,0,26.0495,353.349,0,0.000187311,0.004509,
1,1,12,1.68626,0,0.427597,0,0.0220009,0,1.20871,4.70988,6.51272,0.0892899,-0.0771454,0,14.5793,2.49495,0,0,0,0.805312,0,0,0.681648,0,0,3.98191,0,0,0,0,0,0,0,0,0,0,0,25.6395,353.349,0,0.000172385,0.004509,
1,1,13,1.6508,0,0.427597,0,0.0220009,0,1.2933,4.19718,6.69613,0.0669675,-0.0906266,0,14.2633,2.44249,0,0,0,0.54605,0,0,0.0894516,0,0,3.07799,0,0,0,0,0,0,0,0,0,0,0,25.6479,353.349,0,0.000162633,0.004509,
1,1,14,1.58051,0,0.427597,0,0.0220009,0,1.2933,2.42329,6.88324,0.0613869,-0.115382,0,12.5759,2.33849,0,0,0,0.3267,0,0,0.167222,0,0,2.83241,0,0,0,0,0,0,0,0,0,0,0,25.6394,353.349,0,0.000167705,0.004509,
