"",001
"Tue 03-Mar-20   2:55:31 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",48.7036,0,5.31425,2.48035,0,0,0.0152727,0,1.24237,1.45896,0,6.14185,0,3.09384,22.015,0.87589,6.03059,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",48.5292,0,6.62754,3.07817,0,0,0.0152727,0,1.57531,1.45896,0,6.14185,0,2.67312,20.2964,0.87589,5.75843,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",47.6345,0,6.98802,3.32462,0,0,0.0152727,0,1.6689,1.45896,0,6.14185,0,2.25239,19.2666,0.856849,5.63983,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",49.6361,0,8.20609,3.76749,0,0,0.0152727,0,1.99516,1.45896,0,6.14185,0,2.46275,19.2163,0.856849,5.49426,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",51.3114,0,9.71564,4.25434,0,0,0.0152727,0,2.41028,1.45896,0,6.14185,0,2.88348,18.2672,0.87589,5.26731,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",55.7801,0,11.0634,4.5363,0,0,0.0152727,0,2.75114,1.45896,0,6.14185,0,3.9353,19.7678,0.856849,5.21791,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",65.0303,0,13.8251,5.36512,0,0,0.0152727,0,3.35193,1.45896,0,6.14185,0,5.09231,22.1548,0.837808,5.28974,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",63.4291,0,13.3946,5.36034,0,0,0.0152727,0,3.17771,1.45896,0,6.14185,0,5.61357,24.2696,0.780684,5.78884,0,0.602657,5.29585,0.190523,0,0,0,-8.66143
"MtrElec",1,1,9,"",38.9831,0,10.9388,4.82674,0,0,0.0152727,0,2.54213,1.45896,0,6.14185,0,4.90493,22.8832,0.685479,6.72665,0,2.23681,3.41576,0.338707,0,0,0,-28.1322
"MtrElec",1,1,10,"",17.7478,0,5.04621,1.47617,0,0,0.0152727,0,1.13517,1.45896,0,6.14185,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-47.7008
